"Sample.Depth" "Sources" "Station" "Latitude" "Longitude"
"146" 2927 0.65 6 49.2672 -13.4825
"147" 3415 0.43 6 49.2672 -13.4825
"148" 3516 0.43 6 49.2672 -13.4825
"149" 3367 0.32 6 49.2672 -13.4825
"150" 3463 0.32 6 49.2672 -13.4825
"151" 3897 0.22 6 49.2672 -13.4825
"152" 3995 0.11 6 49.2672 -13.4825
"153" 3946 0 6 49.2672 -13.4825
"154" 1356.21 45.98 7 49.8517 -13.0368
"155" 1277.74 43.24 7 49.8517 -13.0368
"156" 1473.91 41.48 7 49.8517 -13.0368
"157" 1199.28 41.13 7 49.8517 -13.0368
"158" 1238.51 39.9 7 49.8517 -13.0368
"159" 1316.98 39.2 7 49.8517 -13.0368
"160" 1513.15 30.23 7 49.8517 -13.0368
"161" 1591.62 30.23 7 49.8517 -13.0368
"162" 1630.85 26.89 7 49.8517 -13.0368
"163" 1081.57 25.95 7 49.8517 -13.0368
"164" 1552.38 24.78 7 49.8517 -13.0368
"165" 650 24.26 7 49.8517 -13.0368
"166" 963.87 23.03 7 49.8517 -13.0368
"167" 689.23 22.68 7 49.8517 -13.0368
"168" 1003.11 22.5 7 49.8517 -13.0368
"169" 1042.34 21.8 7 49.8517 -13.0368
"170" 728.47 20.92 7 49.8517 -13.0368
"171" 924.64 18.98 7 49.8517 -13.0368
"172" 767.7 17.58 7 49.8517 -13.0368
"173" 806.94 17.09 7 49.8517 -13.0368
"174" 1748.55 16.35 7 49.8517 -13.0368
"175" 1866.26 15.82 7 49.8517 -13.0368
"176" 1905.49 14.55 7 49.8517 -13.0368
"177" 2101.66 14.24 7 49.8517 -13.0368
"178" 2023.19 13.89 7 49.8517 -13.0368
"179" 2062.43 11.78 7 49.8517 -13.0368
"180" 1787.79 11.25 7 49.8517 -13.0368
"181" 1827.02 9.84 7 49.8517 -13.0368
"182" 2140.89 6.15 7 49.8517 -13.0368
"183" 2180.13 5.48 7 49.8517 -13.0368
"184" 2337.06 4.39 7 49.8517 -13.0368
"185" 2297.83 3.87 7 49.8517 -13.0368
"186" 2376.3 3.34 7 49.8517 -13.0368
"187" 2454.77 2.95 7 49.8517 -13.0368
"188" 2415.53 1.76 7 49.8517 -13.0368
"189" 1417 39.43 8 49.8515 -13.047
"190" 1167 37.91 8 49.8515 -13.047
"191" 1452 35.93 8 49.8515 -13.047
"192" 1276 35.78 8 49.8515 -13.047
"193" 1521 35.78 8 49.8515 -13.047
"194" 1132 33.49 8 49.8515 -13.047
"195" 1203 32.28 8 49.8515 -13.047
"196" 1487 30.6 8 49.8515 -13.047
"197" 1658 30.14 8 49.8515 -13.047
"198" 1239 29.99 8 49.8515 -13.047
"199" 1692 22.99 8 49.8515 -13.047
"200" 682 20.25 8 49.8515 -13.047
"201" 922 20.1 8 49.8515 -13.047
"202" 1760 19.64 8 49.8515 -13.047
"203" 1896 18.88 8 49.8515 -13.047
"204" 957 18.73 8 49.8515 -13.047
"205" 715 18.57 8 49.8515 -13.047
"206" 1930 17.51 8 49.8515 -13.047
"207" 1726 17.2 8 49.8515 -13.047
"208" 749 16.44 8 49.8515 -13.047
"209" 887 16.14 8 49.8515 -13.047
"210" 992 15.53 8 49.8515 -13.047
"211" 1965 14.62 8 49.8515 -13.047
"212" 647 14.16 8 49.8515 -13.047
"213" 1998 11.57 8 49.8515 -13.047
"214" 2133 8.07 8 49.8515 -13.047
"215" 2166 7.31 8 49.8515 -13.047
"216" 2200 5.48 8 49.8515 -13.047
"217" 2234 4.26 8 49.8515 -13.047
"218" 2438 2.89 8 49.8515 -13.047
"219" 2267 2.59 8 49.8515 -13.047
"220" 2505 1.37 8 49.8515 -13.047
"221" 2471 1.07 8 49.8515 -13.047
"222" 2404 0.76 8 49.8515 -13.047
"223" 1300 31.08 9 49.5022 -13.7062
"224" 1369 25.48 9 49.5022 -13.7062
"225" 1127 25.02 9 49.5022 -13.7062
"226" 1335 24.55 9 49.5022 -13.7062
"227" 1195 22.07 9 49.5022 -13.7062
"228" 1231 21.91 9 49.5022 -13.7062
"229" 1503 21.76 9 49.5022 -13.7062
"230" 1161 21.13 9 49.5022 -13.7062
"231" 1402 20.82 9 49.5022 -13.7062
"232" 1435 20.82 9 49.5022 -13.7062
"233" 1469 20.2 9 49.5022 -13.7062
"234" 1056 19.27 9 49.5022 -13.7062
"235" 1091 18.18 9 49.5022 -13.7062
"236" 1636 18.18 9 49.5022 -13.7062
"237" 1536 17.56 9 49.5022 -13.7062
"238" 1020 16.47 9 49.5022 -13.7062
"239" 1569 16.16 9 49.5022 -13.7062
"240" 985 15.38 9 49.5022 -13.7062
"241" 951 14.45 9 49.5022 -13.7062
"242" 1669 12.59 9 49.5022 -13.7062
"243" 1702 11.81 9 49.5022 -13.7062
"244" 1804 11.03 9 49.5022 -13.7062
"245" 1771 10.88 9 49.5022 -13.7062
"246" 1737 9.32 9 49.5022 -13.7062
"247" 1872 8.24 9 49.5022 -13.7062
"248" 1974 7.15 9 49.5022 -13.7062
"249" 1838 6.06 9 49.5022 -13.7062
"250" 1905 5.9 9 49.5022 -13.7062
"251" 2041 5.59 9 49.5022 -13.7062
"252" 2007 4.66 9 49.5022 -13.7062
"253" 2140 4.66 9 49.5022 -13.7062
"254" 2074 4.2 9 49.5022 -13.7062
"255" 2107 4.2 9 49.5022 -13.7062
"256" 2207 3.57 9 49.5022 -13.7062
"257" 2240 3.57 9 49.5022 -13.7062
"258" 2173 3.42 9 49.5022 -13.7062
"259" 2308 3.42 9 49.5022 -13.7062
"260" 2443 2.18 9 49.5022 -13.7062
"261" 2409 2.02 9 49.5022 -13.7062
"262" 2375 1.86 9 49.5022 -13.7062
"263" 2476 1.86 9 49.5022 -13.7062
"264" 2510 1.71 9 49.5022 -13.7062
"265" 2341 1.55 9 49.5022 -13.7062
"266" 2577 1.4 9 49.5022 -13.7062
"267" 2644 1.4 9 49.5022 -13.7062
"268" 2543 1.24 9 49.5022 -13.7062
"269" 2747 0.93 9 49.5022 -13.7062
"270" 2781 0.93 9 49.5022 -13.7062
"271" 2815 0.93 9 49.5022 -13.7062
"272" 2849 0.93 9 49.5022 -13.7062
"273" 2678 0.78 9 49.5022 -13.7062
"274" 2713 0.78 9 49.5022 -13.7062
"275" 2916 0.47 9 49.5022 -13.7062
"276" 2882 0.16 9 49.5022 -13.7062
"277" 2628 2.32 10 48.5665 -15.0018
"278" 2661 2.01 10 48.5665 -15.0018
"279" 2594 1.7 10 48.5665 -15.0018
"280" 2996 1.7 10 48.5665 -15.0018
"281" 3129 1.39 10 48.5665 -15.0018
"282" 2695 1.23 10 48.5665 -15.0018
"283" 2896 1.23 10 48.5665 -15.0018
"284" 3096 1.23 10 48.5665 -15.0018
"285" 3431 1.08 10 48.5665 -15.0018
"286" 3464 1.08 10 48.5665 -15.0018
"287" 2795 0.93 10 48.5665 -15.0018
"288" 3062 0.93 10 48.5665 -15.0018
"289" 3163 0.93 10 48.5665 -15.0018
"290" 3196 0.93 10 48.5665 -15.0018
"291" 3229 0.93 10 48.5665 -15.0018
"292" 3296 0.93 10 48.5665 -15.0018
"293" 3733 0.93 10 48.5665 -15.0018
"294" 4204 0.93 10 48.5665 -15.0018
"295" 2729 0.77 10 48.5665 -15.0018
"296" 3029 0.77 10 48.5665 -15.0018
"297" 3531 0.77 10 48.5665 -15.0018
"298" 2829 0.62 10 48.5665 -15.0018
"299" 2863 0.62 10 48.5665 -15.0018
"300" 2963 0.62 10 48.5665 -15.0018
"301" 3498 0.62 10 48.5665 -15.0018
"302" 3633 0.62 10 48.5665 -15.0018
"303" 3666 0.62 10 48.5665 -15.0018
"304" 3397 0.46 10 48.5665 -15.0018
"305" 3565 0.46 10 48.5665 -15.0018
"306" 3766 0.46 10 48.5665 -15.0018
"307" 3834 0.46 10 48.5665 -15.0018
"308" 3901 0.46 10 48.5665 -15.0018
"309" 4002 0.46 10 48.5665 -15.0018
"310" 4103 0.46 10 48.5665 -15.0018
"311" 4306 0.46 10 48.5665 -15.0018
"312" 2762 0.31 10 48.5665 -15.0018
"313" 3363 0.31 10 48.5665 -15.0018
"314" 3699 0.31 10 48.5665 -15.0018
"315" 3867 0.31 10 48.5665 -15.0018
"316" 3968 0.31 10 48.5665 -15.0018
"317" 4136 0.31 10 48.5665 -15.0018
"318" 4238 0.31 10 48.5665 -15.0018
"319" 3330 0.15 10 48.5665 -15.0018
"320" 4036 0.15 10 48.5665 -15.0018
"321" 4170 0.15 10 48.5665 -15.0018
"322" 4441 0.15 10 48.5665 -15.0018
"323" 4475 0.15 10 48.5665 -15.0018
"324" 3800 0 10 48.5665 -15.0018
"325" 4069 0 10 48.5665 -15.0018
"326" 4340 0 10 48.5665 -15.0018
"327" 4374 0 10 48.5665 -15.0018
"328" 4408 0 10 48.5665 -15.0018
"329" 4509 0 10 48.5665 -15.0018
"330" 4543 0 10 48.5665 -15.0018
"331" 4577 0 10 48.5665 -15.0018
"332" 1575 42.53 11 50.0005 -13.3845
"333" 1605 37.5 11 50.0005 -13.3845
"334" 1419 30.03 11 50.0005 -13.3845
"335" 1451 29.22 11 50.0005 -13.3845
"336" 1483 28.57 11 50.0005 -13.3845
"337" 1636 26.46 11 50.0005 -13.3845
"338" 1514 25.33 11 50.0005 -13.3845
"339" 1322 25.16 11 50.0005 -13.3845
"340" 1696 24.35 11 50.0005 -13.3845
"341" 1387 23.86 11 50.0005 -13.3845
"342" 1727 23.22 11 50.0005 -13.3845
"343" 1758 21.92 11 50.0005 -13.3845
"344" 1790 21.59 11 50.0005 -13.3845
"345" 1354 20.46 11 50.0005 -13.3845
"346" 1289 20.29 11 50.0005 -13.3845
"347" 1666 20.13 11 50.0005 -13.3845
"348" 1821 19.48 11 50.0005 -13.3845
"349" 1884 18.67 11 50.0005 -13.3845
"350" 1257 18.34 11 50.0005 -13.3845
"351" 1192 18.18 11 50.0005 -13.3845
"352" 1916 16.88 11 50.0005 -13.3845
"353" 1095 15.58 11 50.0005 -13.3845
"354" 1030 15.26 11 50.0005 -13.3845
"355" 930 15.1 11 50.0005 -13.3845
"356" 1128 15.1 11 50.0005 -13.3845
"357" 1160 14.45 11 50.0005 -13.3845
"358" 1062 13.96 11 50.0005 -13.3845
"359" 2333 13.64 11 50.0005 -13.3845
"360" 997 12.99 11 50.0005 -13.3845
"361" 1947 12.34 11 50.0005 -13.3845
"362" 2010 11.04 11 50.0005 -13.3845
"363" 2074 10.39 11 50.0005 -13.3845
"364" 1978 10.07 11 50.0005 -13.3845
"365" 2235 9.58 11 50.0005 -13.3845
"366" 963 9.42 11 50.0005 -13.3845
"367" 2365 8.28 11 50.0005 -13.3845
"368" 2527 8.28 11 50.0005 -13.3845
"369" 2301 8.12 11 50.0005 -13.3845
"370" 2430 7.95 11 50.0005 -13.3845
"371" 2397 7.79 11 50.0005 -13.3845
"372" 2268 7.31 11 50.0005 -13.3845
"373" 2107 6.82 11 50.0005 -13.3845
"374" 2042 6.49 11 50.0005 -13.3845
"375" 2203 6.49 11 50.0005 -13.3845
"376" 2463 6.01 11 50.0005 -13.3845
"377" 2558 5.19 11 50.0005 -13.3845
"378" 2139 4.22 11 50.0005 -13.3845
"379" 2622 4.06 11 50.0005 -13.3845
"380" 2653 4.06 11 50.0005 -13.3845
"381" 2716 2.44 11 50.0005 -13.3845
"382" 2748 1.95 11 50.0005 -13.3845
"383" 2590 1.79 11 50.0005 -13.3845
"384" 2685 1.46 11 50.0005 -13.3845
"385" 692 13.59 12 49.751 -13.9447
"386" 836 12.58 12 49.751 -13.9447
"387" 801 10.84 12 49.751 -13.9447
"388" 765 10.56 12 49.751 -13.9447
"389" 728 9.98 12 49.751 -13.9447
"390" 1127 9.4 12 49.751 -13.9447
"391" 1091 9.11 12 49.751 -13.9447
"392" 1166 8.39 12 49.751 -13.9447
"393" 1201 6.07 12 49.751 -13.9447
"394" 1239 6.07 12 49.751 -13.9447
"395" 1495 5.49 12 49.751 -13.9447
"396" 1532 4.34 12 49.751 -13.9447
"397" 2307 3.76 12 49.751 -13.9447
"398" 1568 3.47 12 49.751 -13.9447
"399" 1604 3.04 12 49.751 -13.9447
"400" 1865 2.75 12 49.751 -13.9447
"401" 2419 2.75 12 49.751 -13.9447
"402" 2382 2.6 12 49.751 -13.9447
"403" 2051 2.17 12 49.751 -13.9447
"404" 2346 2.17 12 49.751 -13.9447
"405" 1902 2.02 12 49.751 -13.9447
"406" 1939 2.02 12 49.751 -13.9447
"407" 2455 2.02 12 49.751 -13.9447
"408" 2861 1.88 12 49.751 -13.9447
"409" 2715 1.59 12 49.751 -13.9447
"410" 2789 1.59 12 49.751 -13.9447
"411" 2753 1.3 12 49.751 -13.9447
"412" 2825 1.3 12 49.751 -13.9447
"413" 3118 1.3 12 49.751 -13.9447
"414" 1977 1.01 12 49.751 -13.9447
"415" 2013 1.01 12 49.751 -13.9447
"416" 3190 1.01 12 49.751 -13.9447
"417" 3154 0.72 12 49.751 -13.9447
"418" 3521 0.58 12 49.751 -13.9447
"419" 3225 0.43 12 49.751 -13.9447
"420" 3265 0.43 12 49.751 -13.9447
"421" 3558 0.43 12 49.751 -13.9447
"422" 3596 0.43 12 49.751 -13.9447
"423" 3629 0.43 12 49.751 -13.9447
"424" 3668 0.29 12 49.751 -13.9447
"425" 543 33.34 13 49.8567 -13.962
"426" 580 32.57 13 49.8567 -13.962
"427" 505 28.57 13 49.8567 -13.962
"428" 617 26.1 13 49.8567 -13.962
"429" 691 22.29 13 49.8567 -13.962
"430" 656 21.72 13 49.8567 -13.962
"431" 766 17.72 13 49.8567 -13.962
"432" 730 15.24 13 49.8567 -13.962
"433" 802 14.48 13 49.8567 -13.962
"434" 840 13.52 13 49.8567 -13.962
"435" 1023 10.1 13 49.8567 -13.962
"436" 913 9.72 13 49.8567 -13.962
"437" 1207 9.72 13 49.8567 -13.962
"438" 1096 9.33 13 49.8567 -13.962
"439" 1355 9.33 13 49.8567 -13.962
"440" 1170 9.14 13 49.8567 -13.962
"441" 1282 8.95 13 49.8567 -13.962
"442" 1060 8.76 13 49.8567 -13.962
"443" 1134 8.76 13 49.8567 -13.962
"444" 1242 8.76 13 49.8567 -13.962
"445" 877 7.43 13 49.8567 -13.962
"446" 1317 7.43 13 49.8567 -13.962
"447" 951 7.05 13 49.8567 -13.962
"448" 1392 7.05 13 49.8567 -13.962
"449" 1730 5.33 13 49.8567 -13.962
"450" 1431 4.95 13 49.8567 -13.962
"451" 2358 4.19 13 49.8567 -13.962
"452" 1879 4 13 49.8567 -13.962
"453" 1470 3.24 13 49.8567 -13.962
"454" 2066 3.24 13 49.8567 -13.962
"455" 2396 3.24 13 49.8567 -13.962
"456" 2320 3.05 13 49.8567 -13.962
"457" 1805 2.67 13 49.8567 -13.962
"458" 1953 2.67 13 49.8567 -13.962
"459" 2213 2.67 13 49.8567 -13.962
"460" 1768 2.48 13 49.8567 -13.962
"461" 2503 2.48 13 49.8567 -13.962
"462" 2538 2.48 13 49.8567 -13.962
"463" 2578 2.48 13 49.8567 -13.962
"464" 1844 2.29 13 49.8567 -13.962
"465" 2650 2.29 13 49.8567 -13.962
"466" 1991 2.1 13 49.8567 -13.962
"467" 2140 2.1 13 49.8567 -13.962
"468" 2175 2.1 13 49.8567 -13.962
"469" 2687 2.1 13 49.8567 -13.962
"470" 2468 1.9 13 49.8567 -13.962
"471" 1918 1.71 13 49.8567 -13.962
"472" 2029 1.71 13 49.8567 -13.962
"473" 2250 1.71 13 49.8567 -13.962
"474" 2722 1.71 13 49.8567 -13.962
"475" 2758 1.71 13 49.8567 -13.962
"476" 2431 1.52 13 49.8567 -13.962
"477" 2613 1.52 13 49.8567 -13.962
"478" 2102 1.33 13 49.8567 -13.962
"479" 2794 1.33 13 49.8567 -13.962
"480" 2833 1.33 13 49.8567 -13.962
"481" 634 27.8 14 49.555 -14.1833
"482" 599 27.24 14 49.555 -14.1833
"483" 709 21.46 14 49.555 -14.1833
"484" 671 19.22 14 49.555 -14.1833
"485" 781 17.54 14 49.555 -14.1833
"486" 744 17.35 14 49.555 -14.1833
"487" 890 16.23 14 49.555 -14.1833
"488" 854 15.49 14 49.555 -14.1833
"489" 1183 13.62 14 49.555 -14.1833
"490" 1073 12.87 14 49.555 -14.1833
"491" 927 11.75 14 49.555 -14.1833
"492" 818 11.2 14 49.555 -14.1833
"493" 1110 10.82 14 49.555 -14.1833
"494" 1219 10.64 14 49.555 -14.1833
"495" 999 10.45 14 49.555 -14.1833
"496" 1292 10.26 14 49.555 -14.1833
"497" 963 9.7 14 49.555 -14.1833
"498" 1330 9.7 14 49.555 -14.1833
"499" 1035 9.52 14 49.555 -14.1833
"500" 1259 8.58 14 49.555 -14.1833
"501" 1367 7.09 14 49.555 -14.1833
"502" 1402 6.72 14 49.555 -14.1833
"503" 1440 6.16 14 49.555 -14.1833
"504" 2452 6.16 14 49.555 -14.1833
"505" 1547 5.41 14 49.555 -14.1833
"506" 1475 5.22 14 49.555 -14.1833
"507" 1584 5.22 14 49.555 -14.1833
"508" 1511 4.85 14 49.555 -14.1833
"509" 2560 4.29 14 49.555 -14.1833
"510" 2164 3.92 14 49.555 -14.1833
"511" 2487 3.92 14 49.555 -14.1833
"512" 2524 3.92 14 49.555 -14.1833
"513" 1621 3.73 14 49.555 -14.1833
"514" 1911 3.73 14 49.555 -14.1833
"515" 2380 3.73 14 49.555 -14.1833
"516" 1877 3.17 14 49.555 -14.1833
"517" 2201 3.17 14 49.555 -14.1833
"518" 2344 3.17 14 49.555 -14.1833
"519" 2019 2.99 14 49.555 -14.1833
"520" 2275 2.99 14 49.555 -14.1833
"521" 1983 2.8 14 49.555 -14.1833
"522" 2056 2.8 14 49.555 -14.1833
"523" 2595 2.8 14 49.555 -14.1833
"524" 2740 2.8 14 49.555 -14.1833
"525" 2236 2.61 14 49.555 -14.1833
"526" 2307 2.43 14 49.555 -14.1833
"527" 2668 2.43 14 49.555 -14.1833
"528" 2777 2.43 14 49.555 -14.1833
"529" 1947 2.24 14 49.555 -14.1833
"530" 2093 2.24 14 49.555 -14.1833
"531" 2128 1.87 14 49.555 -14.1833
"532" 2706 1.87 14 49.555 -14.1833
"533" 2631 1.68 14 49.555 -14.1833
"534" 2883 1.68 14 49.555 -14.1833
"535" 2919 1.68 14 49.555 -14.1833
"536" 2812 1.49 14 49.555 -14.1833
"537" 2849 1.49 14 49.555 -14.1833
"538" 2957 1.31 14 49.555 -14.1833
"539" 591.24 78.66923996 15 49.807 -14.0643
"540" 554.97 77.93401342 15 49.807 -14.0643
"541" 518.7 59.55334988 15 49.807 -14.0643
"542" 627.51 56.61244371 15 49.807 -14.0643
"543" 663.78 51.28205128 15 49.807 -14.0643
"544" 700.05 38.96700671 15 49.807 -14.0643
"545" 772.59 34.37184082 15 49.807 -14.0643
"546" 808.86 31.98235456 15 49.807 -14.0643
"547" 736.32 27.57099531 15 49.807 -14.0643
"548" 990.21 23.15963606 15 49.807 -14.0643
"549" 917.67 22.97582943 15 49.807 -14.0643
"550" 845.13 22.42440952 15 49.807 -14.0643
"551" 953.94 21.13776307 15 49.807 -14.0643
"552" 1026.48 20.03492326 15 49.807 -14.0643
"553" 881.4 18.74827681 15 49.807 -14.0643
"554" 1099.02 17.82924364 15 49.807 -14.0643
"555" 1316.64 16.54259719 15 49.807 -14.0643
"556" 1135.29 15.99117728 15 49.807 -14.0643
"557" 1171.56 15.80737065 15 49.807 -14.0643
"558" 1244.1 14.33691756 15 49.807 -14.0643
"559" 1207.83 14.15311093 15 49.807 -14.0643
"560" 1280.37 14.15311093 15 49.807 -14.0643
"561" 1389.18 11.9474313 15 49.807 -14.0643
"562" 1352.91 11.21220476 15 49.807 -14.0643
"563" 1497.99 10.10936495 15 49.807 -14.0643
"564" 1461.72 8.8227185 15 49.807 -14.0643
"565" 1425.45 8.271298594 15 49.807 -14.0643
"566" 1534.26 7.536072052 15 49.807 -14.0643
"567" 1788.15 4.778972521 15 49.807 -14.0643
"568" 1896.96 4.41135925 15 49.807 -14.0643
"569" 1860.69 3.859939344 15 49.807 -14.0643
"570" 1969.5 3.676132708 15 49.807 -14.0643
"571" 2404.74 3.676132708 15 49.807 -14.0643
"572" 2477.28 3.676132708 15 49.807 -14.0643
"573" 1933.23 3.492326073 15 49.807 -14.0643
"574" 2005.77 3.308519438 15 49.807 -14.0643
"575" 1824.42 3.124712802 15 49.807 -14.0643
"576" 2368.47 3.124712802 15 49.807 -14.0643
"577" 2259.66 2.940906167 15 49.807 -14.0643
"578" 2767.44 2.940906167 15 49.807 -14.0643
"579" 2694.9 2.757099531 15 49.807 -14.0643
"580" 2586.09 2.573292896 15 49.807 -14.0643
"581" 2731.17 2.573292896 15 49.807 -14.0643
"582" 2078.31 2.38948626 15 49.807 -14.0643
"583" 2441.01 2.38948626 15 49.807 -14.0643
"584" 2513.55 2.38948626 15 49.807 -14.0643
"585" 2622.36 2.38948626 15 49.807 -14.0643
"586" 2150.85 2.205679625 15 49.807 -14.0643
