Gender,Family,Height,Father,Mother
female,32,67.5,72.0,62.0
female,32,63.5,72.0,62.0
male,33,72.0,72.0,62.0
male,33,71.5,72.0,62.0
male,33,71.5,72.0,62.0
male,33,70.0,72.0,62.0
female,33,68.0,72.0,62.0
female,34,65.7,72.0,61.0
male,35,78.0,71.0,69.0
male,35,74.0,71.0,69.0
male,35,73.0,71.0,69.0
male,35,72.0,71.0,69.0
female,35,67.0,71.0,69.0
male,36,73.2,71.0,67.0
male,36,73.0,71.0,67.0
male,36,69.0,71.0,67.0
female,36,67.0,71.0,67.0
male,37,70.0,71.0,66.0
female,37,67.0,71.0,66.0
female,37,67.0,71.0,66.0
female,37,66.5,71.0,66.0
male,38,70.0,71.0,66.0
male,38,69.0,71.0,66.0
male,38,68.5,71.0,66.0
female,38,66.0,71.0,66.0
female,38,64.5,71.0,66.0
female,38,63.0,71.0,66.0
male,39,71.0,71.0,66.0
female,39,67.0,71.0,66.0
male,40,76.0,71.0,66.0
male,40,72.0,71.0,66.0
male,40,71.0,71.0,66.0
male,40,66.0,71.0,66.0
female,40,66.0,71.0,66.0
male,41,70.5,71.7,65.5
male,42,72.0,71.0,65.5
male,42,72.0,71.0,65.5
male,42,71.0,71.0,65.5
male,42,69.0,71.0,65.5
female,42,66.0,71.0,65.5
female,42,65.0,71.0,65.5
male,43,73.0,71.5,65.5
female,43,65.2,71.5,65.5
male,44,68.5,71.5,65.0
male,44,67.7,71.5,65.0
male,45,68.0,71.0,65.0
male,45,68.0,71.0,65.0
female,45,62.0,71.0,65.0
female,46,68.0,71.0,64.0
female,46,68.0,71.0,64.0
female,46,67.5,71.0,64.0
female,46,66.5,71.0,64.0
female,46,66.5,71.0,64.0
female,46,66.0,71.0,64.0
female,46,65.5,71.0,64.0
female,46,65.0,71.0,64.0
male,47,72.0,71.7,64.5
male,47,71.0,71.7,64.5
male,47,70.5,71.7,64.5
female,47,67.0,71.7,64.5
male,48,68.0,71.0,64.0
male,48,68.0,71.0,64.0
male,48,68.0,71.0,64.0
male,49,72.0,71.5,64.5
male,49,71.0,71.5,64.5
male,49,70.0,71.5,64.5
female,49,66.0,71.5,64.5
female,49,64.5,71.5,64.5
female,49,64.5,71.5,64.5
female,49,62.0,71.5,64.5
male,50,73.0,71.0,64.5
female,50,62.0,71.0,64.5
female,51,67.5,71.2,63.0
female,51,64.5,71.2,63.0
male,52,71.0,71.0,63.5
male,52,67.0,71.0,63.5
female,52,66.0,71.0,63.5
female,52,65.0,71.0,63.5
female,52,63.5,71.0,63.5
male,53,71.0,71.0,63.0
male,53,70.0,71.0,63.0
male,53,70.0,71.0,63.0
male,53,64.0,71.0,63.0
female,53,65.0,71.0,63.0
female,53,65.0,71.0,63.0
female,53,64.0,71.0,63.0
female,53,63.0,71.0,63.0
female,53,63.0,71.0,63.0
male,54,71.0,71.0,63.0
male,54,71.0,71.0,63.0
male,54,70.0,71.0,63.0
female,54,63.5,71.0,63.0
male,55,71.0,71.0,62.0
male,55,70.0,71.0,62.0
female,55,64.5,71.0,62.0
female,55,62.5,71.0,62.0
female,55,61.5,71.0,62.0
male,56,72.0,71.0,62.0
male,56,70.5,71.0,62.0
male,56,70.5,71.0,62.0
female,56,64.5,71.0,62.0
female,56,60.0,71.0,62.0
male,57,70.0,71.0,62.5
female,57,64.0,71.0,62.5
female,57,64.0,71.0,62.5
female,57,64.0,71.0,62.5
female,57,62.5,71.0,62.5
male,58,70.5,71.0,62.0
male,58,70.0,71.0,62.0
male,58,69.0,71.0,62.0
male,58,69.0,71.0,62.0
male,58,66.0,71.0,62.0
female,58,64.5,71.0,62.0
female,58,64.0,71.0,62.0
female,59,62.0,71.0,61.0
male,60,71.5,71.0,58.0
male,60,69.0,71.0,58.0
male,61,71.0,70.0,69.0
male,61,70.0,70.0,69.0
male,61,69.0,70.0,69.0
female,61,69.0,70.0,69.0
male,62,70.0,70.0,69.0
male,62,68.7,70.0,69.0
female,62,68.0,70.0,69.0
female,62,66.0,70.0,69.0
female,62,64.0,70.0,69.0
female,62,62.0,70.0,69.0
male,63,75.0,70.0,68.0
male,64,70.0,70.0,67.0
male,64,69.0,70.0,67.0
female,64,66.0,70.0,67.0
female,64,64.0,70.0,67.0
female,64,60.0,70.0,67.0
female,65,67.5,70.0,67.0
male,66,73.0,70.0,66.5
male,66,72.0,70.0,66.5
male,66,72.0,70.0,66.5
male,66,66.5,70.0,66.5
female,66,69.2,70.0,66.5
female,66,67.2,70.0,66.5
female,66,66.5,70.0,66.5
female,66,66.0,70.0,66.5
female,66,66.0,70.0,66.5
female,66,64.2,70.0,66.5
female,66,63.7,70.0,66.5
male,67,72.0,70.5,65.0
male,67,70.2,70.5,65.0
male,67,69.0,70.5,65.0
male,67,68.5,70.5,65.0
female,68,68.0,70.5,65.0
female,68,65.0,70.5,65.0
female,68,61.5,70.5,65.0
female,68,61.0,70.5,65.0
female,68,61.0,70.5,65.0
male,69,73.0,70.0,65.0
male,69,72.0,70.0,65.0
male,69,70.5,70.0,65.0
male,69,65.0,70.0,65.0
male,69,65.0,70.0,65.0
female,69,64.5,70.0,65.0
female,69,63.0,70.0,65.0
female,69,62.0,70.0,65.0
male,70,67.0,70.0,65.0
male,70,65.0,70.0,65.0
female,70,64.5,70.0,65.0
female,70,62.5,70.0,65.0
female,70,62.5,70.0,65.0
male,71,70.0,70.0,65.0
male,71,70.0,70.0,65.0
female,71,67.0,70.0,65.0
female,71,65.0,70.0,65.0
female,71,65.0,70.0,65.0
female,71,63.0,70.0,65.0
male,72,79.0,70.0,65.0
male,72,75.0,70.0,65.0
male,72,71.0,70.0,65.0
female,72,69.0,70.0,65.0
female,72,67.0,70.0,65.0
female,72,65.7,70.0,65.0
female,72,62.0,70.0,65.0
male,73,73.0,70.0,65.0
male,73,72.5,70.0,65.0
female,73,65.0,70.0,65.0
male,74,69.0,70.0,65.0
male,74,69.0,70.0,65.0
male,75,72.0,70.0,64.7
male,75,70.0,70.0,64.7
male,75,68.7,70.0,64.7
female,75,66.5,70.0,64.7
female,75,65.5,70.0,64.7
female,75,64.7,70.0,64.7
female,75,64.5,70.0,64.7
male,76,70.7,70.0,64.0
male,76,70.0,70.0,64.0
male,76,68.0,70.0,64.0
male,76,67.0,70.0,64.0
male,76,66.0,70.0,64.0
male,76,65.0,70.0,64.0
female,76,67.0,70.0,64.0
male,77,70.0,70.0,64.0
male,77,68.0,70.0,64.0
male,77,66.7,70.0,64.0
female,77,65.5,70.0,64.0
male,78,72.0,70.0,64.2
male,78,70.0,70.0,64.2
female,78,62.5,70.0,64.2
female,78,61.2,70.0,64.2
female,78,60.1,70.0,64.2
male,79,74.0,70.5,64.0
male,79,69.5,70.5,64.0
male,79,69.0,70.5,64.0
male,79,68.0,70.5,64.0
male,79,68.0,70.5,64.0
male,79,68.0,70.5,64.0
female,79,65.5,70.5,64.0
female,79,65.0,70.5,64.0
female,80,60.0,70.5,64.5
male,81,68.0,70.0,64.0
female,81,65.0,70.0,64.0
female,81,64.0,70.0,64.0
female,81,62.0,70.0,64.0
male,82,71.0,70.0,64.0
male,82,70.0,70.0,64.0
male,82,70.0,70.0,64.0
male,82,70.0,70.0,64.0
male,82,69.5,70.0,64.0
male,82,68.5,70.0,64.0
female,82,69.0,70.0,64.0
female,82,65.0,70.0,64.0
female,82,64.0,70.0,64.0
male,83,70.0,70.0,63.7
male,83,67.0,70.0,63.7
male,83,65.5,70.0,63.7
female,83,63.7,70.0,63.7
female,83,63.2,70.0,63.7
female,83,62.5,70.0,63.7
female,83,62.2,70.0,63.7
female,83,61.0,70.0,63.7
male,84,70.0,70.5,63.0
male,84,68.5,70.5,63.0
female,84,65.5,70.5,63.0
female,84,63.5,70.5,63.0
male,85,72.5,70.5,63.0
male,85,69.0,70.5,63.0
male,85,67.0,70.5,63.0
female,85,64.5,70.5,63.0
female,85,64.0,70.5,63.0
male,86,71.0,70.0,63.5
male,86,67.5,70.0,63.5
female,86,67.5,70.0,63.5
female,86,63.5,70.0,63.5
male,87,68.0,70.0,63.0
male,87,67.0,70.0,63.0
female,87,63.7,70.0,63.0
female,87,62.0,70.0,63.0
male,88,70.0,70.0,63.0
male,88,66.5,70.0,63.0
female,88,62.0,70.0,63.0
female,88,61.0,70.0,63.0
male,89,72.0,70.5,62.0
male,89,70.0,70.5,62.0
male,89,69.5,70.5,62.0
male,89,69.5,70.5,62.0
male,89,68.0,70.5,62.0
female,89,65.0,70.5,62.0
female,89,64.0,70.5,62.0
female,89,63.0,70.5,62.0
male,90,70.7,70.3,62.7
male,90,69.7,70.3,62.7
male,90,69.2,70.3,62.7
male,90,65.2,70.3,62.7
female,90,64.0,70.3,62.7
female,90,63.5,70.3,62.7
female,90,63.2,70.3,62.7
male,91,72.0,70.5,62.0
male,91,72.0,70.5,62.0
female,91,60.0,70.5,62.0
male,92,71.2,70.0,61.0
male,92,67.0,70.0,61.0
male,93,67.0,70.0,60.0
male,93,64.5,70.0,60.0
female,93,65.0,70.0,60.0
female,93,63.0,70.0,60.0
female,94,65.0,70.0,60.0
female,94,65.0,70.0,60.0
male,95,71.5,70.0,58.5
male,95,64.5,70.0,58.5
female,95,63.0,70.0,58.5
male,96,72.0,70.0,58.0
male,96,66.0,70.0,58.0
female,96,66.0,70.0,58.0
female,96,65.0,70.0,58.0
female,96,63.0,70.0,58.0
male,97,75.0,69.0,68.5
male,97,71.0,69.0,68.5
male,97,70.0,69.0,68.5
female,97,66.0,69.0,68.5
female,97,66.0,69.0,68.5
female,97,65.5,69.0,68.5
female,97,65.0,69.0,68.5
female,97,65.0,69.0,68.5
female,97,64.0,69.0,68.5
female,97,64.0,69.0,68.5
female,98,64.0,69.0,67.0
male,99,73.0,69.0,66.0
male,99,72.0,69.0,66.0
male,99,71.7,69.0,66.0
male,99,71.5,69.0,66.0
female,99,65.5,69.0,66.0
female,99,65.0,69.0,66.0
female,99,62.7,69.0,66.0
female,99,62.5,69.0,66.0
male,100,71.2,69.0,66.0
male,100,71.0,69.0,66.0
male,100,70.0,69.0,66.0
male,101,75.0,69.0,66.7
male,101,74.0,69.0,66.7
male,101,72.0,69.0,66.7
male,102,70.0,69.0,66.0
male,102,68.5,69.0,66.0
male,102,68.0,69.0,66.0
female,102,65.0,69.0,66.0
female,102,63.0,69.0,66.0
female,102,62.5,69.0,66.0
male,103,73.0,69.0,66.5
male,103,71.0,69.0,66.5
male,103,70.5,69.0,66.5
male,103,70.5,69.0,66.5
male,103,67.0,69.0,66.5
male,103,66.0,69.0,66.5
female,103,61.0,69.0,66.5
male,104,70.5,69.5,66.5
male,104,67.5,69.5,66.5
female,104,64.5,69.5,66.5
female,104,64.0,69.5,66.5
male,105,71.0,69.0,66.5
female,105,68.5,69.0,66.5
female,105,67.5,69.0,66.5
female,105,66.0,69.0,66.5
female,105,63.0,69.0,66.5
female,105,63.0,69.0,66.5
male,106,71.0,69.5,66.0
male,106,71.0,69.5,66.0
male,106,70.5,69.5,66.0
male,106,70.5,69.5,66.0
female,106,66.5,69.5,66.0
female,106,65.5,69.5,66.0
female,106,64.5,69.5,66.0
male,107,73.0,69.0,66.0
male,107,72.0,69.0,66.0
male,107,69.0,69.0,66.0
male,107,69.0,69.0,66.0
female,107,66.5,69.0,66.0
female,107,65.5,69.0,66.0
female,107,65.5,69.0,66.0
female,107,65.0,69.0,66.0
female,107,64.0,69.0,66.0
male,108,70.0,69.0,65.0
male,108,68.5,69.0,65.0
male,108,67.0,69.0,65.0
female,108,65.0,69.0,65.0
female,108,64.0,69.0,65.0
female,108,63.5,69.0,65.0
female,108,61.0,69.0,65.0
male,109,69.7,69.5,64.5
male,109,68.0,69.5,64.5
male,109,60.0,69.5,64.5
female,109,65.2,69.5,64.5
female,109,64.5,69.5,64.5
female,109,63.7,69.5,64.5
female,109,60.0,69.5,64.5
male,110,71.7,69.2,64.0
male,110,66.5,69.2,64.0
female,110,65.0,69.2,64.0
female,110,63.5,69.2,64.0
female,111,65.5,69.0,63.5
male,112,69.0,69.0,63.0
female,112,67.5,69.0,63.0
female,112,63.5,69.0,63.0
male,113,72.0,69.0,63.0
male,114,73.0,69.0,63.0
male,114,70.0,69.0,63.0
male,114,70.0,69.0,63.0
male,114,64.0,69.0,63.0
female,114,66.0,69.0,63.0
female,114,62.0,69.0,63.0
male,115,70.5,69.0,63.5
male,115,67.0,69.0,63.5
male,115,66.0,69.0,63.5
female,115,65.0,69.0,63.5
female,115,63.0,69.0,63.5
female,115,62.0,69.0,63.5
female,115,61.0,69.0,63.5
male,116,70.5,69.0,63.5
female,116,63.7,69.0,63.5
female,116,63.0,69.0,63.5
female,117,62.5,69.7,62.0
male,118,73.0,69.5,62.0
male,118,72.0,69.5,62.0
male,118,69.0,69.5,62.0
male,119,73.0,69.0,62.0
male,119,71.0,69.0,62.0
male,119,71.0,69.0,62.0
male,119,69.0,69.0,62.0
female,119,63.0,69.0,62.0
male,120,72.0,69.5,62.0
male,120,70.0,69.5,62.0
male,120,67.8,69.5,62.0
female,120,65.2,69.5,62.0
female,120,64.7,69.5,62.0
female,120,64.5,69.5,62.0
female,120,63.5,69.5,62.0
female,120,63.5,69.5,62.0
female,120,62.5,69.5,62.0
female,120,62.0,69.5,62.0
female,120,61.5,69.5,62.0
male,121,71.0,69.0,62.5
male,121,70.0,69.0,62.5
male,121,70.0,69.0,62.5
male,121,69.0,69.0,62.5
female,121,63.5,69.0,62.5
female,121,62.5,69.0,62.5
female,121,62.5,69.0,62.5
female,121,62.0,69.0,62.5
male,122,72.0,69.0,62.0
male,122,68.0,69.0,62.0
female,122,66.0,69.0,62.0
female,122,66.0,69.0,62.0
male,123,70.0,69.5,61.0
male,123,69.5,69.5,61.0
male,123,69.0,69.5,61.0
female,123,63.0,69.5,61.0
female,123,62.0,69.5,61.0
male,124,68.0,69.0,61.0
male,124,68.0,69.0,61.0
male,124,67.5,69.0,61.0
male,124,64.0,69.0,61.0
male,124,63.0,69.0,61.0
male,124,63.0,69.0,61.0
female,124,63.5,69.0,61.0
female,124,62.0,69.0,61.0
female,124,62.0,69.0,61.0
male,125,70.5,69.0,60.0
female,125,68.0,69.0,60.0
female,125,62.5,69.0,60.0
male,126,69.0,69.0,60.0
male,126,66.0,69.0,60.0
female,126,61.7,69.0,60.0
female,126,60.5,69.0,60.0
male,127,69.5,69.0,60.5
male,128,71.0,68.7,70.5
female,128,61.7,68.7,70.5
male,129,73.0,68.5,67.0
male,129,71.0,68.5,67.0
female,129,67.0,68.5,67.0
male,130,70.0,68.5,66.5
male,130,69.0,68.5,66.5
male,130,69.0,68.5,66.5
male,130,68.7,68.5,66.5
male,130,68.5,68.5,66.5
male,130,68.5,68.5,66.5
male,130,68.0,68.5,66.5
male,130,68.0,68.5,66.5
male,130,68.0,68.5,66.5
male,130,66.2,68.5,66.5
female,130,63.2,68.5,66.5
male,131,67.5,68.0,65.0
male,131,66.0,68.0,65.0
male,132,66.0,68.0,65.5
female,132,64.0,68.0,65.5
male,133,71.7,68.0,65.5
male,133,71.5,68.0,65.5
male,133,70.7,68.0,65.5
male,133,65.5,68.0,65.5
female,133,66.5,68.0,65.5
female,133,65.2,68.0,65.5
female,133,61.5,68.0,65.5
male,134,72.0,68.0,65.0
male,134,72.0,68.0,65.0
female,134,68.0,68.0,65.0
female,134,66.0,68.0,65.0
male,135,69.2,68.5,65.0
male,135,68.0,68.5,65.0
male,135,66.0,68.5,65.0
male,135,66.0,68.5,65.0
female,135,62.0,68.5,65.0
female,135,61.5,68.5,65.0
female,135,61.0,68.5,65.0
female,135,60.0,68.5,65.0
male,136,71.0,68.0,64.0
male,136,68.0,68.0,64.0
male,136,68.0,68.0,64.0
male,136,67.0,68.0,64.0
female,136,65.0,68.0,64.0
female,136,64.0,68.0,64.0
female,136,63.0,68.0,64.0
female,136,63.0,68.0,64.0
female,136,62.0,68.0,64.0
female,136,61.0,68.0,64.0
male,137,66.0,68.0,64.0
male,137,63.0,68.0,64.0
female,137,65.5,68.0,64.0
female,137,62.0,68.0,64.0
male,138,71.2,68.0,64.0
male,138,71.2,68.0,64.0
male,138,69.0,68.0,64.0
male,138,68.5,68.0,64.0
female,138,62.5,68.0,64.0
female,139,62.0,68.0,64.5
male,140,69.0,68.0,64.0
male,140,67.0,68.0,64.0
male,140,66.0,68.0,64.0
female,140,66.0,68.0,64.0
female,140,66.0,68.0,64.0
female,140,65.0,68.0,64.0
female,140,65.0,68.0,64.0
female,140,65.0,68.0,64.0
female,140,64.0,68.0,64.0
female,140,63.0,68.0,64.0
male,141,70.5,68.0,63.0
male,141,70.0,68.0,63.0
male,141,68.0,68.0,63.0
male,141,66.0,68.0,63.0
male,141,66.0,68.0,63.0
female,141,66.0,68.0,63.0
female,141,62.0,68.0,63.0
female,141,61.5,68.0,63.0
male,142,73.5,68.5,63.5
male,142,70.0,68.5,63.5
male,142,69.5,68.5,63.5
female,142,65.5,68.5,63.5
male,143,67.0,68.0,63.0
male,144,70.0,68.0,63.0
male,144,68.0,68.0,63.0
female,144,64.5,68.0,63.0
female,144,64.0,68.0,63.0
male,145,71.0,68.0,63.0
male,145,68.0,68.0,63.0
male,145,66.0,68.0,63.0
male,145,65.5,68.0,63.0
male,145,65.0,68.0,63.0
female,145,63.0,68.0,63.0
female,145,62.0,68.0,63.0
female,145,62.0,68.0,63.0
male,146,67.0,68.0,63.0
male,146,67.0,68.0,63.0
male,146,66.0,68.0,63.0
female,146,64.0,68.0,63.0
female,146,63.5,68.0,63.0
female,146,61.0,68.0,63.0
male,147,68.2,68.5,63.5
male,148,70.0,68.0,63.0
male,149,70.0,68.2,63.5
male,149,69.0,68.2,63.5
male,149,67.0,68.2,63.5
male,149,65.5,68.2,63.5
female,149,64.5,68.2,63.5
male,150,68.5,68.0,62.5
male,151,67.7,68.7,62.0
female,151,61.7,68.7,62.0
male,152,66.5,68.0,62.5
male,153,68.5,68.0,61.0
male,153,68.0,68.0,61.0
male,153,64.0,68.0,61.0
female,153,63.5,68.0,61.0
female,153,63.0,68.0,61.0
male,154,66.7,68.0,60.2
male,155,64.0,68.0,60.0
female,155,61.0,68.0,60.0
female,155,61.0,68.0,60.0
female,155,60.0,68.0,60.0
female,155,60.0,68.0,60.0
female,155,60.0,68.0,60.0
female,155,56.0,68.0,60.0
male,156,67.5,68.0,60.0
male,156,67.0,68.0,60.0
male,156,66.5,68.0,60.0
female,156,60.0,68.0,60.0
male,157,69.0,68.5,59.0
male,158,68.0,68.0,59.0
male,158,65.0,68.0,59.0
male,158,64.7,68.0,59.0
male,158,64.0,68.0,59.0
male,158,64.0,68.0,59.0
male,158,63.0,68.0,59.0
female,158,65.0,68.0,59.0
female,158,65.0,68.0,59.0
female,158,62.0,68.0,59.0
female,158,61.0,68.0,59.0
male,159,72.7,67.0,66.2
male,159,72.7,67.0,66.2
male,159,71.5,67.0,66.2
female,159,65.5,67.0,66.2
female,159,63.5,67.0,66.2
male,160,71.0,67.0,66.5
male,161,73.0,67.0,66.0
male,161,71.0,67.0,66.0
male,161,70.5,67.0,66.0
male,161,70.0,67.0,66.0
male,161,69.0,67.0,66.0
female,161,68.0,67.0,66.0
female,161,65.5,67.0,66.0
female,161,62.0,67.0,66.0
male,162,69.7,67.0,65.0
male,162,67.5,67.0,65.0
female,162,65.5,67.0,65.0
female,162,65.0,67.0,65.0
female,162,64.5,67.0,65.0
female,162,63.5,67.0,65.0
male,163,70.0,67.0,65.5
male,163,69.0,67.0,65.5
female,163,65.5,67.0,65.5
female,163,65.5,67.0,65.5
female,163,63.0,67.0,65.5
male,164,70.0,67.0,65.5
male,164,67.7,67.0,65.5
female,164,63.0,67.0,65.5
female,164,60.0,67.0,65.5
male,165,65.0,67.0,65.0
female,165,62.0,67.0,65.0
female,165,62.0,67.0,65.0
male,166,71.0,67.5,65.0
male,166,69.0,67.5,65.0
female,166,64.0,67.5,65.0
female,166,64.0,67.5,65.0
female,166,63.0,67.5,65.0
female,166,63.0,67.5,65.0
female,166,63.0,67.5,65.0
female,166,63.0,67.5,65.0
female,166,63.0,67.5,65.0
female,166,62.5,67.5,65.0
female,166,62.0,67.5,65.0
male,167,71.5,67.0,64.0
male,167,70.0,67.0,64.0
male,167,67.0,67.0,64.0
male,167,67.0,67.0,64.0
male,168,71.0,67.0,63.5
male,168,70.2,67.0,63.5
male,168,69.2,67.0,63.5
male,168,68.5,67.0,63.5
male,168,68.0,67.0,63.5
male,168,67.0,67.0,63.5
male,168,65.5,67.0,63.5
female,168,63.5,67.0,63.5
male,169,69.0,67.0,63.0
male,169,68.0,67.0,63.0
female,169,63.0,67.0,63.0
male,170,70.0,67.5,62.0
male,170,69.5,67.5,62.0
male,170,69.0,67.5,62.0
male,170,68.5,67.5,62.0
female,170,66.0,67.5,62.0
male,171,67.0,67.0,61.0
male,172,70.5,66.0,67.0
male,172,70.5,66.0,67.0
male,172,67.0,66.0,67.0
male,172,66.0,66.0,67.0
male,172,66.0,66.0,67.0
female,172,62.0,66.0,67.0
female,172,62.0,66.0,67.0
female,172,61.5,66.0,67.0
male,173,72.0,66.0,67.0
male,173,65.0,66.0,67.0
male,173,65.0,66.0,67.0
female,173,67.0,66.0,67.0
female,173,64.0,66.0,67.0
female,173,64.0,66.0,67.0
female,173,62.0,66.0,67.0
female,173,60.0,66.0,67.0
female,173,60.0,66.0,67.0
male,174,66.0,66.0,66.0
male,174,65.0,66.0,66.0
female,174,67.0,66.0,66.0
female,174,66.5,66.0,66.0
female,174,65.5,66.0,66.0
male,175,72.0,66.0,66.0
male,175,68.0,66.0,66.0
female,175,66.0,66.0,66.0
female,175,65.0,66.0,66.0
female,175,62.0,66.0,66.0
female,175,61.0,66.0,66.0
male,176,68.7,66.5,65.0
male,176,68.5,66.5,65.0
male,176,66.5,66.5,65.0
male,176,64.5,66.5,65.0
female,176,62.5,66.5,65.0
female,176,60.5,66.5,65.0
female,176,60.5,66.5,65.0
female,176,57.5,66.5,65.0
male,177,72.0,66.0,65.5
male,177,71.0,66.0,65.5
male,177,67.0,66.0,65.5
female,177,66.0,66.0,65.5
female,177,65.0,66.0,65.5
male,178,70.0,66.0,63.0
female,179,64.5,66.0,63.5
female,179,62.0,66.0,63.5
male,180,67.2,66.5,63.0
male,180,67.0,66.5,63.0
male,180,65.0,66.5,63.0
female,180,65.0,66.5,63.0
female,180,65.0,66.5,63.0
female,180,63.0,66.5,63.0
male,181,70.0,66.5,62.5
male,181,68.0,66.5,62.5
female,181,63.5,66.5,62.5
female,181,62.5,66.5,62.5
female,181,62.5,66.5,62.5
female,181,62.5,66.5,62.5
female,181,62.5,66.5,62.5
male,182,70.0,66.0,61.5
male,183,68.0,66.0,60.0
male,183,67.0,66.0,60.0
male,183,65.0,66.0,60.0
female,183,60.0,66.0,60.0
male,184,65.0,66.0,60.0
male,185,68.0,66.0,59.0
male,185,67.0,66.0,59.0
male,185,66.5,66.0,59.0
male,185,66.0,66.0,59.0
male,185,65.7,66.0,59.0
male,185,65.5,66.0,59.0
male,185,65.0,66.0,59.0
female,185,65.0,66.0,59.0
female,185,64.0,66.0,59.0
female,185,63.0,66.0,59.0
female,185,62.0,66.0,59.0
female,185,61.0,66.0,59.0
female,185,60.0,66.0,59.0
female,185,58.0,66.0,59.0
female,185,57.0,66.0,59.0
male,186,66.5,65.0,67.0
male,186,66.0,65.0,67.0
male,186,66.0,65.0,67.0
female,186,65.0,65.0,67.0
female,187,63.0,65.0,67.0
male,188,63.0,65.0,66.0
female,188,63.0,65.0,66.0
female,188,63.0,65.0,66.0
female,188,60.0,65.0,66.0
male,189,67.0,65.0,66.0
male,189,66.0,65.0,66.0
male,189,65.0,65.0,66.0
female,189,65.0,65.0,66.0
female,189,61.0,65.0,66.0
male,190,69.0,65.0,65.0
male,190,68.0,65.0,65.0
male,190,68.0,65.0,65.0
female,190,65.0,65.0,65.0
female,190,65.0,65.0,65.0
female,190,62.0,65.0,65.0
female,190,62.0,65.0,65.0
female,190,61.0,65.0,65.0
