State,Representative,Party,Pro05,Anti05,Pro06,Anti06,Pro07,Anti07,PctPro
California,Harman,D,14,1,12,0,18,2,93.62
California,Millender-McDonald,D,17,0,11,1,1,2,90.63
California,Richardson,D,,,,,3,0,100.00
California,Napolitano,D,16,2,12,0,18,2,92.00
California,"Sanchez, Linda",D,17,1,12,0,19,1,96.00
California,Royce,R,4,13,2,10,3,17,18.37
California,"Lewis, Jerry",R,1,17,0,12,3,17,8.00
California,"Miller, Gary",R,0,17,0,12,1,19,2.04
California,Baca,D,10,7,9,3,17,3,73.47
California,Calvert,R,2,16,1,11,0,20,6.00
California,Bono,R,2,16,3,8,6,14,22.45
California,Rohrabacher,R,3,15,2,10,2,18,14.00
California,"Sanchez, Loretta",D,17,0,12,0,18,2,95.92
California,Cox,R,1,13,,,,,7.14
California,Campbell,R,0,1,3,9,4,16,21.21
California,Issa,R,1,17,0,12,0,20,2.00
California,Bilbray,R,,,0,1,5,15,23.81
California,Cunningham,R,1,14,,,,,6.67
California,Filner,D,16,1,11,0,18,2,93.75
California,Hunter,R,1,17,0,12,1,19,4.00
California,Davis,D,18,0,11,0,19,1,97.96
Colorado,DeGette,D,18,0,12,0,19,1,98.00
Colorado,"Udall, M.",D,18,0,12,0,19,1,98.00
Colorado,"Salazar, J.",D,14,4,7,4,14,6,71.43
Colorado,Musgrave,R,0,18,1,6,1,19,4.44
Colorado,Hefley,R,1,16,0,12,,,3.45
Colorado,Lamborn,R,,,,,1,19,5.00
Colorado,Tancredo,R,2,15,1,10,2,18,10.42
Colorado,Beauprez,R,0,17,1,11,,,3.45
Colorado,Perlmutter,D,,,,,18,2,90.00
Colorado,"Larson, J.",D,16,1,4,0,18,2,92.68
Colorado,Simmons,R,11,7,10,2,,,70.00
Colorado,Courtney,D,,,,,19,1,95.00
Colorado,DeLauro,D,18,0,12,0,17,3,94.00
Colorado,Shays,R,14,2,11,1,20,0,93.75
Colorado,"Johnson, N.",R,10,8,10,2,,,66.67
Colorado,"Murphy, Chris",D,,,,,20,0,100.00
Delaware,Castle,R,12,5,10,2,19,1,83.67
Florida,"Miller, J.",R,3,15,1,11,2,18,12.00
Florida,Boyd,D,14,4,4,8,13,7,62.00
Florida,"Brown, C.",D,17,1,11,1,17,3,90.00
Florida,Crenshaw,R,2,16,1,11,1,19,8.00
Florida,Brown-Waite,R,2,16,2,10,4,16,16.00
Florida,Stearns,R,2,16,1,11,3,17,12.00
Florida,Mica,R,0,18,0,12,1,19,2.00
Florida,Keller,R,3,14,2,10,3,17,16.33
Florida,Bilirakis,R,2,16,3,9,3,17,16.00
Florida,"Young, B.",R,4,12,6,6,7,13,35.42
Florida,"Davis, Jim",D,16,1,12,0,,,96.55
Florida,Castor,D,,,,,19,1,95.00
Florida,Putnam,R,2,16,1,11,1,19,8.00
Florida,Harris,R,3,15,3,8,,,20.69
Florida,Buchanan,R,,,,,5,15,25.00
Florida,Mack,R,4,14,2,10,1,19,14.00
Florida,"Weldon, D.",R,2,16,0,12,1,19,6.00
Florida,Foley,R,4,14,7,5,,,36.67
Florida,Mahoney,D,,,,,15,5,75.00
Florida,"Meek, K.",D,16,2,11,1,17,3,88.00
Florida,Ros-Lehtinen,R,2,16,4,8,6,14,24.00
Florida,Wexler,D,18,0,12,0,17,3,94.00
Florida,Wasserman Schultz,D,17,1,12,0,18,2,94.00
Florida,"Diaz-Balart, L.",R,2,16,2,9,4,16,16.33
Florida,Shaw,R,5,13,6,6,,,36.67
Florida,Klein,D,,,,,15,5,75.00
Florida,"Hastings, A.",D,16,1,11,0,18,2,93.75
Florida,Feeney,R,3,14,1,11,1,19,10.20
Florida,"Diaz-Balart, M.",R,2,16,2,10,13,7,34.00
Georgia,Kingston,R,1,17,2,10,0,20,6.00
Georgia,"Bishop, S.",D,8,10,3,7,15,5,54.17
Georgia,Marshall,D,11,7,5,7,11,9,54.00
Georgia,"Johnson, H.",D,,,,,19,1,95.00
Georgia,McKinney,D,18,0,12,0,,,100.00
Georgia,"Lewis, John",D,17,0,12,0,19,1,97.96
Georgia,"Price, T.",R,0,17,1,11,2,18,6.12
Georgia,Linder,R,2,16,0,12,0,20,4.00
Georgia,Westmoreland,R,0,18,0,12,0,20,0.00
Georgia,Norwood,R,1,16,1,11,,,6.90
Georgia,Broun,R,,,,,0,7,0.00
Georgia,Deal,R,0,17,0,12,1,19,2.04
Georgia,Gingrey,R,1,17,0,12,0,20,2.00
Georgia,Barrow,D,14,4,6,6,13,7,66.00
Georgia,"Scott, D.",D,10,8,9,3,16,4,70.00
Hawaii,Abercrombie,D,12,6,9,3,14,6,70.00
Hawaii,Case,D,16,2,12,0,,,93.33
Hawaii,Hirono,D,,,,,18,2,90.00
Idaho,Otter,R,2,16,1,11,,,10.00
Idaho,Sali,R,,,,,0,20,0.00
Idaho,Simpson,R,1,17,0,12,1,19,4.00
Illinois,Rush,D,13,5,7,3,17,3,77.08
Illinois,"Jackson, J.",D,17,1,11,1,19,1,94.00
Illinois,Lipinski,D,15,3,11,1,18,2,88.00
Illinois,Gutierrez,D,14,1,12,0,16,4,89.36
Illinois,Emanuel,D,13,1,11,1,18,2,91.30
Illinois,Hyde,R,0,17,1,11,,,3.45
Illinois,Roskam,R,,,,,3,17,15.00
Illinois,"Davis, D.",D,15,3,10,1,19,1,89.80
Illinois,Bean,D,14,4,10,2,17,3,82.00
Illinois,Schakowsky,D,16,1,12,0,20,0,97.96
Illinois,Kirk,R,7,11,9,2,18,2,69.39
Illinois,Weller,R,0,18,3,9,5,15,16.00
Illinois,Costello,D,13,5,9,3,15,5,74.00
Illinois,Biggert,R,0,18,4,8,11,9,30.00
Illinois,Hastert,R,0,0,0,0,2,17,10.53
Illinois,"Johnson, Timothy",R,13,5,10,2,15,5,76.00
Illinois,Manzullo,R,0,18,0,11,0,20,0.00
Illinois,Evans,D,16,2,1,0,,,89.47
Illinois,Hare,D,,,,,17,3,85.00
Illinois,LaHood,R,4,14,3,9,7,13,28.00
Illinois,Shimkus,R,0,18,0,11,2,18,4.08
Indiana,Visclosky,D,13,5,11,1,17,3,82.00
Indiana,Chocola,R,1,17,0,12,,,3.33
Indiana,Donnelly,D,,,,,17,3,85.00
Indiana,Souder,R,0,17,0,12,1,19,2.04
Indiana,Buyer,R,0,18,0,12,1,19,2.00
Indiana,Burton,R,0,18,0,11,1,19,2.04
Indiana,Pence,R,1,17,0,12,1,19,4.00
Indiana,"Carson, J.",D,16,1,12,0,14,6,85.71
Indiana,Hostettler,R,2,15,0,12,,,6.90
Indiana,Ellsworth,D,,,,,15,5,75.00
Indiana,Sodrel,R,0,18,1,11,,,3.33
Indiana,"Hill, B.",D,,,,,17,3,85.00
Iowa,Nussle,R,1,17,1,10,,,6.90
Iowa,Braley,D,,,,,17,3,85.00
Iowa,Leach,R,10,7,5,2,,,62.50
Iowa,Loebsack,D,,,,,18,2,90.00
Iowa,Boswell,D,9,6,6,6,15,5,63.83
Iowa,Latham,R,1,17,0,12,1,19,4.00
Iowa,"King, S.",R,0,18,0,12,0,20,0.00
Kansas,"Moran, Jerry",R,0,18,1,11,2,18,6.00
Kansas,"Ryun, J.",R,0,18,0,12,,,0.00
Kansas,Boyda,D,,,,,14,6,70.00
Kansas,"Moore, D.",D,14,4,11,1,17,3,84.00
Kansas,Tiahrt,R,0,18,0,12,1,19,2.00
Kentucky,Whitfield,R,1,17,3,9,3,17,14.00
Kentucky,"Lewis, R.",R,0,18,2,10,0,20,4.00
Kentucky,Northrup,R,0,18,0,12,,,0.00
Kentucky,Yarmuth,D,,,,,20,0,100.00
Kentucky,"Davis, G.",R,1,17,1,11,0,20,4.00
Kentucky,"Rogers, H.",R,0,18,2,10,1,19,6.00
Kentucky,Chandler,D,15,3,11,1,20,0,92.00
Louisiana,Jindal,R,1,17,1,11,1,19,6.00
Louisiana,Jefferson,D,9,8,6,6,15,5,61.22
Louisiana,Melancon,D,6,12,1,11,11,9,36.00
Louisiana,McCrery,R,0,18,0,12,0,20,0.00
Louisiana,"Alexander, R.",R,0,18,0,12,2,18,4.00
Louisiana,Baker,R,0,18,0,12,1,19,2.00
Louisiana,Boustany,R,1,17,0,12,0,20,2.00
Maine,"Allen, T.,",D,17,1,12,0,20,0,98.00
Maine,Michaud,D,18,0,9,3,20,0,94.00
Maryland,Gilchrest,R,9,9,8,4,12,8,58.00
Maryland,Ruppersberger,D,14,4,11,1,16,4,82.00
Maryland,Cardin,D,17,0,12,0,,,100.00
Maryland,Sarbanes,D,,,,,17,3,85.00
Maryland,Wynn,D,12,6,11,1,20,0,86.00
Maryland,Hoyer,D,15,3,12,0,18,2,90.00
Maryland,Bartlett,R,7,11,7,5,9,11,46.00
Maryland,Cummings,D,15,3,12,0,19,1,92.00
Maryland,VanHollen,D,18,0,12,0,19,1,98.00
Massachusetts,Olver,D,17,0,12,0,20,0,100.00
Massachusetts,Neal,D,16,1,12,0,19,1,95.92
Massachusetts,McGovern,D,18,0,12,0,20,0,100.00
Massachusetts,"Frank, B.",D,17,1,12,0,16,4,90.00
Massachusetts,Meehan,D,17,1,12,0,12,1,95.35
Massachusetts,Tsongas,D,,,,,3,0,100.00
Massachusetts,Tierney,D,18,0,12,0,20,0,100.00
Massachusetts,Markey,D,18,0,12,0,19,1,98.00
Massachusetts,Capuano,D,17,1,12,0,19,1,96.00
Massachusetts,Lynch,D,17,1,12,0,18,2,94.00
Massachusetts,Delahunt,D,14,1,11,1,18,2,91.49
Michigan,Stupak,D,14,3,5,0,14,6,78.57
Michigan,Hoekstra,R,1,17,0,12,1,19,4.00
Michigan,Ehlers,R,9,9,9,3,14,6,64.00
Michigan,Camp,R,1,17,1,11,0,20,4.00
Michigan,Kildee,D,16,2,12,0,16,4,88.00
Michigan,Upton,R,1,17,6,6,7,13,28.00
Michigan,"Schwarz, J.",R,5,12,7,5,,,41.38
Michigan,Walberg,R,,,,,1,19,5.00
Michigan,"Rogers, Michael J.",R,1,17,1,11,1,19,6.00
Michigan,Knollenberg,R,1,17,0,12,4,16,10.00
Michigan,"Miller, C.",R,2,16,2,10,5,15,18.00
Michigan,McCotter,R,3,15,2,10,3,17,16.00
Michigan,"Levin, S.",D,16,2,12,0,18,2,92.00
Michigan,Kilpatrick,D,15,2,12,0,16,4,87.76
Michigan,Conyers,D,16,2,12,0,17,3,90.00
Michigan,Dingell,D,16,2,12,0,18,2,92.00
Minnesota,Gutknecht,R,13,5,0,11,,,44.83
Minnesota,Walz,D,,,,,17,3,85.00
Minnesota,Kline,R,0,18,1,11,0,20,2.00
Minnesota,Ramstad,R,11,7,10,2,19,1,80.00
Minnesota,McCollum,D,18,0,12,0,19,1,98.00
Minnesota,Sabo,D,16,2,11,1,20,0,94.00
Minnesota,"Kennedy, M.",R,2,16,4,8,,,20.00
Minnesota,Bachmann,R,,,,,0,20,0.00
Minnesota,"Peterson, C.",D,9,9,2,10,12,8,46.00
Minnesota,Obserstar,D,15,2,8,3,15,5,79.17
Mississippi,Wicker,R,0,18,0,12,1,19,2.00
Mississippi,"Thompson, B.",D,14,4,6,6,17,3,74.00
Mississippi,Pickering,R,0,18,2,10,1,19,6.00
Mississippi,"Taylor, G.",D,10,8,5,7,16,4,62.00
Missouri,Clay,D,15,2,11,1,15,5,83.67
Missouri,Akin,R,0,18,1,11,1,19,4.00
Missouri,Carnahan,D,16,2,12,0,18,2,92.00
Missouri,Skelton,D,10,8,6,6,14,6,60.00
Missouri,Cleaver,D,16,2,9,1,17,3,87.50
Missouri,Graves,R,0,18,1,11,1,19,4.00
Missouri,Blunt,R,1,17,0,10,0,20,2.08
Missouri,Emerson,R,2,16,1,11,3,17,12.00
Missouri,Hulshof,R,0,18,1,11,1,19,4.00
Montana,Rehberg,R,2,16,0,12,2,18,8.00
Nebraska,Fortenberry,R,0,18,3,9,9,11,24.00
Nebraska,Terry,R,0,18,1,11,3,17,8.00
Nebraska,Osborne,R,1,17,1,11,,,6.67
Nebraska,"Smith, Adrian",R,,,,,1,19,5.00
Nevada,Berkley,D,18,0,12,0,15,5,90.00
Nevada,Gibbons,R,0,18,0,11,,,0.00
Nevada,Heller,R,,,,,3,17,15.00
Nevada,Porter,R,0,18,1,11,6,14,14.00
New Hampshire,Bradley,R,8,10,10,2,,,60.00
New Hampshire,Shea-Porter,D,,,,,18,2,90.00
New Hampshire,Bass,R,6,12,8,4,,,46.67
New Hampshire,Hodes,D,,,,,20,0,100.00
New Jersey,Andrews,D,15,0,12,0,20,0,100.00
New Jersey,LoBiondo,R,14,4,10,2,18,2,84.00
New Jersey,Saxton,R,13,5,10,2,15,5,76.00
New Jersey,"Smith, C.",R,14,4,11,1,17,3,84.00
New Jersey,Garrett,R,2,16,3,9,4,16,18.00
New Jersey,Pallone,D,18,0,12,0,20,0,100.00
New Jersey,Ferguson,R,3,15,10,2,17,3,60.00
New Jersey,Pascrell,D,16,2,12,0,20,0,96.00
New Jersey,Rothman,D,17,0,12,0,18,2,95.92
New Jersey,Payne,D,15,0,11,0,15,5,89.13
New Jersey,Frelinghuysen,R,6,12,8,4,14,6,56.00
New Jersey,Holt,D,18,0,12,0,20,0,100.00
New Jersey,Menendez,D,18,0,,,,,100.00
New Jersey,Sires,,,,,,19,1,95.00
New Mexico,"Wilson, H.",R,4,14,2,10,3,17,18.00
New Mexico,Pearce,R,0,18,0,12,0,20,0.00
New Mexico,"Udall, T.",D,18,0,12,0,20,0,100.00
New York,"Bishop, T.",D,17,1,11,0,20,0,97.96
New York,Israel,D,17,1,11,1,20,0,96.00
New York,"King, P.",R,2,16,1,10,6,14,18.37
New York,McCarthy,D,17,1,12,0,20,0,98.00
New York,Ackerman,D,17,1,11,0,17,3,91.84
New York,"Meeks, G.",D,13,5,10,2,18,2,82.00
New York,Crowley,D,18,0,11,1,19,1,96.00
New York,Nadler,D,17,1,12,0,19,1,96.00
New York,Weiner,D,16,1,12,0,18,2,93.88
New York,Towns,D,8,7,10,2,18,2,76.60
New York,Owens,D,16,2,12,0,,,93.33
New York,Clarke,D,,,,,16,4,80.00
New York,Velazquez,D,13,1,11,1,17,3,89.13
New York,Fossella,R,2,16,2,10,6,14,20.00
New York,Maloney,D,18,0,11,1,20,0,98.00
New York,Rangel,D,17,1,12,0,18,2,94.00
New York,Serrano,D,17,1,12,0,17,3,92.00
New York,Engel,D,17,1,12,0,17,3,92.00
New York,Lowey,D,17,1,12,0,19,1,96.00
New York,Kelly,R,3,8,11,1,,,60.87
New York,"Hall, J.",D,,,,,19,1,95.00
New York,Sweeney,R,3,15,5,5,,,28.57
New York,Gillibrand,D,,,,,19,1,95.00
New York,McNulty,D,17,1,12,0,19,1,96.00
New York,Hinchey,D,16,1,12,0,19,1,95.92
New York,McHugh,R,3,1,3,9,9,11,41.67
New York,Boehlert,R,14,4,10,2,,,80.00
New York,Arcuri,D,,,,,18,2,90.00
New York,Walsh,R,4,14,7,5,9,11,40.00
New York,Reynolds,R,2,16,1,6,1,19,8.89
New York,Higgins,D,17,1,11,1,19,1,94.00
New York,Slaughter,D,16,2,11,0,19,1,93.88
New York,Kuhl,R,1,17,4,8,6,14,22.00
North Carolina,Butterfield,D,16,2,9,3,14,6,78.00
North Carolina,Etheridge,D,16,2,9,3,17,3,84.00
North Carolina,"Jones, W.",R,9,8,6,6,8,12,46.94
North Carolina,"Price, D.",D,17,1,11,1,19,1,94.00
North Carolina,Foxx,R,2,16,1,10,2,18,10.20
North Carolina,Coble,R,1,16,1,10,1,19,6.25
North Carolina,McIntyre,D,12,5,8,4,15,5,71.43
North Carolina,Hayes,R,0,18,2,10,3,17,10.00
North Carolina,Myrick,R,1,16,0,11,2,18,6.25
North Carolina,McHenry,R,2,16,0,11,0,20,4.08
North Carolina,"Taylor, C.",R,1,16,1,11,,,6.90
North Carolina,Shuler,D,,,,,15,5,75.00
North Carolina,Watt,D,17,1,11,1,19,1,94.00
North Carolina,"Miller, B.",D,17,1,11,1,18,2,92.00
North Dakota,Pomeroy,D,10,8,8,4,17,3,70.00
Ohio,Chabot,R,2,16,1,11,4,16,14.00
Ohio,Zportman,R,0,10,,,,,0.00
Ohio,Schmidt,R,0,4,1,11,2,18,8.33
Ohio,Turner,R,1,17,1,11,2,18,8.00
Ohio,Oxley,R,0,17,0,12,,,0.00
Ohio,Jordon,R,,,,,1,19,5.00
Ohio,Gillmor,R,1,17,2,10,7,10,21.28
Ohio,Strickland,D,14,3,9,1,,,85.19
Ohio,"Wilson, C.",D,,,,,12,,100.00
Ohio,Hobson,R,1,16,0,12,4,16,10.20
Ohio,Boehner,R,0,18,0,12,0,20,0.00
Ohio,Kaptur,D,16,2,12,0,16,4,88.00
Ohio,Kucinich,D,18,0,12,0,16,4,92.00
Ohio,"Tubbs Jones, S.",D,15,3,11,1,15,5,82.00
Ohio,Tiberi,R,1,17,1,11,3,17,10.00
Ohio,"Brown, S.",D,18,0,12,0,,,100.00
Ohio,Sutton,D,,,,,17,,100.00
Ohio,LaTourette,R,2,15,4,8,8,12,28.57
Ohio,"Pryce, D.",R,1,17,3,9,5,15,18.00
Ohio,Regula,R,0,18,1,11,4,16,10.00
Ohio,"Ryan, T.",D,16,2,11,1,16,4,86.00
Ohio,Ney,R,2,16,2,10,,,13.33
Ohio,Space,D,,,,,12,,100.00
Oklahoma,Sullivan,R,0,18,2,9,1,19,6.12
Oklahoma,Boren,D,5,13,0,11,3,17,16.33
Oklahoma,Lucas,R,0,17,0,12,0,20,0.00
Oklahoma,Cole,R,0,18,1,11,0,20,2.00
Oklahoma,Istook,R,0,17,0,11,,,0.00
Oregon,Wu,D,18,0,12,0,20,0,100.00
Oregon,Walden,R,2,16,2,10,4,16,16.00
Oregon,Blumenauer,D,18,0,11,1,20,0,98.00
Oregon,DeFazio,D,18,0,10,2,19,1,94.00
Oregon,Hooley,D,18,0,11,1,17,3,92.00
Pennsylvania,"Brady, R.",D,13,4,9,3,17,3,79.59
Pennsylvania,Fattah,D,16,1,12,0,18,2,93.88
Pennsylvania,English,R,1,16,3,9,7,13,22.45
Pennsylvania,Hart,R,0,18,3,9,,,10.00
Pennsylvania,Altmire,D,,,,,16,4,80.00
Pennsylvania,"Peterson, J.",R,0,18,0,12,2,18,4.00
Pennsylvania,Gerlach,R,10,8,8,3,14,6,65.31
Pennsylvania,"Weldon, C.",R,5,12,8,3,,,46.43
Pennsylvania,Sestak,D,,,,,20,0,100.00
Pennsylvania,Fitzpatrick,R,11,7,11,0,,,75.86
Pennsylvania,"Murphy, P.",D,,,,,18,2,90.00
Pennsylvania,Shuster,R,0,18,1,11,1,19,4.00
Pennsylvania,Sherwood,R,0,18,1,10,16,4,34.69
Pennsylvania,Kanjorski,D,12,6,8,3,14,6,69.39
Pennsylvania,Murtha,D,10,8,7,5,15,5,64.00
Pennsylvania,"Schwartz, A.",D,17,1,12,0,19,1,96.00
Pennsylvania,Doyle,D,11,7,9,3,16,4,72.00
Pennsylvania,Dent,R,0,18,2,10,11,9,26.00
Pennsylvania,Pitts,R,0,18,1,11,2,18,6.00
Pennsylvania,Holden,D,10,8,6,6,14,6,60.00
Pennsylvania,Murphy,R,0,18,2,10,4,16,12.00
Pennsylvania,Platts,R,6,12,5,7,11,9,44.00
Rhode Island,"Kennedy, P.",D,18,0,4,0,18,2,95.24
Rhode Island,Langevin,D,18,0,12,0,19,1,98.00
South Carolina,"Brown, H.",R,1,17,1,11,1,19,6.00
South Carolina,"Wilson, J.",R,0,18,0,11,0,20,0.00
South Carolina,Barrett,R,1,17,1,11,1,19,6.00
South Carolina,Inglis,R,5,13,5,7,5,15,30.00
South Carolina,Spratt,D,16,2,11,1,17,3,88.00
South Carolina,Clyburn,D,14,3,12,0,16,4,85.71
South Dakota,Herseth,D,10,8,6,6,14,6,60.00
Tennessee,Jenkins,R,1,17,2,10,,,10.00
Tennessee,"Davis, David",R,,,,,2,,100.00
Tennessee,Duncan,R,0,18,1,10,2,18,6.12
Tennessee,Wamp,R,2,16,0,12,2,18,8.00
Tennessee,"Davis, L.",D,6,12,5,7,15,5,52.00
Tennessee,Cooper,D,12,6,12,0,16,4,80.00
Tennessee,Gordon,D,11,7,9,3,16,4,72.00
Tennessee,Blackburn,R,1,17,0,11,1,19,4.08
Tennessee,Tanner,D,9,9,5,7,14,6,56.00
Tennessee,Ford,D,12,5,8,2,,,74.07
Tennessee,Cohen,D,,,,,19,,100.00
Texas,Gohmert,R,1,17,0,11,0,20,2.04
Texas,Poe,R,1,17,2,10,1,19,8.00
Texas,"Johnson, S.",R,0,17,0,11,1,19,2.08
Texas,"Hall, R.",R,0,17,0,12,0,20,0.00
Texas,Hensarling,R,1,17,1,11,3,17,10.00
Texas,Barton,R,0,18,1,9,0,20,2.08
Texas,Culbertson,R,0,17,1,11,0,20,2.04
Texas,"Brady, K.",R,0,18,1,11,0,20,2.00
Texas,"Green, A.",D,10,8,8,4,17,3,70.00
Texas,McCaul,R,0,18,2,10,2,18,8.00
Texas,Conaway,R,0,17,0,12,0,20,0.00
Texas,Granger,R,0,18,0,12,0,20,0.00
Texas,Thornberry,R,0,18,0,12,0,20,0.00
Texas,Paul,R,8,7,3,9,3,17,29.79
Texas,Hinojusa,D,6,12,5,7,11,9,44.00
Texas,Reyes,D,7,10,4,7,14,6,52.08
Texas,Edwards,D,7,11,2,10,12,8,42.00
Texas,"Jackson-Lee, S.",D,11,6,9,3,18,2,77.55
Texas,Neugebauer,R,0,18,0,12,0,20,0.00
Texas,Gonzalez,D,11,7,8,3,17,3,73.47
Texas,"Smith, L.",R,0,18,2,10,0,20,4.00
Texas,DeLay,R,1,17,1,8,,,7.41
Texas,Lampson,D,,,,,10,10,50.00
Texas,Bonilla,R,0,18,0,12,,,0.00
Texas,Rodriguez,D,,,,,16,4,80.00
Texas,Marchant,R,0,18,1,12,1,19,3.92
Texas,Doggett,D,17,0,12,0,18,2,95.92
Texas,Burgess,R,0,18,1,12,0,20,1.96
Texas,Ortiz,D,6,12,4,8,7,13,34.00
Texas,Cuellar,D,6,12,1,11,13,7,40.00
Texas,"Green, G.",D,7,10,7,4,13,7,56.25
Texas,"Johnson, E.B.",D,16,2,9,3,16,4,82.00
Texas,Carter,R,0,17,0,12,0,20,0.00
Texas,"Sessions, P.",R,0,17,0,12,0,20,0.00
Utah,"Bishop, R.",R,0,18,0,11,0,20,0.00
Utah,Matheson,D,10,8,7,5,11,9,56.00
Utah,Cannon,R,0,18,0,8,2,18,4.35
Vermont,Sanders,I,17,0,12,0,,,100.00
Vermont,Welch,D,,,,,19,1,95.00
Virginia,"Davis, Jo Ann",R,2,14,5,7,0,20,14.58
Virginia,Drake,R,1,17,2,10,2,18,10.00
Virginia,"Scott, B.",D,15,3,12,0,18,2,90.00
Virginia,Forbes,R,1,17,1,11,1,19,6.00
Virginia,Goode,R,5,13,0,12,0,20,10.00
Virginia,Goodlatte,R,0,18,0,12,0,20,0.00
Virginia,Cantor,R,1,17,1,11,1,19,6.00
Virginia,"Moran, James",D,16,2,11,1,19,1,92.00
Virginia, Boucher,D,10,8,8,1,15,5,70.21
Virginia,Wolf,R,5,13,3,9,12,8,40.00
Virginia,"Davis, T.",R,6,12,6,6,8,12,40.00
Washington,Insleee,D,18,0,12,0,19,1,98.00
Washington,"Larsen, R.",D,16,2,10,2,16,4,84.00
Washington,Baird,D,17,1,10,2,19,1,92.00
Washington,"Hastings, D.",R,0,18,0,12,1,19,2.00
Washington,McMorris,R,0,18,0,11,1,19,2.04
Washington,Dicks,D,15,3,9,1,19,1,89.58
Washington,McDermott,D,17,1,12,0,19,1,96.00
Washington,Reichtert,R,5,13,8,4,17,3,60.00
Washington,"Smith, A.",D,18,0,12,0,18,2,96.00
West Virginia,Mollohan,D,10,8,7,4,11,9,57.14
West Virginia,Capito,R,2,16,3,9,4,16,18.00
West Virginia,Rahall,D,15,3,11,1,15,5,82.00
Wisconsin,"Ryan, P.",R,2,16,2,10,5,15,18.00
Wisconsin,Baldwin,D,18,0,12,0,20,0,100.00
Wisconsin,Kind,D,18,0,11,1,19,1,96.00
Wisconsin,"Moore, G.",D,18,0,12,0,19,1,98.00
Wisconsin,Sensenbrenner,R,3,15,3,9,4,16,20.00
Wisconsin,Petri,R,3,15,8,4,10,10,42.00
Wisconsin,Obey,D,18,0,12,0,18,2,96.00
Wisconsin,"Green, M.",R,4,14,4,8,,,26.67
Wisconsin,Kagen,D,,,,,18,2,90.00
Wyoming,Cubin,R,1,15,0,11,0,20,2.13
