County,Buchanan2000,Gore2000,Bush2000,Nader2000,Browne2000,Total2000,Clinton96,Dole96,Perot96,Buchanan96p,ReformReg,TotalReg
Hernando,242,"32,644","30,646","1,501",116,"64,907","28,520","22,039","7,272","2,645",43,"95,549"
Highlands,99,"14,152","20,196",409,51,"34,808","14,244","15,608","3,739","1,096",24,"52,941"
Hillsborough,836,"166,581","176,967","7,348","1,104","352,000","144,223","136,621","25,154","7,267",299,"499,427"
Holmes,76,"2,154","4,985",91,18,"7,248","2,310","3,248","1,208",62,2,"10,317"
Indian River,105,"19,769","28,627",950,123,"49,469","16,373","22,709","4,635","1,797",66,"71,420"
Jackson,102,"6,868","9,138",138,40,"16,184","6,665","7,187","1,602",390,8,"23,973"
Jefferson,29,"3,038","2,481",76,14,"5,609","2,543","1,851",393,99,2,"8,161"
Lafayette,10,788,"1,669",26,6,"2,489",829,"1,166",316,15,0,"4,036"
Lake,289,"36,555","49,963","1,459",203,"88,180","25,750","35,089","8,813","3,531",80,"131,031"
Lee,305,"73,560","106,141","3,587",538,"183,826","65,692","80,882","18,389","7,359",113,"252,918"
Leon,282,"61,425","39,053","1,932",330,"102,740","50,058","33,914","6,672","2,222",80,"146,417"
Levy,67,"5,403","6,860",284,92,"12,639","4,938","4,299","1,774",330,17,"18,671"
Liberty,39,"1,011","1,316",19,12,"2,358",868,913,376,18,0,"3,752"
Madison,29,"3,011","3,038",54,18,"6,121","2,791","2,195",578,109,2,"10,378"
Manatee,272,"49,169","57,948","2,489",243,"109,849","41,835","44,059","10,360","4,804",140,"170,578"
Marion,563,"44,648","55,135","1,810",361,"101,954","37,033","41,397","11,340",862,108,"147,707"
Martin,108,"26,619","33,864","1,075",105,"61,663","20,851","28,516","5,005","4,483",48,"86,514"
Monroe,47,16483,16059,1090,162,"33,794","15,219","12,021","4,817","2,497",62,"48,409"
Nassau,90,"6,952","16,404",255,63,"23,674","7,276","12,134","1,657",628,13,"35,170"
Okaloosa,267,"16,924","52,043",984,313,"70,264","16,434","40,631","5,432","4,147",96,"111,320"
Okeechobee,43,"4,588","5,058",131,21,"9,798","4,824","3,415","1,666",149,27,"17,448"
Orange,446,"140,115","134,476","3,881",892,"279,364","105,513","106,026","18,191","7,203",199,"404,779"
Osceola,145,"28,177","26,216",732,309,"55,434","21,870","18,335","6,091","1,499",62,"92,196"
Pasco,570,"69,550","68,581","3,392",412,"141,935","66,472","48,346","18,011","4,675",337,"656,694"
Pinellas,"1,010","199,660","184,312","9,986","1,222","395,180","184,728","152,125","36,990","12,116",167,"221,671"
Polk,538,"74,977","90,101","2,060",365,"167,503","66,735","67,943","14,991","5,157",425,"574,961"
Putnam,147,"12,091","13,439",379,114,"26,023","12,008","9,781","3,272",952,119,"247,807"
St. Johns,229,"19,482","39,497","1,214",210,"60,403","10,923","26,244","4,957","2,536",27,"40,396"
St. Lucie,124,"41,559","34,705","1,368",165,"77,797","63,648","69,198","14,939","5,660",55,"77,778"
Santa Rosa,311,"12,795","36,248",723,131,"49,897","45,051","59,778","9,357","4,052",154,"221,945"
Sarasota,305,"72,854","83,100","4,066",431,"160,451","16,713","27,311","4,205","1,885",81,"190,704"
Seminole,194,"58,888","75,293","1,940",551,"136,672","36,168","28,892","8,482","3,229",59,"89,511"
Sumter,114,"9,634","12,126",307,53,"22,120","7,014","5,960","2,375",481,25,"117,785"
Suwannee,108,"4,084","8,014",182,53,"12,333","4,479","5,742","1,874",376,21,"31,549"
Taylor,27,"2,647","4,051",59,4,"6,761","3,583","3,188","1,140",99,7,"20,617"
Union,26,"1,399","2,326",29,13,"3,767","1,388","1,636",425,45,3,"12,304"
Volusia,396,"97,063","82,214","2,436","3,211","184,924","78,905","63,067","17,319","4,441",1,"6,752"
Wakulla,46,"3,835","4,511",149,30,"8,525","3,054","2,931","1,091",133,176,"260,572"
Walton,120,"5,637","12,176",265,68,"18,146","5,341","7,706","2,342",546,7,"13,382"
Washington,88,"2,796","4,983",93,32,"7,904","2,992","3,522","1,287",190,22,"28,144"
Palm Beach,"3,407","268,945","152,846","5,564",743,"428,098","230,621","133,762","30,739","8,788",9,"14,358"
,,,,,,,,,,,,
