Year,Month,SOI,SST
1981,5,2.7,24.06
1981,6,3.0,22.75
1981,7,2.3,21.38
1981,8,2.5,20.52
1981,9,3.0,19.93
1981,10,2.0,20.55
1981,11,3.3,21.41
1981,12,4.4,23.00
1982,1,6.6,24.29
1982,2,4.7,25.49
1982,3,4.3,25.21
1982,4,2.1,24.50
1982,5,0.6,23.97
1982,6,-1.2,22.89
1982,7,-2.0,22.47
1982,8,-2.0,21.75
1982,9,-0.8,21.80
1982,10,-0.4,22.94
1982,11,-1.8,24.59
1982,12,-0.7,26.13
1983,1,-2.1,27.42
1983,2,-2.5,28.09
1983,3,-1.2,28.68
1983,4,0.3,28.56
1983,5,2.3,28.19
1983,6,0.8,27.44
1983,7,-0.3,25.95
1983,8,1.5,23.78
1983,9,4.0,22.24
1983,10,3.5,21.86
1983,11,2.8,21.90
1983,12,3.5,23.01
1984,1,4.7,24.18
1984,2,5.8,25.18
1984,3,2.8,26.00
1984,4,2.6,25.16
1984,5,1.6,23.23
1984,6,0.1,21.96
1984,7,1.1,21.24
1984,8,2.0,20.17
1984,9,2.6,20.37
1984,10,2.1,20.52
1984,11,3.5,21.50
1984,12,3.2,22.58
1985,1,3.8,23.59
1985,2,6.5,24.87
1985,3,4.6,25.74
1985,4,4.1,24.25
1985,5,2.0,22.29
1985,6,0.0,21.75
1985,7,0.6,20.44
1985,8,3.0,19.29
1985,9,2.4,19.44
1985,10,2.0,19.90
1985,11,2.7,20.69
1985,12,3.9,22.40
1986,1,6.1,24.61
1986,2,2.3,26.06
1986,3,4.1,25.91
1986,4,2.5,24.58
1986,5,0.8,23.38
1986,6,2.5,21.98
1986,7,1.3,21.12
1986,8,0.5,20.97
1986,9,1.5,20.44
1986,10,3.9,21.07
1986,11,0.8,22.03
1986,12,0.8,23.00
1987,1,3.1,25.30
1987,2,1.9,27.14
1987,3,0.9,28.01
1987,4,-0.6,27.17
1987,5,-1.1,25.58
1987,6,-1.3,24.06
1987,7,-1.7,22.78
1987,8,-0.5,21.73
1987,9,0.5,21.45
1987,10,2.0,22.39
1987,11,3.0,22.63
1987,12,2.6,23.47
1988,1,4.2,24.64
1988,2,3.5,25.74
1988,3,4.4,25.78
1988,4,2.2,24.54
1988,5,2.9,23.60
1988,6,0.9,21.27
1988,7,2.7,20.26
1988,8,4.0,19.12
1988,9,5.7,19.19
1988,10,5.3,19.50
1988,11,6.1,20.55
1988,12,5.7,21.80
1989,1,7.2,24.09
1989,2,6.5,26.26
1989,3,5.2,26.66
1989,4,4.9,25.63
1989,5,3.5,23.18
1989,6,2.1,22.00
1989,7,2.4,21.12
1989,8,0.7,20.32
1989,9,3.3,19.87
1989,10,4.1,20.33
1989,11,2.6,21.31
1989,12,2.5,22.19
1990,1,4.2,24.02
1990,2,0.9,25.88
1990,3,2.4,26.16
1990,4,2.3,25.22
1990,5,3.4,24.05
1990,6,1.3,22.68
1990,7,1.8,21.00
1990,8,0.9,20.25
1990,9,1.1,20.13
1990,10,3.2,20.28
1990,11,2.1,20.84
1990,12,3.0,22.45
1991,1,5.5,23.86
1991,2,4.7,25.97
1991,3,2.0,26.51
1991,4,0.8,24.99
1991,5,-0.7,24.37
1991,6,0.5,23.05
1991,7,0.8,22.05
1991,8,0.5,21.08
1991,9,-0.4,20.75
1991,10,0.8,21.13
1991,11,1.8,22.18
1991,12,0.2,23.43
1992,1,-0.9,24.83
1992,2,2.6,26.68
1992,3,-0.5,27.76
1992,4,0.1,27.68
1992,5,1.7,26.31
1992,6,-0.4,23.82
1992,7,-0.3,21.95
1992,8,1.9,20.55
1992,9,2.5,20.06
1992,10,0.1,20.82
1992,11,1.8,21.49
1992,12,2.4,22.48
1993,1,2.7,24.43
1993,2,2.9,26.49
1993,3,2.4,27.17
1993,4,-0.2,26.44
1993,5,0.6,25.15
1993,6,-0.8,23.76
1993,7,-0.7,22.06
1993,8,-0.5,21.05
1993,9,1.1,20.93
1993,10,0.7,20.99
1993,11,2.9,21.64
1993,12,3.8,22.75
1994,1,4.1,24.32
1994,2,4.7,25.79
1994,3,2.0,25.43
1994,4,-0.4,24.32
1994,5,0.0,23.22
1994,6,-0.1,22.43
1994,7,-1.7,21.21
1994,8,-1.0,19.70
1994,9,-0.5,20.16
1994,10,0.6,21.53
1994,11,2.0,22.41
1994,12,1.2,23.61
1995,1,3.6,25.33
1995,2,4.0,26.43
1995,3,4.6,26.12
1995,4,0.7,24.47
1995,5,0.5,23.10
1995,6,1.0,22.45
1995,7,1.6,21.23
1995,8,1.8,20.01
1995,9,2.9,20.17
1995,10,2.7,20.15
1995,11,3.1,21.20
1995,12,2.5,22.02
1996,1,6.2,23.84
1996,2,4.7,25.71
1996,3,5.3,26.09
1996,4,3.4,23.85
1996,5,1.8,22.89
1996,6,2.9,21.56
1996,7,2.0,20.02
1996,8,2.6,19.53
1996,9,3.5,19.24
1996,10,3.8,19.95
1996,11,2.9,20.26
1996,12,5.1,21.61
1997,1,5.3,23.67
1997,2,7.4,25.74
1997,3,2.4,26.95
1997,4,0.9,26.64
1997,5,-1.2,26.71
1997,6,-1.8,26.27
1997,7,-0.6,25.59
1997,8,-1.4,24.80
1997,9,-0.2,24.40
1997,10,0.0,24.58
1997,11,0.8,25.63
1997,12,1.7,26.92
1998,1,-0.6,28.22
1998,2,0.5,28.98
1998,3,-1.3,29.15
1998,4,-0.7,28.61
1998,5,1.7,27.69
1998,6,2.5,25.18
1998,7,3.0,23.43
1998,8,3.4,21.77
1998,9,4.3,20.87
1998,10,4.7,21.16
1998,11,4.9,21.43
1998,12,6.0,22.56
1999,1,7.7,23.73
1999,2,6.0,25.64
1999,3,5.6,26.62
1999,4,4.5,24.30
1999,5,1.7,23.46
1999,6,1.2,21.83
1999,7,1.8,20.44
1999,8,1.9,19.75
1999,9,2.3,19.23
1999,10,4.5,20.05
1999,11,4.9,20.51
1999,12,6.1,21.72
2000,1,5.6,23.86
2000,2,7.3,25.71
2000,3,5.7,26.19
2000,4,4.2,25.84
2000,5,1.9,24.10
2000,6,0.4,22.25
2000,7,0.4,20.59
2000,8,2.5,20.10
2000,9,4.0,19.94
2000,10,4.7,20.37
2000,11,6.4,20.60
2000,12,4.9,22.22
2001,1,6.2,23.88
2001,2,7.3,25.91
2001,3,4.9,27.44
2001,4,2.3,26.69
2001,5,0.3,23.77
2001,6,1.3,21.74
2001,7,0.4,20.88
2001,8,0.4,19.90
2001,9,2.7,19.39
2001,10,2.6,19.52
2001,11,4.3,20.49
2001,12,1.9,21.96
2002,1,5.2,23.64
2002,2,6.2,26.06
2002,3,2.8,27.53
2002,4,1.8,26.53
2002,5,-0.3,24.80
2002,6,0.3,22.67
2002,7,-0.1,21.01
2002,8,-0.6,19.94
2002,9,1.3,19.89
2002,10,2.0,21.16
2002,11,2.2,22.25
2002,12,1.4,23.44
2003,1,4.0,24.38
2003,2,3.0,25.81
2003,3,2.7,25.97
2003,4,1.7,24.44
2003,5,0.7,22.49
2003,6,-0.4,21.58
2003,7,1.4,20.75
2003,8,1.4,20.14
2003,9,2.2,20.00
2003,10,2.7,20.99
2003,11,2.5,21.92
2003,12,5.5,22.99
2004,1,1.9,24.60
2004,2,6.5,25.81
2004,3,4.0,25.94
2004,4,0.3,25.32
2004,5,3.1,23.05
2004,6,-0.8,21.60
2004,7,-0.1,20.71
2004,8,0.7,19.62
2004,9,1.8,20.07
2004,10,2.6,20.92
2004,11,1.8,21.96
2004,12,2.0,22.94
2005,1,5.0,24.47
2005,2,-1.6,25.49
2005,3,3.8,25.60
2005,4,0.8,24.90
2005,5,-0.2,24.40
2005,6,1.5,22.47
2005,7,1.1,21.18
2005,8,0.6,20.61
2005,9,3.1,19.71
2005,10,4.9,19.72
2005,11,2.7,20.62
2005,12,3.4,22.29
2006,1,7.4,24.33
2006,2,4.5,26.46
2006,3,6.5,26.77
2006,4,3.9,24.15
2006,5,0.3,23.86
2006,6,0.3,22.77
2006,7,-0.3,22.19
2006,8,-0.7,21.59
2006,9,1.3,21.43
2006,10,0.4,22.22
2006,11,3.2,22.69
2006,12,2.9,23.45
2007,1,2.9,24.99
2007,2,4.1,26.24
2007,3,3.6,25.74
2007,4,1.7,24.30
2007,5,1.0,22.73
2007,6,1.7,21.59
2007,7,0.2,20.27
2007,8,2.0,19.16
2007,9,2.7,18.57
2007,10,4.0,18.80
2007,11,4.6,19.49
2007,12,6.5,21.02
2008,1,7.6,23.86
2008,2,9.1,26.32
2008,3,5.9,27.30
2008,4,3.2,25.89
2008,5,1.1,24.41
2008,6,1.8,23.55
2008,7,1.3,22.63
2008,8,3.1,21.79
2008,9,4.7,21.19
2008,10,5.1,20.75
2008,11,5.5,21.44
2008,12,6.1,22.43
2009,1,6.4,24.42
2009,2,7.7,26.03
2009,3,4.0,26.38
2009,4,3.4,25.96
2009,5,1.0,24.83
2009,6,0.9,23.73
2009,7,1.2,22.63
2009,8,0.9,21.64
2009,9,3.0,20.82
2009,10,0.5,20.96
2009,11,1.9,22.11
2009,12,2.1,23.16
2010,1,2.3,24.82
2010,2,1.5,26.08
2010,3,2.0,26.24
2010,4,4.2,26.05
2010,5,2.9,24.28
2010,6,1.4,22.60
2010,7,4.1,20.08
2010,8,4.6,19.27
2010,9,6.5,18.90
2010,10,5.9,19.06
2010,11,5.4,20.03
2010,12,8.8,21.37
