Make,VehicleAge,Passengers,Cause
Ford,1,2,NotTire
Ford,1,1,NotTire
Ford,1,0,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,7,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,4,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,4,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,6,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,7,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,3,NotTire
Other,2,2,NotTire
Other,2,2,NotTire
Other,2,3,NotTire
Other,2,11,NotTire
Other,2,0,NotTire
Other,2,5,NotTire
Ford,2,3,NotTire
Ford,2,2,NotTire
Ford,2,1,NotTire
Ford,2,4,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,0,NotTire
Ford,2,2,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,1,NotTire
Ford,2,3,NotTire
Ford,2,1,NotTire
Ford,2,3,NotTire
Ford,2,0,NotTire
Ford,2,0,NotTire
Ford,2,0,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,0,NotTire
Ford,2,3,NotTire
Ford,2,0,NotTire
Ford,2,0,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,3,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,4,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,1,NotTire
Other,3,1,NotTire
Other,3,2,Tire
Other,3,1,NotTire
Other,3,3,NotTire
Other,3,3,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,4,NotTire
Other,3,0,NotTire
Other,3,3,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,1,NotTire
Other,3,4,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,1,NotTire
Other,3,6,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,3,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,5,NotTire
Other,3,0,NotTire
Other,3,5,NotTire
Other,3,1,Tire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,5,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,3,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Ford,3,0,NotTire
Ford,3,1,NotTire
Ford,3,0,NotTire
Ford,3,3,NotTire
Ford,3,0,NotTire
Ford,3,1,NotTire
Ford,3,1,NotTire
Ford,3,1,NotTire
Ford,3,0,NotTire
Ford,3,1,NotTire
Ford,3,2,NotTire
Ford,3,2,NotTire
Ford,3,0,NotTire
Ford,3,0,NotTire
Ford,3,2,NotTire
Ford,3,0,NotTire
Ford,3,2,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,2,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,2,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,3,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,2,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,3,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,4,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,3,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,2,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,2,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,3,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,1,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,4,NotTire
Other,4,0,NotTire
Other,4,2,NotTire
Other,4,1,NotTire
Other,4,1,NotTire
Other,4,1,NotTire
Other,4,2,NotTire
Other,4,2,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,1,NotTire
Other,4,5,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,2,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,3,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,3,NotTire
Other,4,4,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,3,NotTire
Other,4,2,NotTire
Other,4,0,NotTire
Other,4,2,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,5,NotTire
Other,4,3,NotTire
Other,4,3,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,5,NotTire
Other,4,0,NotTire
Other,4,6,NotTire
Other,4,1,NotTire
Other,4,2,NotTire
Other,4,2,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,3,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,0,NotTire
Other,4,1,NotTire
Other,4,0,NotTire
Ford,4,0,NotTire
Ford,4,1,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,1,NotTire
Ford,4,1,NotTire
Ford,4,0,NotTire
Ford,4,1,NotTire
Ford,4,1,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,1,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,4,NotTire
Ford,4,0,NotTire
Ford,4,1,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,1,NotTire
Ford,4,0,NotTire
Ford,4,0,NotTire
Ford,4,1,NotTire
Ford,4,1,NotTire
Ford,4,1,NotTire
Ford,4,1,NotTire
Ford,4,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,3,NotTire
Other,5,0,NotTire
Other,5,3,NotTire
Other,5,3,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,3,NotTire
Other,5,2,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,2,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,3,NotTire
Other,5,0,NotTire
Other,5,2,NotTire
Other,5,0,NotTire
Other,5,2,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,2,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,2,NotTire
Other,5,0,NotTire
Other,5,3,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,2,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,2,NotTire
Other,5,3,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,2,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,4,NotTire
Other,5,2,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,4,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,2,NotTire
Other,5,3,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,5,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,Tire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,3,NotTire
Other,5,4,NotTire
Other,5,3,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,0,NotTire
Other,5,1,NotTire
Other,5,3,NotTire
Ford,5,0,NotTire
Ford,5,0,NotTire
Ford,5,0,NotTire
Ford,5,0,NotTire
Ford,5,0,NotTire
Ford,5,4,NotTire
Ford,5,0,NotTire
Ford,5,0,NotTire
Ford,5,0,NotTire
Ford,5,2,NotTire
Ford,5,0,NotTire
Ford,5,0,NotTire
Ford,5,2,NotTire
Ford,5,0,NotTire
Ford,5,0,NotTire
Ford,5,4,NotTire
Ford,5,4,NotTire
Ford,5,0,NotTire
Ford,5,3,Tire
Ford,5,4,Tire
Ford,5,4,Tire
Ford,5,1,Tire
Ford,5,0,NotTire
Other,0,0,NotTire
Other,0,4,NotTire
Other,0,0,NotTire
Other,0,0,NotTire
Ford,0,3,NotTire
Ford,0,1,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,4,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,4,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,5,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,3,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,2,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,3,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,2,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,2,NotTire
Other,1,1,NotTire
Other,1,3,NotTire
Other,1,1,NotTire
Other,1,2,NotTire
Other,1,6,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,4,NotTire
Other,1,3,NotTire
Ford,1,0,NotTire
Ford,1,5,NotTire
Ford,1,0,NotTire
Ford,1,2,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,2,NotTire
Ford,1,2,NotTire
Ford,1,3,NotTire
Ford,1,2,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,2,NotTire
Ford,1,5,NotTire
Ford,1,0,NotTire
Ford,1,2,NotTire
Ford,1,0,NotTire
Ford,1,3,NotTire
Ford,1,1,NotTire
Ford,1,4,NotTire
Ford,1,2,NotTire
Ford,1,0,NotTire
Ford,1,3,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,3,NotTire
Ford,1,1,NotTire
Ford,1,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,4,NotTire
Other,2,1,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Other,2,4,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,2,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,2,NotTire
Other,2,1,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Other,2,0,NotTire
Other,2,3,NotTire
Other,2,1,NotTire
Other,2,1,NotTire
Other,2,3,NotTire
Other,2,0,NotTire
Ford,2,2,NotTire
Ford,2,5,NotTire
Ford,2,0,NotTire
Ford,2,2,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,2,NotTire
Ford,2,1,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,4,NotTire
Ford,2,2,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,2,NotTire
Ford,2,1,NotTire
Ford,2,3,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,1,NotTire
Ford,2,3,NotTire
Ford,2,0,NotTire
Ford,2,3,NotTire
Ford,2,0,NotTire
Ford,2,2,NotTire
Ford,2,0,NotTire
Ford,2,3,NotTire
Ford,2,1,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,0,NotTire
Ford,2,3,NotTire
Ford,2,2,NotTire
Ford,2,0,NotTire
Ford,2,1,NotTire
Ford,2,4,Tire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,4,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,1,NotTire
Other,3,3,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,4,NotTire
Other,3,2,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,4,NotTire
Other,3,0,NotTire
Other,3,3,NotTire
Other,3,0,NotTire
Other,3,3,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,6,NotTire
Other,3,3,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,3,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,2,NotTire
Other,3,0,NotTire
Other,3,3,NotTire
Other,3,1,NotTire
Other,3,4,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,4,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,1,NotTire
Other,3,1,NotTire
Other,3,0,NotTire
Other,3,0,NotTire
Other,3,3,NotTire
