Region,MetropolitanStatus,Exper,Educ,Race,WeeklyEarnings
Midwest,NotMetropolitanArea,10,12,NotBlack,605.29
Northeast,MetropolitanArea,37,7,NotBlack,306.27
West,MetropolitanArea,10,12,NotBlack,1068.38
Northeast,MetropolitanArea,5,12,NotBlack,270.66
Midwest,MetropolitanArea,5,12,NotBlack,308.64
Northeast,MetropolitanArea,49,6,NotBlack,592.59
South,NotMetropolitanArea,2,12,NotBlack,244.44
South,NotMetropolitanArea,47,6,Black,142.45
West,MetropolitanArea,15,12,NotBlack,997.15
West,MetropolitanArea,41,14,NotBlack,854.7
South,MetropolitanArea,9,12,NotBlack,284.9
Northeast,MetropolitanArea,33,18,Black,949.67
Northeast,MetropolitanArea,6,12,Black,356.13
South,MetropolitanArea,26,12,NotBlack,617.28
West,MetropolitanArea,7,12,NotBlack,370.37
Northeast,MetropolitanArea,0,13,NotBlack,617.28
South,MetropolitanArea,12,12,NotBlack,379.87
West,MetropolitanArea,23,13,NotBlack,617.28
West,MetropolitanArea,28,16,NotBlack,712.25
Northeast,MetropolitanArea,18,18,NotBlack,1210.83
Midwest,MetropolitanArea,6,12,NotBlack,712.25
Midwest,MetropolitanArea,37,11,NotBlack,854.7
South,MetropolitanArea,3,18,NotBlack,1092.12
Midwest,MetropolitanArea,7,14,NotBlack,569.8
South,MetropolitanArea,43,5,NotBlack,427.35
South,MetropolitanArea,15,16,NotBlack,902.18
West,MetropolitanArea,22,12,NotBlack,395.3
Midwest,MetropolitanArea,19,18,NotBlack,807.22
South,MetropolitanArea,3,16,NotBlack,384.62
Midwest,NotMetropolitanArea,29,12,NotBlack,973.41
West,NotMetropolitanArea,6,18,NotBlack,375.74
Northeast,MetropolitanArea,34,14,NotBlack,262.84
Northeast,MetropolitanArea,11,14,NotBlack,712.25
Northeast,MetropolitanArea,24,14,NotBlack,498.58
Northeast,NotMetropolitanArea,22,12,NotBlack,225.93
South,NotMetropolitanArea,44,11,NotBlack,284.32
Northeast,MetropolitanArea,27,18,NotBlack,3600.82
Midwest,MetropolitanArea,24,16,NotBlack,913.58
South,MetropolitanArea,21,12,NotBlack,284.9
West,MetropolitanArea,19,18,NotBlack,427.35
West,NotMetropolitanArea,23,12,NotBlack,556.77
Midwest,NotMetropolitanArea,30,13,NotBlack,1163.34
Midwest,NotMetropolitanArea,20,12,NotBlack,131.8
West,MetropolitanArea,14,12,NotBlack,854.7
Northeast,MetropolitanArea,29,14,Black,712.25
Northeast,NotMetropolitanArea,32,16,NotBlack,1733.14
Northeast,MetropolitanArea,2,16,NotBlack,284.9
South,MetropolitanArea,39,13,NotBlack,590.45
Midwest,MetropolitanArea,41,16,NotBlack,575.98
Northeast,MetropolitanArea,11,12,Black,451.09
Midwest,NotMetropolitanArea,17,12,NotBlack,553.77
South,MetropolitanArea,0,14,NotBlack,222.22
Northeast,MetropolitanArea,31,18,NotBlack,674.26
South,MetropolitanArea,21,14,NotBlack,591.17
Midwest,MetropolitanArea,9,12,NotBlack,489.34
Northeast,MetropolitanArea,13,14,NotBlack,890.31
South,MetropolitanArea,25,16,NotBlack,641.03
Northeast,MetropolitanArea,29,18,NotBlack,949.67
Northeast,MetropolitanArea,4,12,NotBlack,354.94
South,NotMetropolitanArea,32,12,NotBlack,925.93
South,MetropolitanArea,4,14,NotBlack,403.61
South,MetropolitanArea,34,16,NotBlack,1733.14
Midwest,MetropolitanArea,34,14,Black,59.67
West,NotMetropolitanArea,2,12,NotBlack,263.37
South,MetropolitanArea,39,16,NotBlack,890.31
South,MetropolitanArea,4,9,NotBlack,56.98
West,NotMetropolitanArea,16,15,NotBlack,768.18
West,NotMetropolitanArea,15,18,NotBlack,854.7
Midwest,MetropolitanArea,38,16,NotBlack,1353.28
South,MetropolitanArea,23,14,NotBlack,617.28
West,NotMetropolitanArea,30,16,NotBlack,830.96
South,MetropolitanArea,6,12,Black,234.57
Midwest,NotMetropolitanArea,10,11,NotBlack,166.19
South,MetropolitanArea,3,16,NotBlack,435.73
South,NotMetropolitanArea,21,17,NotBlack,937.32
Northeast,MetropolitanArea,21,16,NotBlack,1424.5
West,MetropolitanArea,9,16,NotBlack,641.03
Midwest,MetropolitanArea,19,12,NotBlack,474.83
Northeast,MetropolitanArea,4,17,NotBlack,712.25
West,MetropolitanArea,11,12,NotBlack,271.6
West,MetropolitanArea,16,11,NotBlack,273.03
West,MetropolitanArea,18,16,NotBlack,1234.57
Midwest,MetropolitanArea,39,13,NotBlack,985.28
Northeast,MetropolitanArea,18,13,NotBlack,574.55
West,MetropolitanArea,7,16,NotBlack,237.42
West,MetropolitanArea,13,13,NotBlack,474.83
South,MetropolitanArea,46,5,NotBlack,395.06
South,MetropolitanArea,17,14,NotBlack,740.74
West,NotMetropolitanArea,8,11,NotBlack,169.45
Northeast,NotMetropolitanArea,0,14,NotBlack,720.16
West,MetropolitanArea,32,12,NotBlack,284.9
West,MetropolitanArea,10,15,NotBlack,522.32
Midwest,NotMetropolitanArea,25,18,NotBlack,522.32
South,MetropolitanArea,33,12,NotBlack,1265.43
South,NotMetropolitanArea,8,10,Black,142.66
Northeast,MetropolitanArea,5,12,NotBlack,356.13
South,MetropolitanArea,37,12,NotBlack,830.96
West,MetropolitanArea,6,15,NotBlack,313.39
Northeast,MetropolitanArea,9,17,NotBlack,593.54
Northeast,MetropolitanArea,19,10,NotBlack,474.83
South,NotMetropolitanArea,26,8,NotBlack,664.77
South,NotMetropolitanArea,15,12,NotBlack,748.55
Midwest,NotMetropolitanArea,37,13,NotBlack,783.48
West,MetropolitanArea,31,14,NotBlack,1068.38
Northeast,MetropolitanArea,29,16,NotBlack,1115.86
Northeast,MetropolitanArea,32,8,NotBlack,593.54
South,NotMetropolitanArea,19,12,NotBlack,641.03
Midwest,MetropolitanArea,2,12,NotBlack,212.16
Northeast,MetropolitanArea,40,17,NotBlack,1187.08
South,MetropolitanArea,20,12,NotBlack,902.18
South,MetropolitanArea,21,18,NotBlack,1020.89
South,NotMetropolitanArea,13,10,NotBlack,403.61
Midwest,MetropolitanArea,3,16,NotBlack,356.13
Northeast,MetropolitanArea,15,11,NotBlack,474.83
Midwest,MetropolitanArea,50,9,NotBlack,1234.57
Midwest,MetropolitanArea,7,12,NotBlack,352.73
Midwest,MetropolitanArea,3,16,NotBlack,403.61
Midwest,MetropolitanArea,24,12,NotBlack,735.99
South,NotMetropolitanArea,13,12,NotBlack,664.77
Northeast,MetropolitanArea,16,12,NotBlack,771.6
South,NotMetropolitanArea,29,12,NotBlack,498.58
Northeast,MetropolitanArea,20,13,Black,522.32
Midwest,MetropolitanArea,21,10,NotBlack,370.37
West,MetropolitanArea,4,12,NotBlack,237.42
Northeast,MetropolitanArea,5,12,NotBlack,451.09
West,MetropolitanArea,2,12,NotBlack,320.51
Midwest,NotMetropolitanArea,4,12,NotBlack,165.88
Midwest,NotMetropolitanArea,23,18,NotBlack,802.47
Northeast,MetropolitanArea,27,12,NotBlack,593.54
Midwest,NotMetropolitanArea,3,17,NotBlack,439.22
Midwest,MetropolitanArea,25,12,NotBlack,275.4
West,MetropolitanArea,18,4,NotBlack,189.93
South,MetropolitanArea,29,14,NotBlack,1115.86
South,MetropolitanArea,23,12,NotBlack,973.41
Northeast,MetropolitanArea,28,8,NotBlack,308.64
West,MetropolitanArea,9,14,NotBlack,332.38
South,MetropolitanArea,5,14,NotBlack,284.9
Midwest,MetropolitanArea,16,10,NotBlack,783.48
West,MetropolitanArea,37,14,NotBlack,925.93
Midwest,MetropolitanArea,17,15,NotBlack,854.7
Midwest,MetropolitanArea,5,12,NotBlack,370.37
South,MetropolitanArea,26,13,NotBlack,1305.79
Midwest,NotMetropolitanArea,11,15,NotBlack,854.7
West,MetropolitanArea,35,14,NotBlack,1329.53
South,MetropolitanArea,17,11,Black,493.83
South,MetropolitanArea,38,12,NotBlack,660.02
Midwest,MetropolitanArea,0,15,NotBlack,448.93
West,MetropolitanArea,6,11,NotBlack,403.61
West,NotMetropolitanArea,19,14,NotBlack,395.51
South,MetropolitanArea,30,12,NotBlack,448.72
Midwest,MetropolitanArea,43,18,NotBlack,382.72
Northeast,NotMetropolitanArea,34,12,NotBlack,522.32
Midwest,MetropolitanArea,24,16,NotBlack,1543.21
Northeast,MetropolitanArea,10,18,NotBlack,1051.33
South,MetropolitanArea,7,13,NotBlack,356.13
Northeast,NotMetropolitanArea,14,13,NotBlack,403.61
Northeast,NotMetropolitanArea,8,12,NotBlack,345.68
West,MetropolitanArea,16,18,NotBlack,1329.53
Northeast,MetropolitanArea,32,10,NotBlack,552.26
Midwest,MetropolitanArea,18,12,NotBlack,925.93
South,MetropolitanArea,14,12,NotBlack,393.52
Midwest,MetropolitanArea,51,12,NotBlack,142.45
West,NotMetropolitanArea,14,15,NotBlack,712.25
South,MetropolitanArea,25,15,NotBlack,237.42
West,MetropolitanArea,10,16,NotBlack,783.48
South,MetropolitanArea,17,13,NotBlack,593.54
West,MetropolitanArea,30,16,NotBlack,949.67
Northeast,NotMetropolitanArea,15,9,NotBlack,284.9
West,MetropolitanArea,21,16,NotBlack,854.7
Northeast,MetropolitanArea,32,18,NotBlack,949.67
Northeast,MetropolitanArea,5,12,NotBlack,415.48
Northeast,MetropolitanArea,9,9,NotBlack,237.42
West,NotMetropolitanArea,11,12,NotBlack,854.7
Midwest,MetropolitanArea,23,11,NotBlack,1187.08
South,NotMetropolitanArea,13,11,NotBlack,434.71
Northeast,MetropolitanArea,5,18,NotBlack,925.93
South,MetropolitanArea,8,16,Black,230.29
West,NotMetropolitanArea,7,16,NotBlack,450.25
South,MetropolitanArea,29,16,Black,308.64
West,MetropolitanArea,39,16,NotBlack,883.19
Midwest,NotMetropolitanArea,17,12,NotBlack,451.09
Midwest,MetropolitanArea,29,12,NotBlack,622.46
Midwest,MetropolitanArea,7,13,NotBlack,546.06
Midwest,MetropolitanArea,7,18,NotBlack,1101.73
South,MetropolitanArea,31,11,Black,555.56
Midwest,MetropolitanArea,38,8,NotBlack,308.64
West,NotMetropolitanArea,36,10,NotBlack,686.78
West,MetropolitanArea,2,12,NotBlack,237.42
South,NotMetropolitanArea,3,12,NotBlack,166.19
West,MetropolitanArea,11,12,NotBlack,415.48
Midwest,MetropolitanArea,6,15,Black,379.87
Midwest,MetropolitanArea,41,14,Black,308.64
Northeast,MetropolitanArea,14,12,NotBlack,410.73
South,MetropolitanArea,6,11,NotBlack,407.41
Northeast,MetropolitanArea,37,18,NotBlack,1092.12
Midwest,MetropolitanArea,11,12,NotBlack,593.54
Northeast,MetropolitanArea,31,13,NotBlack,332.38
Midwest,MetropolitanArea,12,12,NotBlack,195.47
Northeast,NotMetropolitanArea,39,14,NotBlack,403.61
South,MetropolitanArea,45,16,NotBlack,949.67
Midwest,NotMetropolitanArea,20,10,NotBlack,213.68
South,MetropolitanArea,31,17,NotBlack,1725.81
South,MetropolitanArea,23,14,NotBlack,949.67
South,NotMetropolitanArea,30,17,NotBlack,783.38
South,MetropolitanArea,32,12,NotBlack,617.28
South,NotMetropolitanArea,4,15,NotBlack,451.09
Midwest,MetropolitanArea,36,12,NotBlack,759.73
South,NotMetropolitanArea,8,15,NotBlack,484.33
Northeast,MetropolitanArea,8,12,NotBlack,593.54
Northeast,MetropolitanArea,6,14,NotBlack,474.83
South,NotMetropolitanArea,2,12,NotBlack,356.13
Midwest,NotMetropolitanArea,37,12,NotBlack,593.54
Northeast,MetropolitanArea,33,10,NotBlack,462.96
Midwest,MetropolitanArea,18,15,NotBlack,648.31
Northeast,MetropolitanArea,6,15,NotBlack,534.19
West,MetropolitanArea,31,17,NotBlack,1068.38
South,NotMetropolitanArea,19,16,NotBlack,522.32
South,MetropolitanArea,18,12,NotBlack,308.64
Midwest,MetropolitanArea,2,18,NotBlack,398.86
Midwest,MetropolitanArea,37,12,NotBlack,633.76
Midwest,NotMetropolitanArea,7,14,NotBlack,735.99
South,MetropolitanArea,19,12,NotBlack,261.16
Northeast,MetropolitanArea,19,18,NotBlack,2374.15
South,MetropolitanArea,16,14,NotBlack,522.32
South,MetropolitanArea,36,14,Black,515.74
South,NotMetropolitanArea,34,12,NotBlack,919.36
Midwest,NotMetropolitanArea,21,12,NotBlack,702.75
Northeast,MetropolitanArea,16,10,NotBlack,379.87
Northeast,MetropolitanArea,30,11,Black,830.96
West,NotMetropolitanArea,14,16,NotBlack,522.32
South,MetropolitanArea,3,16,NotBlack,284.9
West,MetropolitanArea,12,14,NotBlack,771.6
West,MetropolitanArea,39,9,NotBlack,664.77
Midwest,MetropolitanArea,32,10,NotBlack,851.07
Northeast,NotMetropolitanArea,38,12,NotBlack,522.32
Northeast,MetropolitanArea,27,12,NotBlack,521.26
Northeast,MetropolitanArea,21,14,NotBlack,783.48
South,MetropolitanArea,11,14,Black,406.33
Midwest,MetropolitanArea,37,16,NotBlack,641.03
Midwest,MetropolitanArea,5,11,NotBlack,94.97
West,MetropolitanArea,20,12,NotBlack,403.61
South,MetropolitanArea,10,11,NotBlack,356.13
West,MetropolitanArea,2,16,NotBlack,246.91
West,MetropolitanArea,46,13,NotBlack,339.51
South,NotMetropolitanArea,33,10,Black,261.16
Midwest,MetropolitanArea,16,16,NotBlack,712.25
West,MetropolitanArea,17,16,NotBlack,326.8
Midwest,MetropolitanArea,13,14,NotBlack,569.8
South,MetropolitanArea,20,16,NotBlack,890.31
Northeast,MetropolitanArea,31,12,NotBlack,522.32
South,MetropolitanArea,26,14,NotBlack,1115.86
Midwest,MetropolitanArea,4,17,NotBlack,973.41
Midwest,NotMetropolitanArea,28,13,NotBlack,830.96
South,MetropolitanArea,33,15,NotBlack,232.67
South,MetropolitanArea,22,9,NotBlack,239.86
South,NotMetropolitanArea,18,15,NotBlack,507.05
South,MetropolitanArea,14,14,NotBlack,643.4
Midwest,MetropolitanArea,14,12,NotBlack,783.48
South,MetropolitanArea,21,14,NotBlack,978.16
Midwest,MetropolitanArea,10,18,NotBlack,356.13
Northeast,MetropolitanArea,12,12,NotBlack,664.77
Midwest,MetropolitanArea,15,12,NotBlack,612.54
Northeast,NotMetropolitanArea,6,15,NotBlack,296.3
South,MetropolitanArea,17,12,NotBlack,403.61
Midwest,MetropolitanArea,33,17,NotBlack,854.7
South,NotMetropolitanArea,2,12,NotBlack,172.84
Midwest,NotMetropolitanArea,41,8,NotBlack,498.58
Midwest,NotMetropolitanArea,32,12,NotBlack,403.61
South,MetropolitanArea,8,12,NotBlack,498.58
West,NotMetropolitanArea,13,14,NotBlack,997.15
South,NotMetropolitanArea,25,12,NotBlack,437.24
South,MetropolitanArea,14,18,NotBlack,712.25
South,MetropolitanArea,25,12,NotBlack,403.61
Northeast,MetropolitanArea,20,18,NotBlack,791.64
South,MetropolitanArea,11,12,Black,427.35
Northeast,MetropolitanArea,25,16,NotBlack,1068.38
West,MetropolitanArea,3,17,NotBlack,518.52
Midwest,NotMetropolitanArea,19,12,NotBlack,731.24
Midwest,MetropolitanArea,25,12,NotBlack,751.31
South,MetropolitanArea,34,8,Black,170.94
Northeast,MetropolitanArea,7,14,NotBlack,532.56
West,NotMetropolitanArea,0,15,NotBlack,231.48
South,MetropolitanArea,5,15,Black,546.06
South,MetropolitanArea,23,13,NotBlack,664.77
Midwest,MetropolitanArea,14,12,NotBlack,303.89
West,MetropolitanArea,15,13,NotBlack,474.83
Midwest,MetropolitanArea,12,12,NotBlack,557.93
South,NotMetropolitanArea,8,11,NotBlack,379.87
West,MetropolitanArea,26,17,NotBlack,949.67
Midwest,MetropolitanArea,12,12,NotBlack,522.32
West,MetropolitanArea,23,15,NotBlack,854.7
West,MetropolitanArea,15,13,NotBlack,557.93
Northeast,MetropolitanArea,12,11,NotBlack,498.58
South,MetropolitanArea,20,12,NotBlack,493.83
South,NotMetropolitanArea,38,12,NotBlack,854.7
Northeast,NotMetropolitanArea,35,9,NotBlack,180.04
Midwest,MetropolitanArea,18,18,NotBlack,688.51
Northeast,MetropolitanArea,30,16,NotBlack,1816.24
South,NotMetropolitanArea,36,13,NotBlack,75.31
Northeast,MetropolitanArea,36,12,NotBlack,617.28
South,NotMetropolitanArea,28,14,NotBlack,498.58
Midwest,NotMetropolitanArea,11,16,NotBlack,1377.02
Midwest,MetropolitanArea,41,16,NotBlack,1424.5
South,MetropolitanArea,14,8,NotBlack,398.86
Northeast,MetropolitanArea,3,12,NotBlack,379.87
South,MetropolitanArea,10,12,NotBlack,356.13
Northeast,MetropolitanArea,30,12,NotBlack,522.32
Northeast,MetropolitanArea,16,15,NotBlack,403.61
Northeast,MetropolitanArea,25,12,NotBlack,2018.04
South,NotMetropolitanArea,25,13,Black,427.35
West,MetropolitanArea,28,18,NotBlack,1661.92
South,MetropolitanArea,4,12,NotBlack,498.58
Northeast,NotMetropolitanArea,48,11,NotBlack,415.48
Midwest,MetropolitanArea,5,18,NotBlack,641.03
South,NotMetropolitanArea,8,14,NotBlack,386.2
South,MetropolitanArea,18,12,NotBlack,641.03
Northeast,MetropolitanArea,11,16,NotBlack,712.25
Midwest,MetropolitanArea,18,12,NotBlack,522.32
Northeast,MetropolitanArea,3,12,NotBlack,274.35
Midwest,NotMetropolitanArea,7,11,NotBlack,332.38
South,MetropolitanArea,34,10,NotBlack,332.38
Northeast,NotMetropolitanArea,55,8,NotBlack,207.82
Northeast,MetropolitanArea,22,12,NotBlack,546.06
South,MetropolitanArea,23,16,NotBlack,356.13
West,NotMetropolitanArea,20,12,NotBlack,709.88
South,MetropolitanArea,32,9,NotBlack,208.93
West,MetropolitanArea,46,10,NotBlack,687.96
West,MetropolitanArea,6,12,NotBlack,498.58
West,MetropolitanArea,49,7,NotBlack,121.08
West,MetropolitanArea,19,14,NotBlack,688.51
South,MetropolitanArea,9,16,NotBlack,555.56
West,MetropolitanArea,9,18,NotBlack,1187.08
Northeast,NotMetropolitanArea,6,12,NotBlack,284.9
Northeast,MetropolitanArea,13,12,NotBlack,1305.79
West,MetropolitanArea,35,12,NotBlack,474.83
Midwest,NotMetropolitanArea,42,12,NotBlack,997.15
Midwest,MetropolitanArea,32,13,NotBlack,546.06
South,MetropolitanArea,12,10,NotBlack,735.99
West,MetropolitanArea,20,13,NotBlack,759.73
Midwest,NotMetropolitanArea,13,12,NotBlack,569.8
South,MetropolitanArea,54,6,Black,206.55
Northeast,MetropolitanArea,8,12,Black,403.61
Midwest,MetropolitanArea,3,11,NotBlack,218.11
Northeast,MetropolitanArea,31,16,NotBlack,593.54
West,NotMetropolitanArea,5,16,NotBlack,227.92
West,MetropolitanArea,12,18,NotBlack,949.67
West,MetropolitanArea,34,12,NotBlack,688.51
West,NotMetropolitanArea,5,12,NotBlack,427.35
Midwest,MetropolitanArea,13,12,NotBlack,593.54
West,NotMetropolitanArea,15,13,NotBlack,823.05
Northeast,MetropolitanArea,4,12,NotBlack,522.32
West,MetropolitanArea,5,14,NotBlack,455.84
South,MetropolitanArea,12,14,NotBlack,633.9
South,MetropolitanArea,38,8,NotBlack,653.59
West,MetropolitanArea,41,12,NotBlack,534.19
Midwest,NotMetropolitanArea,10,14,NotBlack,462.96
Northeast,MetropolitanArea,36,12,NotBlack,1080.25
Midwest,NotMetropolitanArea,19,18,NotBlack,807.22
Midwest,MetropolitanArea,17,16,NotBlack,474.83
Northeast,MetropolitanArea,34,12,NotBlack,857.08
South,MetropolitanArea,14,18,NotBlack,997.15
Midwest,MetropolitanArea,37,13,NotBlack,712.25
West,MetropolitanArea,32,18,NotBlack,387.8
South,MetropolitanArea,10,10,NotBlack,92.59
West,MetropolitanArea,23,14,NotBlack,1068.38
West,MetropolitanArea,18,16,NotBlack,1187.08
Midwest,MetropolitanArea,9,12,Black,151.95
South,MetropolitanArea,11,15,NotBlack,1068.38
Midwest,NotMetropolitanArea,14,12,NotBlack,498.58
Northeast,NotMetropolitanArea,5,12,NotBlack,284.9
Midwest,NotMetropolitanArea,12,16,NotBlack,458.21
Midwest,NotMetropolitanArea,23,13,NotBlack,490.72
Northeast,MetropolitanArea,12,12,NotBlack,546.06
Northeast,MetropolitanArea,9,12,NotBlack,362.14
South,NotMetropolitanArea,7,9,NotBlack,403.61
South,NotMetropolitanArea,13,12,NotBlack,356.13
South,NotMetropolitanArea,11,16,NotBlack,878.44
Northeast,MetropolitanArea,17,18,NotBlack,1211.18
South,NotMetropolitanArea,15,12,NotBlack,700.7
West,MetropolitanArea,1,12,NotBlack,116.19
Northeast,MetropolitanArea,14,16,NotBlack,711.06
West,MetropolitanArea,13,12,NotBlack,326.02
West,NotMetropolitanArea,39,12,NotBlack,427.35
Northeast,MetropolitanArea,44,11,NotBlack,308.64
South,MetropolitanArea,10,12,NotBlack,474.83
West,MetropolitanArea,12,14,NotBlack,747.86
West,MetropolitanArea,16,17,NotBlack,746.11
South,MetropolitanArea,42,15,NotBlack,379.87
South,MetropolitanArea,4,11,NotBlack,360.08
West,MetropolitanArea,35,12,NotBlack,593.54
Northeast,NotMetropolitanArea,43,9,NotBlack,569.8
Northeast,NotMetropolitanArea,44,10,NotBlack,641.03
Northeast,MetropolitanArea,5,18,NotBlack,878.44
South,MetropolitanArea,5,9,NotBlack,308.64
South,MetropolitanArea,6,14,Black,356.13
Northeast,NotMetropolitanArea,16,14,NotBlack,997.15
West,NotMetropolitanArea,17,6,NotBlack,158.28
Midwest,NotMetropolitanArea,14,17,NotBlack,541.38
Northeast,MetropolitanArea,24,12,NotBlack,854.7
Northeast,MetropolitanArea,31,12,NotBlack,688.51
Midwest,MetropolitanArea,24,12,NotBlack,593.54
West,MetropolitanArea,57,2,NotBlack,142.45
South,NotMetropolitanArea,12,12,Black,284.9
South,MetropolitanArea,8,12,NotBlack,415.48
West,MetropolitanArea,21,13,NotBlack,534.19
Midwest,NotMetropolitanArea,6,12,NotBlack,290.24
Northeast,MetropolitanArea,42,12,Black,284.9
Midwest,NotMetropolitanArea,33,12,NotBlack,854.7
South,MetropolitanArea,33,15,NotBlack,712.25
South,MetropolitanArea,19,10,NotBlack,376.95
South,NotMetropolitanArea,8,15,NotBlack,249.29
Northeast,MetropolitanArea,38,14,NotBlack,925.93
West,NotMetropolitanArea,6,12,NotBlack,498.58
West,MetropolitanArea,4,12,NotBlack,261.16
Midwest,MetropolitanArea,43,12,NotBlack,807.22
South,NotMetropolitanArea,36,15,NotBlack,427.35
South,NotMetropolitanArea,9,12,NotBlack,339.51
South,MetropolitanArea,13,18,NotBlack,688.51
Midwest,NotMetropolitanArea,6,12,NotBlack,462.96
Northeast,MetropolitanArea,24,14,NotBlack,759.73
Northeast,MetropolitanArea,7,11,NotBlack,225.13
West,MetropolitanArea,8,13,NotBlack,277.78
West,MetropolitanArea,1,11,NotBlack,92.59
Midwest,NotMetropolitanArea,32,12,NotBlack,712.25
Northeast,NotMetropolitanArea,12,12,NotBlack,712.25
South,MetropolitanArea,22,12,NotBlack,759.73
Midwest,NotMetropolitanArea,40,12,NotBlack,664.77
Northeast,MetropolitanArea,3,14,NotBlack,325.68
Midwest,MetropolitanArea,40,11,NotBlack,115.74
West,NotMetropolitanArea,22,13,NotBlack,1009.02
West,MetropolitanArea,33,14,NotBlack,1118.83
West,MetropolitanArea,38,12,NotBlack,854.7
Northeast,MetropolitanArea,30,12,Black,557.93
West,MetropolitanArea,21,18,NotBlack,1187.08
South,NotMetropolitanArea,5,15,NotBlack,379.87
Northeast,MetropolitanArea,14,12,NotBlack,474.83
South,NotMetropolitanArea,28,12,NotBlack,342.94
Northeast,MetropolitanArea,7,16,NotBlack,498.58
West,MetropolitanArea,28,17,NotBlack,332.38
Midwest,NotMetropolitanArea,20,17,NotBlack,712.25
South,MetropolitanArea,22,12,NotBlack,759.73
Northeast,MetropolitanArea,17,16,NotBlack,997.15
South,NotMetropolitanArea,7,9,NotBlack,191.36
Northeast,MetropolitanArea,35,12,NotBlack,830.96
Northeast,MetropolitanArea,21,13,NotBlack,317.92
West,MetropolitanArea,4,14,NotBlack,302.47
South,MetropolitanArea,1,11,NotBlack,288.89
Northeast,MetropolitanArea,15,14,NotBlack,1068.38
Midwest,MetropolitanArea,24,12,NotBlack,902.18
Northeast,MetropolitanArea,48,10,Black,641.03
West,MetropolitanArea,2,12,NotBlack,284.9
Midwest,MetropolitanArea,17,12,NotBlack,427.35
South,MetropolitanArea,42,12,NotBlack,719.3
Midwest,MetropolitanArea,48,7,Black,209.88
South,NotMetropolitanArea,0,12,NotBlack,205.76
South,MetropolitanArea,21,18,NotBlack,1358.02
Midwest,NotMetropolitanArea,20,12,NotBlack,700.38
Midwest,NotMetropolitanArea,13,12,NotBlack,129.18
Northeast,MetropolitanArea,30,17,NotBlack,593.54
Northeast,MetropolitanArea,2,12,NotBlack,427.35
South,MetropolitanArea,32,12,NotBlack,593.54
West,MetropolitanArea,13,18,NotBlack,1139.6
Midwest,MetropolitanArea,6,14,NotBlack,491.45
South,MetropolitanArea,1,14,NotBlack,237.42
South,NotMetropolitanArea,6,12,NotBlack,235.16
South,NotMetropolitanArea,13,11,NotBlack,427.35
South,MetropolitanArea,37,12,NotBlack,168.35
Northeast,NotMetropolitanArea,34,10,NotBlack,522.32
Northeast,MetropolitanArea,12,15,NotBlack,237.42
West,MetropolitanArea,18,12,NotBlack,415.48
Midwest,NotMetropolitanArea,12,12,NotBlack,211.87
Northeast,NotMetropolitanArea,19,12,NotBlack,593.54
South,MetropolitanArea,10,14,NotBlack,1044.63
Midwest,MetropolitanArea,42,18,NotBlack,427.35
South,MetropolitanArea,9,12,NotBlack,118.71
Midwest,NotMetropolitanArea,14,12,NotBlack,490.5
West,NotMetropolitanArea,22,14,NotBlack,416.29
West,MetropolitanArea,12,12,NotBlack,166.19
South,MetropolitanArea,34,15,NotBlack,586.42
South,MetropolitanArea,27,14,NotBlack,1044.63
