Subject,Gender,AFQT,Educ,Income2005
1181,female,64.846,13,150000
1182,female,91.545,18,48000
1184,female,90.731,16,95000
1185,male,100.000,20,268384
1186,male,58.930,16,140000
1187,female,86.394,19,39000
1188,male,79.064,15,130000
1200,female,49.449,16,9000
1208,female,82.941,20,120000
1221,female,0.899,12,16200
1222,male,7.510,12,38000
1223,female,1.552,13,15000
1224,female,15.040,13,12000
1233,female,36.925,14,42000
1237,male,29.091,12,24000
1238,female,54.782,13,62000
1240,female,70.563,18,52000
1247,male,12.838,12,8000
1249,male,64.562,12,80000
1250,female,31.365,12,17000
1251,female,36.464,12,31000
1252,female,54.280,17,16000
1253,female,52.948,12,21600
1255,female,93.903,18,87000
1256,male,17.735,13,50000
1257,male,34.121,12,23000
1258,female,62.762,14,3000
1260,male,10.889,9,35000
1261,female,66.079,14,50000
1268,male,98.102,16,90000
1272,male,37.465,12,39000
1273,male,68.375,13,24000
1276,female,92.033,16,46000
1279,female,81.419,15,24000
1286,female,6.841,16,32000
1287,male,7.088,14,50000
1288,male,10.393,14,21000
1290,female,38.983,14,36000
1291,male,8.107,13,16000
1293,female,35.191,16,36000
1294,male,51.781,15,209138
1301,male,27.851,14,25000
1311,male,46.540,16,130000
1312,female,41.138,12,18000
1315,male,70.510,15,257286
1318,male,22.661,8,37000
1319,male,6.629,12,43000
1320,male,100.000,13,78000
1321,male,51.798,13,56000
1323,female,85.328,17,42000
1325,male,82.181,16,80000
1327,female,59.279,12,53000
1338,male,66.383,13,42000
1344,female,67.442,18,72000
1347,female,50.056,16,157280
1351,male,54.619,12,13000
1353,male,50.963,12,20000
1357,male,5.401,12,38000
1359,female,61.346,18,40000
1360,female,28.956,12,27000
1362,female,96.033,17,70000
1366,female,36.305,12,29800
1367,male,85.660,16,16000
1368,male,96.899,16,39000
1374,female,69.216,16,15700
1383,male,2.991,12,80000
1384,male,13.400,12,26000
1385,female,44.576,13,34000
1386,male,24.991,12,52000
1393,male,66.493,15,79000
1394,female,67.269,16,62000
1395,female,45.317,20,63000
1397,male,26.780,12,45000
1399,female,74.636,14,45000
1411,female,45.789,14,16000
1413,male,1.650,11,19000
1416,female,20.731,12,12000
1417,male,24.893,12,31000
1418,male,61.570,12,41000
1419,female,4.111,12,22000
1425,male,77.186,12,38000
1426,female,54.506,12,38685
1429,male,82.219,16,30000
1432,male,18.811,16,42000
1433,male,36.667,17,50000
1434,male,1.985,11,31980
1436,female,8.681,11,10000
1438,female,4.199,12,27000
1440,female,10.283,13,22000
1455,female,14.511,7,25000
1459,female,85.258,14,40000
1462,male,33.171,12,28600
1468,male,36.634,12,29000
1470,female,64.514,18,35000
1471,male,15.586,8,50000
1477,male,48.936,16,70000
1479,male,97.372,18,100000
1481,male,49.641,16,71000
1484,female,2.513,13,40000
1487,female,42.852,13,45000
1490,female,19.642,12,25000
1491,female,14.083,13,39000
1492,male,82.535,14,45000
1493,female,65.038,12,245549
1495,female,19.342,12,15000
1499,female,47.406,12,16000
1500,male,24.715,12,50000
1501,male,97.458,17,60000
1502,female,98.242,16,12000
1503,male,84.661,20,58000
1506,male,88.937,12,42000
1507,female,60.833,12,22000
1508,male,96.289,14,35000
1509,male,90.493,17,25000
1510,female,66.956,16,26000
1512,female,80.758,15,15000
1514,female,45.160,13,51000
1515,male,44.773,12,67000
1516,female,8.674,12,23300
1521,male,21.457,12,41000
1522,female,67.176,16,51300
1527,male,2.099,12,28000
1529,female,35.947,13,23000
1530,female,30.909,15,28000
1531,female,44.428,12,26000
1532,female,57.544,12,17407
1534,female,27.174,12,52000
1538,female,30.590,18,45000
1539,female,77.510,12,30000
1541,female,22.337,12,41400
1547,male,43.214,11,85000
1548,female,40.716,10,4000
1551,female,25.797,12,19000
1552,female,24.669,16,9200
1553,female,79.584,12,40000
1554,male,52.176,12,59000
1555,male,69.185,14,28352
1556,male,69.556,12,32176
1558,female,60.233,14,12000
1560,male,21.060,12,19000
1564,female,84.972,16,3400
1566,female,65.249,15,39100
1568,female,79.707,14,6000
1569,male,72.895,16,63000
1571,female,77.537,15,45000
1574,male,90.317,16,47000
1575,male,33.184,14,171551
1577,male,60.110,12,59000
1580,male,21.756,12,56000
1585,male,54.802,12,60000
1586,female,69.894,15,54000
1587,female,92.892,16,27300
1590,male,22.782,12,16000
1591,male,33.418,12,7000
1592,female,27.228,12,10000
1593,female,14.232,12,17000
1595,male,44.794,12,120000
1597,male,67.922,12,52000
1598,female,70.988,14,35000
1599,female,43.417,12,24000
1601,male,53.921,16,368302
1602,male,54.571,12,90000
1603,male,45.157,17,20000
1605,female,40.773,12,40000
1607,female,48.830,12,19200
1608,female,58.110,12,11040
1610,female,29.107,12,18000
1617,female,21.965,12,20000
1619,male,58.937,18,65000
1621,female,87.899,17,35942
1622,male,55.357,16,60000
1626,male,96.046,16,73000
1627,male,36.485,12,20000
1629,female,65.439,12,100000
1631,male,96.226,16,85000
1632,male,98.630,18,100035
1633,female,86.213,20,100000
1635,male,53.399,12,40000
1636,male,49.697,12,56000
1637,male,60.861,12,15000
1640,female,51.871,12,48000
1641,male,62.029,12,110000
1642,female,1.532,14,75000
1644,male,43.409,15,9400
1651,male,71.136,12,153334
1656,female,51.885,12,33000
1659,male,61.986,14,26000
1670,male,96.168,16,105000
1719,female,48.050,18,60000
1720,female,25.265,14,45000
1721,male,7.672,12,80000
1725,female,7.182,11,25000
1729,female,30.508,12,24000
1730,female,66.596,17,52000
1733,female,84.465,16,115000
1735,female,63.611,17,3000
1739,male,95.901,15,10000
1740,female,49.857,16,19000
1744,male,67.544,13,60000
1746,male,96.851,19,116000
1750,male,47.189,12,44000
1751,female,4.888,13,35000
1758,female,5.654,15,13000
1763,male,69.733,16,22000
1766,female,78.662,16,12000
1768,female,36.710,12,8000
1769,female,27.375,12,29515
1775,female,35.079,13,34000
1778,female,46.099,14,8000
1779,male,28.861,11,74000
1780,male,73.734,14,40000
1781,male,39.081,15,100000
1784,male,81.518,15,45000
1785,female,9.875,15,29000
1786,female,37.054,12,46800
1787,female,47.805,17,52000
1788,male,77.653,12,56856
1790,male,71.533,12,34000
1792,male,87.518,14,15000
1795,female,40.415,20,108888
1797,female,56.703,9,3040
1798,female,85.903,15,27100
1802,male,77.562,12,27915
1803,female,70.548,19,36000
1804,female,91.449,17,12000
1808,female,89.408,16,125000
1810,male,53.687,13,155867
1819,male,79.036,15,29000
1820,male,13.650,8,8000
1824,female,6.023,9,19000
1826,female,62.879,12,45000
1831,female,24.374,15,64000
1835,male,30.175,12,40000
1836,male,51.237,14,50000
1837,male,17.492,13,32000
1838,female,13.046,12,17000
1839,female,6.120,12,18000
1841,female,92.678,20,85000
1844,female,87.281,18,188404
1846,male,73.252,18,192896
1847,female,74.288,14,68000
1848,female,29.189,13,46000
1858,female,75.798,18,68000
1860,female,40.414,12,29000
1862,female,31.547,12,900
1863,female,61.428,12,20000
1865,female,27.567,12,28000
1866,female,42.755,12,25000
1867,male,89.968,12,52000
1868,female,35.098,13,26500
1869,male,26.004,12,14000
1872,male,18.192,12,35000
1873,male,16.817,12,22000
1875,male,90.923,18,130000
1878,female,29.321,12,8000
1880,female,88.272,20,30000
1881,male,42.474,12,40000
1884,male,42.428,12,12500
1885,female,65.232,16,35000
1887,male,9.128,12,11000
1889,male,42.279,13,35675
1890,male,13.298,12,18000
1891,male,46.449,12,26800
1895,male,84.709,14,83000
1896,female,85.085,18,28000
1899,male,24.004,12,32000
1902,female,48.953,12,40574
1904,female,86.141,12,26000
1905,female,58.233,12,45000
1906,female,97.146,18,25000
1910,male,55.765,12,55000
1912,female,49.375,14,25000
1913,female,41.544,14,14103
1914,male,95.324,19,48000
1916,male,66.692,19,74481
1917,male,27.775,12,48000
1918,male,74.519,12,68000
1920,male,57.750,14,2000
1924,male,39.286,16,65000
1925,male,66.523,12,44000
1926,female,31.904,12,16000
1927,female,53.586,12,21455
1929,female,95.734,14,81000
1930,male,95.174,16,45000
1944,male,82.351,14,86000
1947,female,41.857,12,16000
1950,male,63.150,16,22000
1951,female,45.219,18,42000
1952,male,46.049,17,85000
1953,female,87.413,19,24000
1954,female,87.743,16,4000
1955,male,79.360,14,60000
1957,male,10.797,12,47000
1958,male,79.330,15,45000
1959,male,29.263,12,36000
1961,male,48.541,12,100000
1962,female,10.280,12,25000
1963,male,63.400,12,67000
1964,male,29.838,12,30000
1965,female,52.187,12,25000
1966,male,85.623,12,42000
1967,female,61.486,16,40000
1971,male,51.182,12,65000
1975,male,80.742,12,41000
1976,female,64.089,16,36000
1977,male,37.901,12,50000
1978,male,29.377,14,48000
1985,female,59.974,12,25000
1986,female,69.903,14,23000
1988,male,15.656,12,46000
1990,female,63.260,12,26000
1992,male,24.185,13,68000
1994,female,75.484,13,28000
1995,female,33.083,15,3000
1996,male,53.612,12,32000
1998,male,59.463,12,9724
1999,female,67.772,19,46000
2002,female,35.088,12,12000
2003,female,13.023,12,8000
2005,male,84.088,16,78000
2007,male,92.051,14,143000
2010,male,75.400,19,12000
2011,female,70.191,15,25000
2012,female,39.888,12,32000
2013,female,86.555,12,9200
2014,male,54.184,12,27000
2018,male,72.231,12,27640
2020,male,23.806,12,26000
2024,male,89.508,15,65000
2027,female,93.336,19,9000
2029,male,93.935,20,135000
2030,female,77.209,18,5500
2031,male,2.044,11,36000
2032,male,22.171,12,32000
2033,male,66.318,12,157117
2034,male,56.852,16,52000
2035,female,78.055,12,25000
2037,female,91.541,19,2700
2038,male,97.360,18,162919
2040,male,85.929,14,14969
2041,male,72.820,14,20000
2042,female,91.215,18,6000
2045,male,56.026,12,30000
2046,female,27.156,12,24000
2047,male,73.594,13,55000
2049,female,88.874,16,33000
2051,male,6.945,11,20000
2055,male,68.805,12,30000
2056,male,57.501,16,135000
2057,female,31.002,15,9000
2061,female,88.199,16,50000
2062,female,39.555,18,110000
2066,female,27.605,12,29000
2067,male,43.433,12,60000
2068,female,55.547,16,35000
2070,female,13.237,12,60000
2071,female,88.381,14,1000
2072,female,89.269,12,4000
2073,female,85.923,12,22000
2074,female,77.334,12,58000
2075,male,59.435,12,66000
2076,female,30.985,12,39144
2079,female,38.187,12,28000
2080,male,59.980,12,17000
2081,male,51.661,12,46000
2083,female,94.930,16,26000
2086,male,39.837,12,27000
2087,male,48.513,12,40000
2088,female,56.782,14,30000
2089,male,20.616,12,40000
2090,male,22.220,12,37000
2093,male,69.551,12,48000
2094,female,7.262,12,29000
2096,male,32.475,16,92000
2097,male,34.695,12,71000
2099,female,35.591,13,62000
2100,male,89.871,12,52000
2101,male,81.726,12,90000
2102,female,41.532,12,24000
2104,female,68.950,12,34500
2106,male,37.240,12,52000
2107,male,73.284,14,5100
2113,male,96.423,19,100000
2119,female,60.326,14,9000
2120,female,51.624,14,4000
2122,male,9.545,12,26000
2123,female,60.172,18,33600
2124,female,84.248,16,115000
2126,female,72.964,17,42000
2132,female,55.993,14,104000
2133,female,48.488,15,39400
2134,female,9.566,9,10000
2135,male,18.212,12,70000
2136,female,55.103,17,34500
2138,male,71.840,12,36000
2140,female,40.889,12,55000
2144,male,94.079,16,57000
2145,male,61.172,13,50000
2146,female,55.691,12,14000
2147,male,77.202,14,34000
2148,female,63.751,15,16557
2152,female,46.721,12,28000
2153,female,37.209,12,12000
2156,female,53.265,12,40500
2157,male,37.901,12,24000
2158,female,63.872,12,3600
2159,male,66.343,16,70000
2163,male,28.730,14,60000
2164,female,64.628,18,69000
2165,female,26.635,12,12000
2167,female,31.225,16,48000
2168,male,88.021,16,57600
2169,male,68.018,13,57000
2172,male,35.637,14,63000
2173,male,61.735,12,52000
2178,male,72.005,16,44000
2180,male,45.257,12,40000
2182,male,75.725,12,65000
2187,male,36.060,13,90000
2188,male,17.457,14,36000
2190,female,22.950,13,18000
2194,male,13.425,9,30000
2196,female,42.225,12,5280
2200,female,96.691,17,65000
2201,female,36.411,12,32000
2202,male,81.080,16,35000
2203,female,26.932,12,22500
2204,female,61.699,15,26074
2205,female,53.188,14,52000
2207,male,70.593,14,30000
2208,male,23.700,12,25000
2209,male,18.385,13,36000
2214,female,34.895,15,11000
2216,male,49.406,12,43000
2218,male,63.184,16,70000
2220,male,97.867,16,82000
2222,male,92.442,16,46000
2223,male,39.914,12,55000
2224,female,17.081,10,5000
2225,female,16.597,12,56000
2227,male,36.775,12,28263
2229,female,64.933,12,33000
2230,female,88.797,16,40000
2237,female,92.195,18,64000
2243,female,68.307,16,30000
2247,female,68.218,12,58000
2250,female,9.393,12,20000
2251,female,6.124,12,7225
2254,female,5.171,10,30000
2255,male,16.200,8,45000
2261,male,7.878,12,32000
2264,male,42.749,12,13000
2265,female,20.490,14,15000
2266,male,5.007,12,15000
2270,female,21.855,12,15000
2271,female,18.606,12,13000
2278,female,77.514,15,49000
2284,female,95.913,13,50000
2285,female,72.013,20,55000
2286,female,96.655,16,26000
2291,male,95.949,16,60200
2299,female,97.706,16,47000
2301,female,86.817,16,71500
2302,male,80.788,17,112000
2304,male,38.541,12,50000
2313,female,49.802,12,25000
2314,male,61.328,12,50000
2316,male,24.702,12,30000
2318,male,61.993,9,43000
2322,female,63.353,12,46000
2323,male,39.111,16,100000
2324,female,65.301,16,102000
2326,male,28.790,12,44000
2327,male,65.774,12,26000
2328,female,86.148,16,31000
2329,male,69.687,16,40000
2332,male,71.851,15,26524
2333,female,53.448,13,85000
2334,male,29.171,12,37500
2337,female,74.637,14,35650
2339,female,98.849,19,235236
2341,male,78.245,14,68000
2344,male,9.970,14,44000
2348,female,2.093,10,14560
2360,female,43.070,17,18500
2361,male,3.283,12,99000
2372,male,93.923,16,65000
2375,female,55.494,13,80000
2376,male,71.019,13,60000
2380,male,73.886,12,22000
2382,male,44.078,15,40000
2383,female,45.054,12,8500
2385,male,65.800,14,62000
2386,male,57.650,15,68000
2394,female,75.648,12,60000
2396,female,6.227,12,13986
2398,female,24.581,10,32000
2400,female,83.187,12,24024
2401,male,26.892,12,48000
2403,male,9.333,11,18000
2404,female,34.726,12,28800
2410,female,41.414,14,13000
2412,female,35.114,12,15000
2413,male,14.248,12,40000
2415,male,87.508,14,55000
2417,male,23.088,13,42500
2418,female,34.796,12,35000
2419,male,24.569,10,55000
2420,female,32.849,12,7500
2425,male,7.627,12,35000
2426,female,32.946,13,8200
2427,male,47.464,12,75000
2434,female,62.347,12,20000
2435,female,89.248,12,35000
2436,female,44.875,12,78000
2437,female,79.569,14,125000
2438,male,88.511,17,90000
2439,male,68.273,12,32000
2442,female,45.630,18,79000
2443,male,56.491,14,36000
2444,female,55.573,16,50000
2447,female,48.144,13,37770
2450,female,39.399,12,14750
2451,male,57.518,12,23100
2452,female,41.091,12,30000
2459,female,26.828,12,4560
2460,male,38.338,12,10875
2461,female,62.172,17,61000
2462,female,32.803,11,18420
2464,male,84.734,13,185950
2466,male,19.489,10,22000
