Gene,GeneName,pValue
281,AT3G43442,0.003926161
282,AT3G43450,0.003926161
283,AT3G43650,0.030356687
284,AT3G44005,0.377724156
285,AT3G44290,0.496794953
286,AT3G44770,0.377724156
287,AT3G45095,0.003926161
288,AT3G45390,0.114275753
289,AT3G45530,0.003926161
290,AT3G45638,0.67585379
291,AT3G45810,0.67585379
292,AT3G47030,0.377724156
293,AT3G47150,0.190163803
294,AT3G47180,0.190163803
295,AT3G47347,0.114275753
296,AT3G47350,0.003926161
297,AT3G47660,0.67585379
298,AT3G47950,0.010276772
299,AT3G48230,0.003926161
300,AT3G48480,0.67585379
301,AT3G49410,0.377724156
302,AT3G53200,0.003926161
303,AT3G53330,0.67585379
304,AT3G53980,0.40973865
305,AT3G57590,1
306,AT3G59340,0.377724156
307,AT3G59480,0.377724156
308,AT3G60565,0.003926161
309,AT3G60790,0.022988249
310,AT3G61198,0.496794953
311,AT3G61826,0.003926161
312,AT3G62680,0.003926161
313,AT3G62710,0.377724156
314,AT4G00610,0.003926161
315,AT4G00905,0.114275753
316,AT4G01060,0.67585379
317,AT4G01535,0.003926161
318,AT4G01740,0.409744225
319,AT4G02700,0.409744225
320,AT4G02733,0.003926161
321,AT4G04260,0.377724156
322,AT4G04296,1
323,AT4G04380,0.67585379
324,AT4G04930,0.003926161
325,AT4G05136,0.67585379
326,AT4G05586,0.049785075
327,AT4G06488,0.377724156
328,AT4G06568,0.003926161
329,AT4G06574,0.377724156
330,AT4G06580,0.190163803
331,AT4G06590,0.67585379
332,AT4G06644,0.377724156
333,AT4G06648,0.003926161
334,AT4G06752,0.67585379
335,AT4G07720,0.377724156
336,AT4G07750,1
337,AT4G07755,0.003926161
338,AT4G07790,0.003926161
339,AT4G07936,0.67585379
340,AT4G08091,0.190163803
341,AT4G08105,0.003926161
342,AT4G08115,0.004941422
343,AT4G08210,0.377724156
344,AT4G08250,0.67585379
345,AT4G08949,0.409744225
346,AT4G08970,1
347,AT4G08995,0.377724156
348,AT4G09390,0.030356687
349,AT4G10510,1
350,AT4G10720,0.114275753
351,AT4G10860,0.030356687
352,AT4G10990,0.114275753
353,AT4G11655,0.049785075
354,AT4G11950,0.087984059
355,AT4G12275,0.67585379
356,AT4G12350,0.496794953
357,AT4G12840,0.114275753
358,AT4G13130,0.003926161
359,AT4G13570,0.496794953
360,AT4G14713,0.049785075
361,AT4G15360,0.003926161
362,AT4G15870,0.67585379
363,AT4G16015,0.67585379
364,AT4G16200,0.377724156
365,AT4G17860,0.003926161
366,AT4G18090,1
367,AT4G18610,1
368,AT4G18990,0.003926161
369,AT4G19130,0.190163803
370,AT4G20350,0.563340379
371,AT4G21230,0.377724156
372,AT4G22250,0.377724156
373,AT4G22860,0.496794953
374,AT4G23240,0.049785075
375,AT4G26260,0.049785075
376,AT4G26820,0.377724156
377,AT4G28280,0.409744225
378,AT4G28520,1
379,AT4G32490,0.030356687
380,AT4G33120,0.67585379
381,AT4G33710,0.67585379
382,AT4G33925,0.022988249
383,AT4G35680,0.409727689
384,AT4G37682,0.049785075
385,AT4G37690,0.190163803
386,AT4G37720,0.010276772
387,AT4G37895,0.003926161
388,AT4G38092,0.003926161
389,AT4G38330,0.496794953
390,AT4G38590,0.377724156
391,AT4G39000,0.003926161
392,AT4G39020,0.377724156
393,AT5G01360,0.003926161
394,AT5G02520,0.563340379
395,AT5G02660,0.377724156
396,AT5G03285,0.409748158
397,AT5G03680,1
398,AT5G04190,0.190163803
399,AT5G05630,0.377724156
400,AT5G06278,0.003926161
401,AT5G06590,0.496794953
402,AT5G07850,0.377724156
403,AT5G08350,0.087984059
404,AT5G10280,0.049785075
405,AT5G10580,0.377724156
406,AT5G11870,0.409744225
407,AT5G13580,0.049785075
408,AT5G13655,0.377724156
409,AT5G13825,0.377724156
410,AT5G14020,0.003926161
411,AT5G14360,0.67585379
412,AT5G14870,0.496794953
413,AT5G15150,0.67585379
414,AT5G15160,0.190163803
415,AT5G15720,1
416,AT5G15830,0.049785075
417,AT5G15890,0.003926161
418,AT5G16100,0.67585379
419,AT5G17220,0.022988249
420,AT5G17680,0.114275753
421,AT5G17847,0.190163803
422,AT5G20450,0.030356687
423,AT5G21140,1
424,AT5G22490,0.003926161
425,AT5G23260,0.67585379
426,AT5G23650,0.67585379
427,AT5G23800,0.022988249
428,AT5G23930,0.003926161
429,AT5G23940,0.087982859
430,AT5G24900,0.049785075
431,AT5G25425,0.003926161
432,AT5G26692,0.190163803
433,AT5G26805,0.377724156
434,AT5G27500,0.003926161
435,AT5G27925,0.003926161
436,AT5G28010,0.496794953
437,AT5G28053,0.67585379
438,AT5G28330,0.409748158
439,AT5G28430,0.377724156
440,AT5G28464,0.003926161
441,AT5G28491,0.496794953
442,AT5G28760,0.40973865
443,AT5G29975,0.003926161
444,AT5G31999,0.003926161
445,AT5G32035,0.67585379
446,AT5G32070,0.003926161
447,AT5G32623,0.377724156
448,AT5G33234,0.003926161
449,AT5G34871,0.377724156
450,AT5G35413,0.377724156
451,AT5G37665,0.003926161
452,AT5G38393,0.67585379
453,AT5G38790,0.003926161
454,AT5G39160,1
455,AT5G39560,0.003926161
456,AT5G40630,0.030356687
457,AT5G41470,0.563340379
458,AT5G42210,0.496794953
459,AT5G42500,0.377724156
460,AT5G42760,0.030356687
461,AT5G43401,0.003926161
462,AT5G44770,0.67585379
463,AT5G45070,0.003926161
464,AT5G45080,0.049785075
465,AT5G45440,0.409748158
466,AT5G45580,0.377724156
467,AT5G46013,0.67585379
468,AT5G46460,0.087984059
469,AT5G47130,1
470,AT5G47510,0.049785075
471,AT5G49040,0.003926161
472,AT5G49390,0.377724156
473,AT5G49780,0.496794953
474,AT5G50260,1
475,AT5G51900,0.496794953
476,AT5G53660,0.003926161
477,AT5G53810,0.003926161
478,AT5G54450,0.67585379
479,AT5G57080,0.377724156
480,AT5G57320,0.377724156
481,AT5G57620,0.003926161
482,AT5G57750,0.003926161
483,AT5G57760,0.409744225
484,AT5G57810,0.377724156
485,AT5G58050,1
486,AT5G59845,0.049785075
487,AT5G60320,0.003926161
488,AT5G61490,0.409724654
489,AT5G61680,0.67585379
490,AT5G63300,1
491,AT5G63590,0.377724156
492,AT5G63900,0.030356687
493,AT5G64520,0.087984059
494,AT5G65158,0.114275753
495,AT5G65320,0.496794953
496,AT5G65790,0.67585379
497,AT5G65850,0.190163803
498,AT5G66670,0.67585379
499,AT5G67110,0.087984059
500,AT5G67488,1
501,AT1G04360,0.420318232
502,AT1G04470,0.001838473
503,AT1G04540,0.866331732
504,AT1G06250,0.801582308
505,AT1G06440,0.176007536
506,AT1G07780,0.046531557
507,AT1G07800,0.176007536
508,AT1G08860,0.001838473
509,AT1G08990,0.051084902
510,AT1G09155,0.351234317
511,AT1G09170,0.176007536
512,AT1G09610,0.065707128
513,AT1G10710,0.704978917
514,AT1G11362,0.065707128
515,AT1G11735,0.001838473
516,AT1G12630,0.001838473
517,AT1G13410,0.249116534
518,AT1G13448,0.320770725
519,AT1G13630,0.088765238
520,AT1G13970,0.249116534
521,AT1G15015,0.602286795
522,AT1G15165,0.025405971
523,AT1G15900,0.176007536
524,AT1G16770,0.351234317
525,AT1G16930,0.025405971
526,AT1G18120,0.004529119
527,AT1G18250,0.088765238
528,AT1G19394,0.351234317
529,AT1G19900,0.320770725
530,AT1G20180,0.001838473
531,AT1G20870,0.033594195
532,AT1G21430,0.001838473
533,AT1G21620,0.704988744
534,AT1G21890,0.001838473
535,AT1G26530,0.001838473
536,AT1G27420,0.704983802
537,AT1G29450,0.176007536
538,AT1G30050,0.764687037
539,AT1G30670,0.866331732
540,AT1G30990,0.866331732
541,AT1G31450,0.866331732
542,AT1G32140,0.001838473
543,AT1G33090,0.351234317
544,AT1G33100,0.025405971
545,AT1G33430,0.324351177
546,AT1G33870,0.351234317
547,AT1G34140,0.001838473
548,AT1G34310,0.866331732
549,AT1G34480,0.051084902
550,AT1G35146,0.001838473
551,AT1G35513,0.001838473
552,AT1G37020,0.001838473
553,AT1G40087,0.001838473
554,AT1G40105,0.866331732
555,AT1G42130,0.324351177
556,AT1G42450,0.420318232
557,AT1G42460,0.792385014
558,AT1G42740,0.602286795
559,AT1G43210,0.001838473
560,AT1G43830,0.051084902
561,AT1G44180,0.351234317
562,AT1G47390,0.001838473
563,AT1G47565,0.704983802
564,AT1G47980,0.866331732
565,AT1G48290,0.001838473
566,AT1G49030,0.003291913
567,AT1G49320,0.324351177
568,AT1G49830,0.001838473
569,AT1G50190,0.320770725
570,AT1G50310,0.792385014
571,AT1G52130,0.001838473
572,AT1G53140,0.033594195
573,AT1G53541,0.249128124
574,AT1G53990,0.420318232
575,AT1G54000,0.116545293
576,AT1G54095,0.033594195
577,AT1G54890,0.249116534
578,AT1G55560,0.602286795
579,AT1G56320,0.704983802
580,AT1G56570,0.801582308
581,AT1G57780,0.866331732
582,AT1G58037,0.001838473
583,AT1G58150,0.176007536
584,AT1G58235,0.116545293
585,AT1G58390,0.866331732
586,AT1G60090,0.088765238
587,AT1G60130,0.866331732
588,AT1G61920,0.001838473
589,AT1G62010,0.249128124
590,AT1G62090,0.351234317
591,AT1G62400,0.004529119
592,AT1G63040,0.602286795
593,AT1G63390,0.764687037
594,AT1G63930,0.801582308
595,AT1G65780,0.602286795
596,AT1G65985,0.004529119
597,AT1G66560,0.764687037
598,AT1G66800,0.351234317
599,AT1G67370,0.065707128
600,AT1G68040,0.866331732
601,AT1G68320,0.176007536
602,AT1G69150,0.033594195
603,AT1G69350,0.088765238
604,AT1G70450,0.602286795
605,AT1G70985,0.065707128
606,AT1G71120,0.249116534
607,AT1G71290,0.602286795
608,AT1G71490,0.704959222
609,AT1G72220,0.792385014
610,AT1G72230,0.351234317
611,AT1G72350,0.602286795
612,AT1G72530,0.088765238
613,AT1G73860,0.001838473
614,AT1G73910,0.320770725
615,AT1G74620,0.351234317
616,AT1G75880,0.116545293
617,AT1G76470,0.176007536
618,AT1G76952,0.051084902
619,AT1G77405,0.320770725
620,AT1G77720,0.249128124
621,AT1G77730,0.001838473
622,AT1G80060,0.249116534
623,AT1G80170,0.792385014
624,AT1G80570,0.025405971
625,AT1G80800,0.351234317
626,AT2G01029,0.351234317
627,AT2G02540,0.756087244
628,AT2G02750,0.602286795
629,AT2G02930,0.866331732
630,AT2G05430,0.033594195
631,AT2G05680,0.602286795
632,AT2G05700,0.001838473
633,AT2G06120,0.033594195
634,AT2G06260,0.001838473
635,AT2G06335,0.351234317
636,AT2G06580,0.351234317
637,AT2G06900,0.792385014
638,AT2G07040,0.866331732
639,AT2G07685,0.033594195
640,AT2G07751,0.704983802
641,AT2G10070,0.801582308
642,AT2G10465,0.351234317
643,AT2G10557,0.001838473
644,AT2G10606,0.001838473
645,AT2G10760,0.756087244
646,AT2G11330,0.033594195
647,AT2G11450,0.602286795
648,AT2G11780,0.602286795
649,AT2G12460,0.051084902
650,AT2G12500,0.001838473
651,AT2G12940,0.001838473
652,AT2G13170,0.866331732
653,AT2G13750,0.001838473
654,AT2G14200,0.420318232
655,AT2G15550,0.051084902
656,AT2G15650,0.602286795
657,AT2G16260,0.866331732
658,AT2G16790,0.764687037
659,AT2G16910,0.866331732
660,AT2G17470,0.866331732
661,AT2G18600,0.602286795
662,AT2G18980,0.764687037
663,AT2G19200,0.866331732
664,AT2G19410,0.801582308
665,AT2G19530,0.046531415
666,AT2G21400,0.025405971
667,AT2G21740,0.001838473
668,AT2G21800,0.704983802
669,AT2G21910,0.602286795
670,AT2G22320,0.324351177
671,AT2G24350,0.420318232
672,AT2G24960,0.046531557
673,AT2G25090,0.351234317
674,AT2G25260,0.051084902
675,AT2G26180,0.176007536
676,AT2G26700,0.051084902
677,AT2G26860,0.176007536
678,AT2G28280,0.351234317
679,AT2G29610,0.001838473
680,AT2G30300,0.004529119
681,AT2G30630,0.051084902
682,AT2G30640,0.801582308
683,AT2G31520,0.001838473
684,AT2G31751,0.249128124
685,AT2G32180,0.001838473
686,AT2G32275,0.051084902
687,AT2G33980,0.704988744
688,AT2G34700,0.001838473
689,AT2G34870,0.351234317
690,AT2G34980,0.324351177
691,AT2G35580,0.351234317
692,AT2G35637,0.351234317
693,AT2G36180,0.351234317
694,AT2G36760,0.866331732
695,AT2G36854,0.351234317
696,AT2G37960,0.866331732
697,AT2G38490,0.065707128
698,AT2G38590,0.602286795
699,AT2G38995,0.002234801
700,AT2G39560,0.249116534
701,AT2G40170,0.033594195
702,AT2G40711,0.001838473
703,AT2G41690,0.116545293
704,AT2G42800,0.420318232
705,AT2G43230,0.602286795
706,AT2G43990,0.792385014
707,AT2G45120,0.602286795
708,AT2G46760,0.320770725
709,AT2G47660,0.866331732
710,AT3G01345,0.602286795
711,AT3G02240,0.002234801
712,AT3G02970,0.764687037
713,AT3G03170,0.792385014
714,AT3G04700,0.602286795
715,AT3G04860,0.704983802
716,AT3G06560,0.351234317
717,AT3G07260,0.001838473
718,AT3G08490,0.351234317
719,AT3G08500,0.764687037
720,AT3G10150,0.351234317
721,AT3G10290,0.792385014
722,AT3G10595,0.351234317
723,AT3G10845,0.176007536
724,AT3G12820,0.602286795
725,AT3G13229,0.001838473
726,AT3G13784,0.324351177
727,AT3G13840,0.001838473
728,AT3G14520,0.001838473
729,AT3G15130,0.420318232
730,AT3G15420,0.249110928
731,AT3G15605,0.764687037
732,AT3G15620,0.046531557
733,AT3G15830,0.351234317
734,AT3G15930,0.866331732
735,AT3G16440,0.001838473
736,AT3G17500,0.001838473
737,AT3G18010,0.351234317
738,AT3G18700,0.001838473
739,AT3G19610,0.866331732
740,AT3G19940,0.033594195
741,AT3G20200,0.320770725
742,AT3G20362,0.478409587
743,AT3G20880,0.001838473
744,AT3G21030,0.24912674
745,AT3G21590,0.001838473
746,AT3G23172,0.602286795
747,AT3G23470,0.351234317
748,AT3G23725,0.866331732
749,AT3G24255,0.704978917
750,AT3G24360,0.051084902
751,AT3G24890,0.420318232
752,AT3G25090,0.051084902
753,AT3G25950,0.602286795
754,AT3G26190,0.001838473
755,AT3G26870,0.602286795
756,AT3G26922,0.704983802
757,AT3G27970,0.051084902
758,AT3G28360,0.351234317
759,AT3G28470,0.351234317
760,AT3G29152,0.051084902
761,AT3G29577,0.001838473
762,AT3G30110,0.351234317
763,AT3G30160,0.764687037
764,AT3G30416,0.602286795
765,AT3G30722,0.001838473
766,AT3G31910,0.011739732
767,AT3G32092,0.051084902
768,AT3G32377,0.001838473
769,AT3G33537,0.801582308
770,AT3G35003,0.033594195
771,AT3G42800,0.704983802
772,AT3G43304,0.001838473
773,AT3G43315,0.704983802
774,AT3G43867,0.320770725
775,AT3G44093,0.001838473
776,AT3G44274,0.602286795
777,AT3G44910,0.866331732
778,AT3G45851,0.176007536
779,AT3G46250,0.764687037
780,AT3G46760,0.351234317
781,AT3G46900,0.420318232
782,AT3G49860,0.001838473
783,AT3G50180,0.320770725
784,AT3G50250,0.704983802
785,AT3G50730,0.001838473
786,AT3G50850,0.792385014
787,AT3G51075,0.704963115
788,AT3G52680,0.602286795
789,AT3G53294,0.866331732
790,AT3G53342,0.866331732
791,AT3G54770,0.420318232
792,AT3G57770,0.70499371
793,AT3G58740,0.602286795
794,AT3G58780,0.051084902
795,AT3G60470,0.704983802
796,AT3G61182,0.866331732
797,AT3G63095,0.792385014
798,AT4G00920,0.351234317
799,AT4G02810,0.351234317
800,AT4G02960,0.351234317
801,AT4G03470,0.351234317
802,AT4G03950,0.001838473
803,AT4G05550,0.602286795
804,AT4G06539,0.176007536
805,AT4G06542,0.351234317
806,AT4G06631,0.001838473
807,AT4G06740,0.001838473
808,AT4G07526,0.602286795
809,AT4G07570,0.351234317
810,AT4G08103,0.351234317
811,AT4G08333,0.033594195
812,AT4G08691,0.351234317
813,AT4G08860,0.025405971
814,AT4G09740,0.866331732
815,AT4G09820,0.324351177
816,AT4G10290,0.011739732
817,AT4G10580,0.602286795
818,AT4G10830,0.351234317
819,AT4G10845,0.001838473
820,AT4G11500,0.051084902
821,AT4G11750,0.704983802
822,AT4G11880,0.866331732
823,AT4G12270,0.011739732
824,AT4G12382,0.351234317
825,AT4G12870,0.001838473
826,AT4G13190,0.001838473
827,AT4G13210,0.866331732
828,AT4G13370,0.704978917
829,AT4G13470,0.602286795
830,AT4G13610,0.351234317
831,AT4G13660,0.033594195
832,AT4G13690,0.320770725
833,AT4G13820,0.116545293
834,AT4G13860,0.420318232
835,AT4G14380,0.033594195
836,AT4G14810,0.351234317
837,AT4G15330,0.051084902
838,AT4G15400,0.004529119
839,AT4G15953,0.001838473
840,AT4G16160,0.001838473
841,AT4G18420,0.001838473
842,AT4G19850,0.602286795
843,AT4G19920,0.866331732
844,AT4G20080,0.602286795
845,AT4G20790,0.001838473
846,AT4G21065,0.324351177
847,AT4G21600,0.001838473
848,AT4G21880,0.801582308
849,AT4G21890,0.051084902
850,AT4G22560,0.176007536
851,AT4G22900,0.792385014
852,AT4G23560,0.351234317
853,AT4G23770,0.004529119
854,AT4G23780,0.801582308
855,AT4G24080,0.320770725
856,AT4G24140,0.351234317
857,AT4G24180,0.001838473
858,AT4G24250,0.704978917
859,AT4G24974,0.866331732
860,AT4G25510,0.866331732
861,AT4G26288,0.001838473
862,AT4G26360,0.602286795
863,AT4G26560,0.001838473
864,AT4G28815,0.602286795
865,AT4G30050,0.351234317
866,AT4G30570,0.051084902
867,AT4G31330,0.033594195
868,AT4G31970,0.602286795
869,AT4G32860,0.320770725
870,AT4G33260,0.001838473
871,AT4G33610,0.866331732
872,AT4G35670,0.866331732
873,AT4G36070,0.051084902
874,AT4G37070,0.025405971
875,AT4G37340,0.602286795
876,AT4G37608,0.704957572
877,AT4G37810,0.866331732
878,AT4G38830,0.065707128
879,AT4G39810,0.764687037
880,AT5G01200,0.704983802
881,AT5G01250,0.003291913
882,AT5G01280,0.351234317
883,AT5G02080,0.116545293
884,AT5G02390,0.001838473
885,AT5G02580,0.320770725
886,AT5G02690,0.351234317
887,AT5G03360,0.764687037
888,AT5G04970,0.116545293
889,AT5G05240,0.320770725
890,AT5G05400,0.320770725
891,AT5G05900,0.001838473
892,AT5G05960,0.756087244
893,AT5G06520,0.866331732
894,AT5G06620,0.320770725
895,AT5G06634,0.001838473
896,AT5G06740,0.004529119
897,AT5G07260,0.866331732
898,AT5G07410,0.001838473
899,AT5G08030,0.866331732
900,AT5G08250,0.001838473
901,AT5G08315,0.001838473
902,AT5G08490,0.704978917
903,AT5G09876,0.704983802
904,AT5G11300,0.602286795
905,AT5G11320,0.001838473
906,AT5G11360,0.792385014
907,AT5G14650,0.116545293
908,AT5G14960,0.792385014
909,AT5G16640,0.176007536
910,AT5G16770,0.001838473
911,AT5G17725,0.866331732
912,AT5G18260,0.320770725
913,AT5G18510,0.351234317
914,AT5G19520,0.351234317
915,AT5G19870,0.176007536
916,AT5G20635,0.001838473
917,AT5G22200,0.704988744
918,AT5G22460,0.001838473
919,AT5G23910,0.351234317
920,AT5G24090,0.249128124
921,AT5G24190,0.001838473
922,AT5G24270,0.046531557
923,AT5G24330,0.001838473
924,AT5G24390,0.116545293
925,AT5G24775,0.003291913
926,AT5G24820,0.351234317
927,AT5G25230,0.116545293
928,AT5G25340,0.602286795
929,AT5G25990,0.792385014
930,AT5G26280,0.065707128
931,AT5G27260,0.866331732
932,AT5G27590,0.866331732
933,AT5G28200,0.249111712
934,AT5G28675,0.351234317
935,AT5G32825,0.866331732
936,AT5G33310,0.866331732
937,AT5G33415,0.351234317
938,AT5G33428,0.176007536
939,AT5G34780,0.001838473
940,AT5G34834,0.001838473
941,AT5G35425,0.033594195
942,AT5G35698,0.866331732
943,AT5G35725,0.866331732
