CommonName,Species,Mass,Metab,Life
White-footed mouse,Peromyscus leucopus,2.22E-02,2.68E+01,1.5
Shrew,Sorex caecutiens,3.60E-03,1.50E+01,0.8
Common shrew,Sorex araneus,5.00E-03,1.76E+01,0.8
Chinchilla,Chinchilla laniger,4.94E-01,1.12E+02,8
Viscacha,Lagostomus maximus,6.78E+00,9.16E+02,13
Rodent,Kerodon rupestris,7.50E-01,1.93E+02,6
Guinea pig,Cavia porcellus,5.00E-01,1.92E+02,6
Marmot,Marmota monax,2.65E+00,3.20E+02,10
Rat,Rattus fuscipes,7.60E-02,4.07E+01,3
Rat,Rattus lutreolus,1.09E-01,3.05E+01,3.5
Rat,Rattus rattus,1.32E-01,8.09E+01,3.5
Rat,Rattus sordidus,1.87E-01,5.14E+01,4
Cotton rat,Sigmodon hispidus,1.61E-01,1.68E+02,3
Brown hare,Lepus europaeus,2.50E+00,5.28E+02,8
Snowshoe hare,Lepus americanus,1.58E+00,6.86E+02,7
Jack Rabbit,Lepus californicus,2.30E+00,6.23E+02,8
Mountain hare,Lepus timidus,3.00E+00,5.22E+02,9
Hare,Lepus alleni,3.36E+00,7.30E+02,9
Cottontail,Sulvilagus audubonii,7.02E-01,2.20E+02,7
Pronghorn,Antilocapra americana,3.20E+01,4.32E+03,18
Camel,Camelus dromedarius,4.07E+02,2.36E+04,26
Asian elephant,Elephas maximum,3.00E+03,1.65E+05,54
Roe deer,Capreolus capreolus,1.90E+01,3.67E+03,13
Red deer,Cervus elaphus,5.80E+01,7.80E+03,18
Horse,Equus cabalus,4.00E+02,3.20E+04,40
Merino sheep,Ovis aries,4.90E+01,4.20E+03,20
Sheep,Ovis Canadensis,6.50E+01,1.07E+04,20
Buffalo,Bubalus caffer,4.20E+02,2.94E+04,35
Chamois,Rupicapra rupicapra,4.00E+01,3.14E+03,21
Swine,Sus scrofa,1.40E+02,1.20E+04,15
Collored peccary,Tayassu tajacu,2.02E+01,8.26E+02,15
Otter,Lutra lutra,1.00E+01,2.20E+03,15
Wolverine,Gulogulo,1.27E+01,2.82E+03,15
Badger,Meles meles,1.11E+01,1.44E+03,16
Sea otter,Enhydra lutris,4.00E+01,1.24E+04,16
Fox,Vulpes vulpes,5.01E+00,1.21E+03,12
Coyote,canis latrans,1.00E+01,1.32E+03,18
Dog,Canis familiaris,1.40E+01,1.88E+03,18
Jaguar,Panthera onca,1.80E+01,2.44E+03,20
Cat,Felis silvestris,3.00E+00,5.46E+02,11
Mink,Mustela vis on,6.60E-01,2.39E+02,8
Harbor seal,Phoca vitulina,2.60E+01,7.40E+03,13
Beluga whale,Delphinapterus leucas,1.70E+02,2.30E+04,25
Bottle-nosed whale,Hyperoodon ampullatus,1.00E+03,6.95E+04,40
Bat,Desmodus rotundus,2.90E-02,9.65E+00,8
Bat,Vampyrops lineatus,2.20E-02,1.56E+01,6
Ghost bat,Macroderma gigas,1.48E-01,6.80E+01,10
Molossid bat,Eumops per otis,5.70E-02,1.42E+01,10
Fox bat,Pteropus policephalus,5.98E-01,1.53E+02,13
Chimpanzee,Pan troglodytes,4.50E+01,4.62E+03,40
Rhesus monkey,Macaca mulatta,5.00E+00,9.60E+02,25
Orangutan,Pongo pygma eus,1.50E+02,1.55E+04,45
Gorilla,Gorilla gorilla,2.50E+02,2.10E+04,45
Gibbon,Hylobater lar,8.00E+00,1.51E+03,25
Man,Homo sapiens,6.50E+01,7.56E+03,75
