Subject,IQquartile,Income2005
239,1stQuartile,9000
240,2ndQuartile,38000
242,1stQuartile,75000
243,3rdQuartile,94600
244,3rdQuartile,5000
245,4thQuartile,25000
247,2ndQuartile,79000
248,1stQuartile,2000
253,2ndQuartile,20000
256,2ndQuartile,3000
257,3rdQuartile,22000
259,2ndQuartile,14000
260,4thQuartile,65000
269,4thQuartile,154541
273,3rdQuartile,61500
274,4thQuartile,45000
275,3rdQuartile,52000
279,3rdQuartile,64500
281,3rdQuartile,99000
282,4thQuartile,14000
283,1stQuartile,53000
284,2ndQuartile,90000
285,1stQuartile,35000
290,1stQuartile,19000
294,3rdQuartile,12000
299,1stQuartile,25000
306,1stQuartile,40000
310,1stQuartile,70000
313,1stQuartile,37000
317,4thQuartile,31500
321,3rdQuartile,69000
323,3rdQuartile,80000
324,1stQuartile,23000
327,4thQuartile,28000
335,3rdQuartile,10000
341,2ndQuartile,125000
342,4thQuartile,96000
346,2ndQuartile,120000
348,2ndQuartile,164307
350,2ndQuartile,100000
351,1stQuartile,39000
354,3rdQuartile,9600
355,2ndQuartile,120000
356,2ndQuartile,50000
357,3rdQuartile,80000
358,1stQuartile,110000
359,2ndQuartile,60000
360,4thQuartile,34000
362,1stQuartile,48000
367,3rdQuartile,58000
369,4thQuartile,12000
370,4thQuartile,20000
373,1stQuartile,9000
375,1stQuartile,17500
376,4thQuartile,47000
377,2ndQuartile,10000
381,2ndQuartile,105000
385,2ndQuartile,41500
386,3rdQuartile,43000
388,4thQuartile,70000
391,1stQuartile,35000
392,4thQuartile,60000
393,3rdQuartile,68000
399,3rdQuartile,62500
400,4thQuartile,75000
401,1stQuartile,11500
405,1stQuartile,26000
408,4thQuartile,68000
409,4thQuartile,180733
410,3rdQuartile,31085
411,1stQuartile,16000
414,3rdQuartile,21000
418,3rdQuartile,28000
422,4thQuartile,55000
426,1stQuartile,82000
433,1stQuartile,21528
434,3rdQuartile,59000
437,3rdQuartile,22000
438,4thQuartile,36000
439,3rdQuartile,77000
442,3rdQuartile,15000
443,4thQuartile,47000
444,4thQuartile,1500
445,4thQuartile,40000
446,1stQuartile,32000
449,2ndQuartile,14000
453,3rdQuartile,40300
456,2ndQuartile,50000
457,4thQuartile,53000
458,4thQuartile,65000
459,4thQuartile,10000
460,1stQuartile,21400
461,4thQuartile,85000
464,4thQuartile,78000
465,4thQuartile,12000
467,4thQuartile,20000
470,1stQuartile,46000
479,3rdQuartile,86000
480,2ndQuartile,60000
481,4thQuartile,388725
482,3rdQuartile,122000
484,1stQuartile,30000
485,1stQuartile,12000
486,2ndQuartile,196424
489,3rdQuartile,85000
491,1stQuartile,20000
495,3rdQuartile,29821
496,4thQuartile,25000
499,2ndQuartile,36000
500,3rdQuartile,53000
501,4thQuartile,25000
502,3rdQuartile,90000
503,2ndQuartile,23000
505,1stQuartile,28000
506,2ndQuartile,43000
520,1stQuartile,73000
521,2ndQuartile,80000
527,3rdQuartile,50000
533,2ndQuartile,5000
535,2ndQuartile,20000
540,1stQuartile,60000
543,1stQuartile,98000
547,2ndQuartile,69000
548,3rdQuartile,15000
550,4thQuartile,22000
553,4thQuartile,10000
554,4thQuartile,1100
556,4thQuartile,147000
557,4thQuartile,1200
558,4thQuartile,36000
560,3rdQuartile,78500
561,3rdQuartile,42000
562,3rdQuartile,55000
564,2ndQuartile,5000
565,2ndQuartile,55000
583,3rdQuartile,36000
585,1stQuartile,25000
594,2ndQuartile,80000
597,1stQuartile,500
604,3rdQuartile,40000
606,3rdQuartile,35000
608,4thQuartile,27000
609,2ndQuartile,32000
612,2ndQuartile,46136
613,2ndQuartile,95000
616,1stQuartile,25000
622,2ndQuartile,36500
631,1stQuartile,18000
632,1stQuartile,4000
636,2ndQuartile,40000
639,3rdQuartile,35000
640,3rdQuartile,42000
645,4thQuartile,163172
646,1stQuartile,12500
647,2ndQuartile,61000
649,4thQuartile,110000
650,3rdQuartile,58000
653,4thQuartile,96000
659,2ndQuartile,75000
662,3rdQuartile,22000
663,3rdQuartile,85000
664,2ndQuartile,43000
665,3rdQuartile,30000
667,3rdQuartile,58000
669,4thQuartile,29000
671,4thQuartile,10000
674,1stQuartile,50000
675,1stQuartile,8400
679,1stQuartile,20000
681,1stQuartile,5000
683,2ndQuartile,52000
684,1stQuartile,72000
686,4thQuartile,57000
688,2ndQuartile,23000
692,2ndQuartile,45000
697,1stQuartile,50000
701,1stQuartile,9800
703,2ndQuartile,3000
704,2ndQuartile,56000
707,1stQuartile,48000
709,1stQuartile,41167
711,2ndQuartile,40000
712,4thQuartile,41000
713,1stQuartile,11000
714,1stQuartile,20000
717,1stQuartile,40000
719,1stQuartile,48000
720,2ndQuartile,35000
721,1stQuartile,22000
722,2ndQuartile,57500
723,1stQuartile,25000
724,4thQuartile,20000
725,4thQuartile,74000
728,1stQuartile,30000
730,3rdQuartile,100000
731,2ndQuartile,40000
732,2ndQuartile,35000
733,1stQuartile,28820
745,2ndQuartile,41000
746,3rdQuartile,35500
747,3rdQuartile,50300
748,1stQuartile,34000
751,1stQuartile,55000
752,4thQuartile,120000
755,2ndQuartile,37000
756,1stQuartile,26000
757,1stQuartile,35000
758,1stQuartile,20000
761,2ndQuartile,25000
762,2ndQuartile,12000
763,2ndQuartile,23000
764,2ndQuartile,21000
769,2ndQuartile,3000
772,2ndQuartile,74000
774,2ndQuartile,35000
776,4thQuartile,115000
777,4thQuartile,85000
778,4thQuartile,30000
779,3rdQuartile,26000
784,2ndQuartile,30000
789,2ndQuartile,15000
792,1stQuartile,30000
793,3rdQuartile,30000
796,4thQuartile,58000
797,3rdQuartile,72000
799,2ndQuartile,53000
800,2ndQuartile,54000
801,1stQuartile,19327
802,1stQuartile,30000
804,2ndQuartile,16000
806,1stQuartile,35000
807,3rdQuartile,70000
810,4thQuartile,115000
811,3rdQuartile,16000
812,4thQuartile,10500
813,4thQuartile,33000
814,1stQuartile,16000
815,3rdQuartile,23400
816,2ndQuartile,29000
817,4thQuartile,117000
818,2ndQuartile,85000
820,2ndQuartile,85000
821,4thQuartile,34000
825,4thQuartile,73000
827,4thQuartile,169541
829,2ndQuartile,66000
832,2ndQuartile,20000
835,1stQuartile,25000
839,1stQuartile,30000
843,2ndQuartile,3000
847,1stQuartile,67500
849,2ndQuartile,20000
850,4thQuartile,85000
851,2ndQuartile,48000
854,2ndQuartile,22000
856,4thQuartile,25000
859,1stQuartile,46000
860,3rdQuartile,37500
861,2ndQuartile,29000
862,2ndQuartile,25000
863,2ndQuartile,125000
866,1stQuartile,36000
872,3rdQuartile,176354
874,4thQuartile,90000
875,1stQuartile,40000
878,3rdQuartile,50000
879,4thQuartile,52900
881,4thQuartile,8000
882,3rdQuartile,42000
883,3rdQuartile,30000
884,4thQuartile,52000
885,4thQuartile,37000
888,1stQuartile,50000
889,2ndQuartile,24000
890,4thQuartile,183306
891,2ndQuartile,36000
896,4thQuartile,15000
898,4thQuartile,40000
899,4thQuartile,31000
902,4thQuartile,64320
906,4thQuartile,90000
907,4thQuartile,7000
908,4thQuartile,37000
909,3rdQuartile,31330
912,4thQuartile,34000
914,3rdQuartile,71500
915,4thQuartile,57000
916,4thQuartile,20000
920,4thQuartile,120000
921,1stQuartile,65000
922,2ndQuartile,90000
929,3rdQuartile,42000
932,1stQuartile,30000
935,2ndQuartile,9800
936,3rdQuartile,15000
937,4thQuartile,75000
938,1stQuartile,38500
941,2ndQuartile,80000
942,2ndQuartile,43000
944,4thQuartile,54000
945,2ndQuartile,37300
947,3rdQuartile,64000
949,3rdQuartile,70000
950,4thQuartile,30000
951,2ndQuartile,72000
952,3rdQuartile,23600
955,2ndQuartile,40000
956,2ndQuartile,15000
958,2ndQuartile,35000
959,4thQuartile,170247
960,4thQuartile,150000
961,4thQuartile,140000
962,3rdQuartile,45500
963,2ndQuartile,65000
964,1stQuartile,48000
966,1stQuartile,44000
967,1stQuartile,56000
968,2ndQuartile,65000
969,2ndQuartile,31000
970,3rdQuartile,110000
971,2ndQuartile,3000
972,3rdQuartile,38000
973,3rdQuartile,42000
974,3rdQuartile,55000
976,3rdQuartile,51000
990,3rdQuartile,39000
996,1stQuartile,60000
997,4thQuartile,46000
999,3rdQuartile,27000
1003,3rdQuartile,70000
1004,1stQuartile,56000
1007,2ndQuartile,125000
1011,2ndQuartile,45000
1013,4thQuartile,25000
1019,4thQuartile,29000
1020,4thQuartile,84000
1029,1stQuartile,17000
1034,1stQuartile,23000
1038,3rdQuartile,24000
1039,3rdQuartile,44000
1042,1stQuartile,26000
1043,1stQuartile,16000
1044,1stQuartile,25000
1046,3rdQuartile,63
1048,1stQuartile,13000
1049,4thQuartile,51000
1051,4thQuartile,67000
1052,4thQuartile,183467
1053,3rdQuartile,394058
1056,1stQuartile,24000
1058,2ndQuartile,47000
1060,2ndQuartile,12000
1062,3rdQuartile,115000
1063,2ndQuartile,20518
1065,3rdQuartile,20160
1068,1stQuartile,12000
1071,1stQuartile,12649
1072,2ndQuartile,65000
1076,2ndQuartile,40000
1078,4thQuartile,61000
1080,3rdQuartile,7500
1081,3rdQuartile,38262
1082,3rdQuartile,70000
1085,3rdQuartile,36000
1086,3rdQuartile,67500
1089,1stQuartile,35000
1090,1stQuartile,1300
1091,2ndQuartile,24000
1092,3rdQuartile,15000
1093,2ndQuartile,35000
1096,1stQuartile,48000
1097,4thQuartile,59000
1098,4thQuartile,108000
1101,4thQuartile,50000
1102,2ndQuartile,429
1104,2ndQuartile,90000
1105,3rdQuartile,61000
1106,4thQuartile,35000
1111,2ndQuartile,44000
1114,2ndQuartile,50000
1116,2ndQuartile,30000
1118,1stQuartile,80000
1122,4thQuartile,37000
1130,2ndQuartile,5000
1134,3rdQuartile,53000
1138,3rdQuartile,58000
1139,3rdQuartile,60000
1141,1stQuartile,30000
1143,4thQuartile,180124
1144,4thQuartile,248713
1147,3rdQuartile,6500
1148,1stQuartile,31000
1153,1stQuartile,2300
1155,1stQuartile,52000
1156,2ndQuartile,25000
1157,3rdQuartile,63000
1158,1stQuartile,31000
1159,2ndQuartile,30000
1160,2ndQuartile,20000
1163,1stQuartile,25000
1166,2ndQuartile,20609
1169,2ndQuartile,130000
1176,3rdQuartile,77000
1179,3rdQuartile,35000
1181,3rdQuartile,150000
1182,4thQuartile,48000
1184,4thQuartile,95000
1185,4thQuartile,268384
1186,3rdQuartile,140000
1187,4thQuartile,39000
1188,4thQuartile,130000
1200,2ndQuartile,9000
1208,4thQuartile,120000
1221,1stQuartile,16200
1222,1stQuartile,38000
1223,1stQuartile,15000
1224,1stQuartile,12000
1233,2ndQuartile,42000
1237,1stQuartile,24000
1238,2ndQuartile,62000
1240,3rdQuartile,52000
1247,1stQuartile,8000
1249,3rdQuartile,80000
1250,1stQuartile,17000
1251,2ndQuartile,31000
1252,2ndQuartile,16000
1253,2ndQuartile,21600
1255,4thQuartile,87000
1256,1stQuartile,50000
1257,2ndQuartile,23000
1258,3rdQuartile,3000
1260,1stQuartile,35000
1261,3rdQuartile,50000
1268,4thQuartile,90000
1272,2ndQuartile,39000
1273,3rdQuartile,24000
1276,4thQuartile,46000
1279,4thQuartile,24000
1286,1stQuartile,32000
1287,1stQuartile,50000
1288,1stQuartile,21000
1290,2ndQuartile,36000
1291,1stQuartile,16000
1293,2ndQuartile,36000
1294,2ndQuartile,209138
1301,1stQuartile,25000
1311,2ndQuartile,130000
1312,2ndQuartile,18000
1315,3rdQuartile,257286
1318,1stQuartile,37000
1319,1stQuartile,43000
1320,4thQuartile,78000
1321,2ndQuartile,56000
1323,4thQuartile,42000
1325,4thQuartile,80000
1327,3rdQuartile,53000
1338,3rdQuartile,42000
1344,3rdQuartile,72000
1347,2ndQuartile,157280
1351,2ndQuartile,13000
1353,2ndQuartile,20000
1357,1stQuartile,38000
1359,3rdQuartile,40000
1360,1stQuartile,27000
1362,4thQuartile,70000
1366,2ndQuartile,29800
1367,4thQuartile,16000
1368,4thQuartile,39000
1374,3rdQuartile,15700
1383,1stQuartile,80000
1384,1stQuartile,26000
1385,2ndQuartile,34000
1386,1stQuartile,52000
1393,3rdQuartile,79000
1394,3rdQuartile,62000
1395,2ndQuartile,63000
1397,1stQuartile,45000
1399,3rdQuartile,45000
1411,2ndQuartile,16000
1413,1stQuartile,19000
1416,1stQuartile,12000
1417,1stQuartile,31000
1418,3rdQuartile,41000
1419,1stQuartile,22000
1425,3rdQuartile,38000
1426,2ndQuartile,38685
1429,4thQuartile,30000
1432,1stQuartile,42000
1433,2ndQuartile,50000
1434,1stQuartile,31980
1436,1stQuartile,10000
1438,1stQuartile,27000
1440,1stQuartile,22000
1455,1stQuartile,25000
1459,4thQuartile,40000
1462,2ndQuartile,28600
1468,2ndQuartile,29000
1470,3rdQuartile,35000
1471,1stQuartile,50000
1477,2ndQuartile,70000
1479,4thQuartile,100000
1481,2ndQuartile,71000
1484,1stQuartile,40000
1487,2ndQuartile,45000
1490,1stQuartile,25000
1491,1stQuartile,39000
1492,4thQuartile,45000
1493,3rdQuartile,245549
1495,1stQuartile,15000
1499,2ndQuartile,16000
1500,1stQuartile,50000
1501,4thQuartile,60000
1502,4thQuartile,12000
1503,4thQuartile,58000
1506,4thQuartile,42000
1507,3rdQuartile,22000
1508,4thQuartile,35000
1509,4thQuartile,25000
1510,3rdQuartile,26000
1512,4thQuartile,15000
1514,2ndQuartile,51000
1515,2ndQuartile,67000
1516,1stQuartile,23300
1521,1stQuartile,41000
1522,3rdQuartile,51300
1527,1stQuartile,28000
1529,2ndQuartile,23000
1530,1stQuartile,28000
1531,2ndQuartile,26000
1532,3rdQuartile,17407
1534,1stQuartile,52000
1538,1stQuartile,45000
1539,3rdQuartile,30000
1541,1stQuartile,41400
1547,2ndQuartile,85000
1548,2ndQuartile,4000
1551,1stQuartile,19000
1552,1stQuartile,9200
1553,4thQuartile,40000
1554,2ndQuartile,59000
1555,3rdQuartile,28352
1556,3rdQuartile,32176
1558,3rdQuartile,12000
1560,1stQuartile,19000
1564,4thQuartile,3400
1566,3rdQuartile,39100
1568,4thQuartile,6000
1569,3rdQuartile,63000
1571,3rdQuartile,45000
1574,4thQuartile,47000
1575,2ndQuartile,171551
1577,3rdQuartile,59000
1580,1stQuartile,56000
1585,2ndQuartile,60000
1586,3rdQuartile,54000
1587,4thQuartile,27300
1590,1stQuartile,16000
1591,2ndQuartile,7000
1592,1stQuartile,10000
1593,1stQuartile,17000
1595,2ndQuartile,120000
1597,3rdQuartile,52000
1598,3rdQuartile,35000
1599,2ndQuartile,24000
1601,2ndQuartile,368302
1602,2ndQuartile,90000
1603,2ndQuartile,20000
1605,2ndQuartile,40000
1607,2ndQuartile,19200
1608,3rdQuartile,11040
1610,1stQuartile,18000
1617,1stQuartile,20000
1619,3rdQuartile,65000
1621,4thQuartile,35942
1622,2ndQuartile,60000
1626,4thQuartile,73000
1627,2ndQuartile,20000
1629,3rdQuartile,100000
1631,4thQuartile,85000
1632,4thQuartile,100035
1633,4thQuartile,100000
1635,2ndQuartile,40000
1636,2ndQuartile,56000
1637,3rdQuartile,15000
1640,2ndQuartile,48000
1641,3rdQuartile,110000
1642,1stQuartile,75000
1644,2ndQuartile,9400
1651,3rdQuartile,153334
1656,2ndQuartile,33000
1659,3rdQuartile,26000
1670,4thQuartile,105000
1719,2ndQuartile,60000
1720,1stQuartile,45000
1721,1stQuartile,80000
1725,1stQuartile,25000
1729,1stQuartile,24000
1730,3rdQuartile,52000
1733,4thQuartile,115000
1735,3rdQuartile,3000
1739,4thQuartile,10000
1740,2ndQuartile,19000
1744,3rdQuartile,60000
1746,4thQuartile,116000
1750,2ndQuartile,44000
1751,1stQuartile,35000
1758,1stQuartile,13000
1763,3rdQuartile,22000
1766,4thQuartile,12000
1768,2ndQuartile,8000
1769,1stQuartile,29515
1775,2ndQuartile,34000
1778,2ndQuartile,8000
1779,1stQuartile,74000
1780,3rdQuartile,40000
1781,2ndQuartile,100000
1784,4thQuartile,45000
1785,1stQuartile,29000
1786,2ndQuartile,46800
1787,2ndQuartile,52000
1788,3rdQuartile,56856
1790,3rdQuartile,34000
1792,4thQuartile,15000
1795,2ndQuartile,108888
1797,2ndQuartile,3040
1798,4thQuartile,27100
1802,3rdQuartile,27915
1803,3rdQuartile,36000
1804,4thQuartile,12000
1808,4thQuartile,125000
1810,2ndQuartile,155867
1819,4thQuartile,29000
1820,1stQuartile,8000
1824,1stQuartile,19000
1826,3rdQuartile,45000
1831,1stQuartile,64000
1835,1stQuartile,40000
1836,2ndQuartile,50000
1837,1stQuartile,32000
1838,1stQuartile,17000
1839,1stQuartile,18000
1841,4thQuartile,85000
1844,4thQuartile,188404
1846,3rdQuartile,192896
1847,3rdQuartile,68000
1848,1stQuartile,46000
1858,3rdQuartile,68000
1860,2ndQuartile,29000
1862,2ndQuartile,900
1863,3rdQuartile,20000
1865,1stQuartile,28000
1866,2ndQuartile,25000
1867,4thQuartile,52000
1868,2ndQuartile,26500
1869,1stQuartile,14000
1872,1stQuartile,35000
1873,1stQuartile,22000
1875,4thQuartile,130000
1878,1stQuartile,8000
1880,4thQuartile,30000
1881,2ndQuartile,40000
1884,2ndQuartile,12500
1885,3rdQuartile,35000
1887,1stQuartile,11000
1889,2ndQuartile,35675
1890,1stQuartile,18000
1891,2ndQuartile,26800
1895,4thQuartile,83000
1896,4thQuartile,28000
1899,1stQuartile,32000
1902,2ndQuartile,40574
1904,4thQuartile,26000
1905,3rdQuartile,45000
1906,4thQuartile,25000
1910,2ndQuartile,55000
1912,2ndQuartile,25000
1913,2ndQuartile,14103
1914,4thQuartile,48000
1916,3rdQuartile,74481
1917,1stQuartile,48000
1918,3rdQuartile,68000
1920,3rdQuartile,2000
1924,2ndQuartile,65000
1925,3rdQuartile,44000
1926,2ndQuartile,16000
1927,2ndQuartile,21455
1929,4thQuartile,81000
1930,4thQuartile,45000
1944,4thQuartile,86000
1947,2ndQuartile,16000
1950,3rdQuartile,22000
1951,2ndQuartile,42000
1952,2ndQuartile,85000
1953,4thQuartile,24000
1954,4thQuartile,4000
1955,4thQuartile,60000
1957,1stQuartile,47000
1958,4thQuartile,45000
1959,1stQuartile,36000
1961,2ndQuartile,100000
1962,1stQuartile,25000
1963,3rdQuartile,67000
1964,1stQuartile,30000
1965,2ndQuartile,25000
1966,4thQuartile,42000
1967,3rdQuartile,40000
1971,2ndQuartile,65000
1975,4thQuartile,41000
1976,3rdQuartile,36000
1977,2ndQuartile,50000
1978,1stQuartile,48000
1985,3rdQuartile,25000
1986,3rdQuartile,23000
1988,1stQuartile,46000
1990,3rdQuartile,26000
1992,1stQuartile,68000
1994,3rdQuartile,28000
1995,2ndQuartile,3000
1996,2ndQuartile,32000
1998,3rdQuartile,9724
1999,3rdQuartile,46000
2002,2ndQuartile,12000
2003,1stQuartile,8000
2005,4thQuartile,78000
2007,4thQuartile,143000
2010,3rdQuartile,12000
2011,3rdQuartile,25000
2012,2ndQuartile,32000
2013,4thQuartile,9200
2014,2ndQuartile,27000
2018,3rdQuartile,27640
2020,1stQuartile,26000
2024,4thQuartile,65000
2027,4thQuartile,9000
2029,4thQuartile,135000
2030,3rdQuartile,5500
2031,1stQuartile,36000
2032,1stQuartile,32000
2033,3rdQuartile,157117
2034,3rdQuartile,52000
2035,3rdQuartile,25000
2037,4thQuartile,2700
2038,4thQuartile,162919
2040,4thQuartile,14969
2041,3rdQuartile,20000
2042,4thQuartile,6000
2045,2ndQuartile,30000
2046,1stQuartile,24000
2047,3rdQuartile,55000
2049,4thQuartile,33000
2051,1stQuartile,20000
2055,3rdQuartile,30000
2056,3rdQuartile,135000
2057,1stQuartile,9000
2061,4thQuartile,50000
2062,2ndQuartile,110000
2066,1stQuartile,29000
2067,2ndQuartile,60000
2068,2ndQuartile,35000
2070,1stQuartile,60000
2071,4thQuartile,1000
2072,4thQuartile,4000
2073,4thQuartile,22000
2074,3rdQuartile,58000
2075,3rdQuartile,66000
2076,1stQuartile,39144
2079,2ndQuartile,28000
2080,3rdQuartile,17000
2081,2ndQuartile,46000
2083,4thQuartile,26000
2086,2ndQuartile,27000
2087,2ndQuartile,40000
2088,2ndQuartile,30000
2089,1stQuartile,40000
2090,1stQuartile,37000
2093,3rdQuartile,48000
2094,1stQuartile,29000
2096,2ndQuartile,92000
2097,2ndQuartile,71000
2099,2ndQuartile,62000
2100,4thQuartile,52000
2101,4thQuartile,90000
2102,2ndQuartile,24000
2104,3rdQuartile,34500
2106,2ndQuartile,52000
2107,3rdQuartile,5100
2113,4thQuartile,100000
2119,3rdQuartile,9000
2120,2ndQuartile,4000
2122,1stQuartile,26000
2123,3rdQuartile,33600
2124,4thQuartile,115000
2126,3rdQuartile,42000
2132,2ndQuartile,104000
2133,2ndQuartile,39400
2134,1stQuartile,10000
2135,1stQuartile,70000
2136,2ndQuartile,34500
2138,3rdQuartile,36000
2140,2ndQuartile,55000
2144,4thQuartile,57000
2145,3rdQuartile,50000
2146,2ndQuartile,14000
2147,3rdQuartile,34000
2148,3rdQuartile,16557
2152,2ndQuartile,28000
2153,2ndQuartile,12000
2156,2ndQuartile,40500
2157,2ndQuartile,24000
2158,3rdQuartile,3600
2159,3rdQuartile,70000
2163,1stQuartile,60000
2164,3rdQuartile,69000
2165,1stQuartile,12000
2167,1stQuartile,48000
2168,4thQuartile,57600
2169,3rdQuartile,57000
2172,2ndQuartile,63000
2173,3rdQuartile,52000
2178,3rdQuartile,44000
2180,2ndQuartile,40000
2182,3rdQuartile,65000
2187,2ndQuartile,90000
2188,1stQuartile,36000
2190,1stQuartile,18000
2194,1stQuartile,30000
2196,2ndQuartile,5280
2200,4thQuartile,65000
2201,2ndQuartile,32000
2202,4thQuartile,35000
2203,1stQuartile,22500
2204,3rdQuartile,26074
2205,2ndQuartile,52000
2207,3rdQuartile,30000
2208,1stQuartile,25000
2209,1stQuartile,36000
2214,2ndQuartile,11000
2216,2ndQuartile,43000
2218,3rdQuartile,70000
2220,4thQuartile,82000
2222,4thQuartile,46000
2223,2ndQuartile,55000
2224,1stQuartile,5000
2225,1stQuartile,56000
2227,2ndQuartile,28263
2229,3rdQuartile,33000
2230,4thQuartile,40000
2237,4thQuartile,64000
2243,3rdQuartile,30000
2247,3rdQuartile,58000
2250,1stQuartile,20000
2251,1stQuartile,7225
2254,1stQuartile,30000
2255,1stQuartile,45000
2261,1stQuartile,32000
2264,2ndQuartile,13000
2265,1stQuartile,15000
2266,1stQuartile,15000
2270,1stQuartile,15000
2271,1stQuartile,13000
2278,3rdQuartile,49000
2284,4thQuartile,50000
2285,3rdQuartile,55000
2286,4thQuartile,26000
2291,4thQuartile,60200
2299,4thQuartile,47000
2301,4thQuartile,71500
2302,4thQuartile,112000
2304,2ndQuartile,50000
2313,2ndQuartile,25000
2314,3rdQuartile,50000
2316,1stQuartile,30000
2318,3rdQuartile,43000
2322,3rdQuartile,46000
2323,2ndQuartile,100000
2324,3rdQuartile,102000
2326,1stQuartile,44000
2327,3rdQuartile,26000
2328,4thQuartile,31000
2329,3rdQuartile,40000
2332,3rdQuartile,26524
2333,2ndQuartile,85000
2334,1stQuartile,37500
2337,3rdQuartile,35650
2339,4thQuartile,235236
2341,4thQuartile,68000
2344,1stQuartile,44000
2348,1stQuartile,14560
2360,2ndQuartile,18500
2361,1stQuartile,99000
2372,4thQuartile,65000
2375,2ndQuartile,80000
2376,3rdQuartile,60000
2380,3rdQuartile,22000
2382,2ndQuartile,40000
2383,2ndQuartile,8500
2385,3rdQuartile,62000
2386,3rdQuartile,68000
2394,3rdQuartile,60000
2396,1stQuartile,13986
2398,1stQuartile,32000
2400,4thQuartile,24024
2401,1stQuartile,48000
2403,1stQuartile,18000
2404,2ndQuartile,28800
2410,2ndQuartile,13000
2412,2ndQuartile,15000
2413,1stQuartile,40000
2415,4thQuartile,55000
2417,1stQuartile,42500
2418,2ndQuartile,35000
2419,1stQuartile,55000
2420,2ndQuartile,7500
2425,1stQuartile,35000
2426,2ndQuartile,8200
2427,2ndQuartile,75000
2434,3rdQuartile,20000
2435,4thQuartile,35000
2436,2ndQuartile,78000
2437,4thQuartile,125000
2438,4thQuartile,90000
2439,3rdQuartile,32000
2442,2ndQuartile,79000
2443,2ndQuartile,36000
2444,2ndQuartile,50000
2447,2ndQuartile,37770
2450,2ndQuartile,14750
2451,3rdQuartile,23100
2452,2ndQuartile,30000
2459,1stQuartile,4560
2460,2ndQuartile,10875
2461,3rdQuartile,61000
2462,2ndQuartile,18420
2464,4thQuartile,185950
2466,1stQuartile,22000
2470,3rdQuartile,46500
2471,2ndQuartile,20000
2473,4thQuartile,42000
2474,4thQuartile,10574
2475,3rdQuartile,56000
2477,3rdQuartile,33000
2478,2ndQuartile,20376
2479,3rdQuartile,25000
2483,1stQuartile,29000
2485,1stQuartile,18000
2489,3rdQuartile,30000
2494,4thQuartile,72000
2523,4thQuartile,48000
2526,3rdQuartile,80000
2527,1stQuartile,60000
2528,1stQuartile,6000
2529,1stQuartile,5000
2530,1stQuartile,27000
2535,1stQuartile,41000
2537,2ndQuartile,13100
2539,1stQuartile,38000
2540,1stQuartile,25000
2541,4thQuartile,70000
2542,3rdQuartile,12800
2544,2ndQuartile,98000
2545,3rdQuartile,103000
2547,2ndQuartile,52000
2549,4thQuartile,38000
2550,3rdQuartile,36660
2551,4thQuartile,39500
2552,4thQuartile,33500
2553,3rdQuartile,39800
2556,3rdQuartile,19000
2557,4thQuartile,96000
2558,3rdQuartile,61000
2559,3rdQuartile,49000
2564,1stQuartile,16000
2565,4thQuartile,44000
