Year,Region,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total,Rating,Score
1990,colorado,0.00,0.00,0.03,0.00,0.18,0.00,0.08,0.29,POOR,0
1991,colorado,0.00,0.95,0.00,0.01,0.84,0.21,0.77,2.78,POOR,0
1992,colorado,0.60,0.11,0.05,0.58,0.41,0.81,1.56,4.12,FAIR,1
1993,colorado,0.00,0.01,0.00,1.65,1.69,1.22,0.38,4.95,GOOD,2
1994,colorado,0.12,0.03,0.89,0.00,0.00,0.26,0.12,1.42,POOR,0
1995,colorado,1.44,0.00,0.00,1.02,0.48,0.02,0.22,3.18,GOOD,2
1996,colorado,0.00,0.00,0.00,0.00,0.00,0.11,0.05,0.16,POOR,0
1997,colorado,0.41,0.00,0.00,0.00,0.45,0.01,0.00,0.87,POOR,0
1998,colorado,1.80,0.00,0.00,2.43,0.04,1.98,0.08,6.33,SPECTACULAR,4
1964,mojave,1.74,2.74,0.59,0.01,0.01,0.00,0.07,5.16,GREAT,3
1965,mojave,0.00,0.00,0.83,0.00,0.01,0.03,0.29,1.16,POOR,0
1966,mojave,0.00,0.00,1.09,2.03,0.21,0.53,0.54,4.40,GOOD,2
1967,mojave,0.06,0.19,0.12,0.38,0.08,0.00,0.00,0.83,POOR,0
1970,mojave,0.22,0.00,0.00,0.00,0.00,0.45,0.31,0.98,POOR,0
1971,mojave,0.00,0.00,0.11,0.33,0.00,0.01,0.00,0.45,POOR,0
1972,mojave,0.00,0.02,0.02,0.17,0.00,0.00,0.00,0.21,POOR,0
1973,mojave,0.00,0.24,0.50,0.00,0.04,0.14,0.61,1.53,GREAT,3
1974,mojave,0.00,0.00,0.15,0.00,1.03,0.48,0.00,1.66,FAIR,1
1975,mojave,0.00,0.44,0.13,0.10,0.00,0.02,0.20,0.89,POOR,0
1976,mojave,2.04,0.02,0.02,0.02,0.00,1.57,0.09,3.76,GOOD,2
1977,mojave,3.41,0.28,0.09,0.01,0.78,0.00,0.14,4.71,GREAT,3
1978,mojave,0.05,0.00,0.00,0.58,2.07,0.91,0.89,4.50,GOOD,2
1979,mojave,0.06,0.31,1.37,0.28,1.12,0.65,0.78,4.57,GOOD,2
1980,mojave,0.00,0.00,0.00,0.25,0.83,2.45,1.08,4.61,POOR,0
1981,mojave,1.65,0.03,0.00,0.00,0.84,0.12,1.12,3.76,FAIR,1
1982,mojave,0.10,0.00,0.05,0.00,0.82,0.00,0.34,1.31,POOR,0
1983,mojave,0.53,0.00,0.51,2.46,0.50,0.88,2.40,7.28,GOOD,2
1984,mojave,1.22,1.23,0.20,0.90,0.00,0.00,0.00,3.55,GOOD,2
1985,mojave,0.00,0.00,0.62,1.08,0.33,0.08,0.00,2.11,POOR,0
1986,mojave,0.91,0.00,0.42,0.36,0.29,0.65,0.21,2.84,FAIR,1
1987,mojave,0.00,0.39,0.15,0.58,0.03,0.23,0.16,1.54,POOR,0
1988,mojave,0.72,0.92,1.07,0.99,0.47,0.67,0.16,5.00,GOOD,2
1989,mojave,0.00,0.00,0.00,0.04,0.81,0.00,0.70,1.55,POOR,0
1990,mojave,0.01,0.00,0.00,0.47,0.02,0.06,0.05,0.61,POOR,0
1991,mojave,0.09,0.13,0.00,0.00,0.55,0.41,1.23,2.41,POOR,0
1992,mojave,0.76,0.07,0.00,1.06,0.23,2.23,2.03,6.38,FAIR,1
1993,mojave,0.00,0.30,0.00,0.87,2.63,0.95,0.14,4.89,FAIR,1
1994,mojave,0.00,0.04,0.25,0.24,0.15,0.47,0.83,1.98,POOR,0
1995,mojave,0.20,0.00,0.16,0.88,2.13,0.86,0.29,4.52,POOR,0
1996,mojave,0.13,0.00,0.00,0.00,0.05,0.30,0.12,0.60,POOR,0
1941,upland,2.72,0.12,1.62,2.82,2.00,1.01,0.98,11.27,SPECTACULAR,4
1964,upland,1.10,0.09,1.23,0.08,0.31,0.05,1.38,4.24,POOR,0
1965,upland,1.69,1.15,1.25,1.22,0.89,1.01,0.42,7.63,FAIR,1
1966,upland,0.87,0.03,0.86,7.27,1.95,2.79,0.14,13.91,GOOD,2
1967,upland,3.78,0.51,0.32,0.15,0.05,0.02,0.56,5.39,POOR,0
1968,upland,1.03,1.26,0.70,5.71,0.43,1.73,2.19,13.05,GREAT,3
1969,upland,0.01,0.17,1.56,0.50,0.62,0.31,0.34,3.51,POOR,0
1970,upland,0.26,0.05,1.28,0.73,0.00,0.36,1.47,4.15,POOR,0
1971,upland,2.57,0.44,0.01,0.46,0.15,0.57,0.05,4.25,POOR,0
1972,upland,1.23,1.57,0.73,1.12,0.00,0.00,0.05,4.70,POOR,0
1973,upland,0.83,4.82,1.59,0.23,0.03,1.54,3.98,13.02,GREAT,3
1974,upland,0.00,0.00,0.40,0.00,0.94,0.01,0.38,1.73,POOR,0
1975,upland,1.56,2.03,0.14,0.22,0.30,0.20,1.15,5.60,POOR,0
1976,upland,0.30,0.13,0.25,0.82,0.08,0.25,0.59,2.42,POOR,0
1977,upland,1.08,1.10,0.53,0.04,2.30,0.10,0.47,5.62,POOR,0
1978,upland,0.20,2.90,0.28,1.92,2.43,1.70,1.65,11.08,GREAT,3
1979,upland,0.02,0.00,2.19,2.71,2.43,0.98,0.84,9.17,SPECTACULAR,4
1980,upland,0.15,0.10,0.14,0.23,0.63,2.24,1.44,4.93,POOR,0
1981,upland,1.89,0.46,0.00,0.14,1.24,0.83,1.67,6.23,POOR,0
1982,upland,1.11,0.27,0.96,0.00,1.49,0.22,1.42,5.47,POOR,0
1983,upland,3.03,0.00,0.95,2.80,1.24,0.83,1.67,10.52,GOOD,2
1984,upland,5.76,5.61,1.49,0.98,0.55,0.00,0.00,14.39,FAIR,1
1985,upland,2.47,1.30,0.47,3.43,1.56,0.83,0.38,10.44,FAIR,1
1986,upland,1.55,0.75,1.12,0.29,0.73,1.74,1.57,7.75,FAIR,1
1987,upland,0.26,0.36,0.52,1.55,0.70,1.42,0.87,5.68,POOR,0
1988,upland,1.55,0.38,0.29,1.45,0.39,0.56,0.17,4.79,POOR,0
1989,upland,0.19,3.00,0.00,0.25,0.87,0.06,0.85,5.22,POOR,0
1990,upland,0.04,1.91,0.39,0.36,1.39,0.82,2.07,6.98,POOR,0
1991,upland,2.51,0.54,0.46,3.31,1.50,0.87,1.81,11.00,FAIR,1
1992,upland,0.77,0.95,1.10,2.20,1.79,2.36,2.41,11.58,FAIR,1
1993,upland,1.06,0.28,0.00,3.24,5.80,1.78,1.07,13.23,GOOD,2
1994,upland,0.12,0.44,1.47,0.38,0.01,1.43,1.35,5.20,POOR,0
1995,upland,0.77,0.60,1.33,3.69,1.15,1.43,0.55,9.52,FAIR,1
1996,upland,0.23,0.12,0.89,0.21,0.10,1.53,0.11,3.19,POOR,0
1997,upland,2.13,0.71,0.42,0.01,0.94,0.38,0.72,5.31,POOR,0
1998,upland,0.64,0.78,0.89,3.10,0.13,3.91,1.92,11.37,GREAT,3
1999,upland,0.83,0.15,0.81,0.45,0.06,0.06,0.27,2.63,POOR,0
2000,upland,1.02,0.00,0.00,0.00,0.23,0.45,1.41,2.88,POOR,0
