Region,MetropolitanStatus,Age,EducationCategory,EducationCode,Race,WeeklyEarnings
West,Metropolitan,52,BachelorsDegree,43,White,480.76
West,Metropolitan,54,AssocDegAcadem,42,White,640
Northeast,Not Metropolitan,58,HighSchoolDiploma,39,White,1200
Midwest,Metropolitan,39,ProfSchoolDegree,45,White,1084
South,Metropolitan,53,HighSchoolDiploma,39,White,280
Midwest,Not Metropolitan,41,HighSchoolDiploma,39,White,740
Midwest,Metropolitan,65,SomeCollegeButNoDegree,40,White,640
South,Not Metropolitan,41,HighSchoolDiploma,39,White,570
West,Metropolitan,38,HighSchoolDiploma,39,White,692
South,Metropolitan,43,MastersDegree,44,White,1923.07
South,Metropolitan,42,FifthorSixthGrade,33,White,285
West,Metropolitan,32,AssocDegAcadem,42,White,2200
Midwest,Metropolitan,55,HighSchoolDiploma,39,Black,390.5
Midwest,Metropolitan,24,BachelorsDegree,43,White,1442.3
Midwest,Metropolitan,19,BachelorsDegree,43,White,1307
West,Metropolitan,35,MastersDegree,44,White,1307.69
Midwest,Metropolitan,46,EleventhGrade,37,White,961.53
South,Metropolitan,33,ProfSchoolDegree,45,White,1826.92
South,Metropolitan,46,SomeCollegeButNoDegree,40,White,1408
Midwest,Metropolitan,33,HighSchoolDiploma,39,White,360
West,Metropolitan,50,HighSchoolDiploma,39,White,1400
South,Metropolitan,60,SomeCollegeButNoDegree,40,White,2354.07
South,Metropolitan,27,BachelorsDegree,43,White,850
Midwest,Metropolitan,32,HighSchoolDiploma,39,White,686.8
South,Metropolitan,60,HighSchoolDiploma,39,Black,807.69
Northeast,Metropolitan,40,HighSchoolDiploma,39,White,1200
Midwest,Metropolitan,29,BachelorsDegree,43,White,1538.46
Northeast,Metropolitan,58,BachelorsDegree,43,White,1200
South,Metropolitan,47,MastersDegree,44,White,1923.07
Northeast,Metropolitan,56,BachelorsDegree,43,White,2884.61
Midwest,Not Metropolitan,31,AssocDegAcadem,42,White,480
West,Metropolitan,28,SomeCollegeButNoDegree,40,White,730
Midwest,Not Metropolitan,56,EleventhGrade,37,White,962
Northeast,Metropolitan,50,AssocDegAcadem,42,White,1923
Northeast,Metropolitan,36,BachelorsDegree,43,White,2115
South,Metropolitan,24,BachelorsDegree,43,White,865.38
South,Metropolitan,71,HighSchoolDiploma,39,White,438.46
South,Not Metropolitan,50,EleventhGrade,37,White,730.76
South,Metropolitan,37,BachelorsDegree,43,White,2884.61
Northeast,Metropolitan,63,HighSchoolDiploma,39,White,340
West,Metropolitan,39,HighSchoolDiploma,39,White,700
South,Not Metropolitan,55,HighSchoolDiploma,39,White,600
West,Not Metropolitan,34,BachelorsDegree,43,White,788.46
South,Not Metropolitan,26,HighSchoolDiploma,39,White,1015
Midwest,Metropolitan,28,DoctorateDegree,46,White,673.07
Midwest,Not Metropolitan,47,SomeCollegeButNoDegree,40,White,1200
Northeast,Metropolitan,52,HighSchoolDiploma,39,White,700
South,Metropolitan,55,HighSchoolDiploma,39,Black,692.3
South,Metropolitan,36,HighSchoolDiploma,39,White,600
Midwest,Metropolitan,37,BachelorsDegree,43,White,900
Midwest,Metropolitan,41,BachelorsDegree,43,Black,400
South,Metropolitan,57,HighSchoolDiploma,39,White,700
South,Not Metropolitan,54,BachelorsDegree,43,White,2211.53
Northeast,Not Metropolitan,57,SomeCollegeButNoDegree,40,White,1200
Midwest,Not Metropolitan,62,SomeCollegeButNoDegree,40,White,1346.15
Midwest,Metropolitan,22,SomeCollegeButNoDegree,40,White,432
Northeast,Metropolitan,46,HighSchoolDiploma,39,White,1200
South,Metropolitan,27,BachelorsDegree,43,White,1634.61
Northeast,Metropolitan,60,BachelorsDegree,43,White,1211.53
Northeast,Metropolitan,41,MastersDegree,44,White,2500
West,Metropolitan,61,DoctorateDegree,46,White,2307.46
South,Metropolitan,43,MastersDegree,44,Black,400
South,Metropolitan,54,HighSchoolDiploma,39,White,858.8
West,Metropolitan,58,BachelorsDegree,43,White,2884.61
Northeast,Metropolitan,56,SeventhOrEighthGrade,34,White,584
South,Metropolitan,57,HighSchoolDiploma,39,White,721.15
Northeast,Metropolitan,48,BachelorsDegree,43,White,2692
Midwest,Not Metropolitan,39,BachelorsDegree,43,White,1300
Northeast,Not Metropolitan,53,HighSchoolDiploma,39,White,700
South,Metropolitan,33,BachelorsDegree,43,White,1634.61
West,Not Identified,63,EleventhGrade,37,White,1800
South,Metropolitan,39,MastersDegree,44,White,1596
Midwest,Not Metropolitan,27,HighSchoolDiploma,39,White,807
South,Metropolitan,57,DoctorateDegree,46,White,346.5
South,Metropolitan,39,HighSchoolDiploma,39,White,400
South,Metropolitan,42,HighSchoolDiploma,39,Black,1211.53
South,Not Metropolitan,33,SomeCollegeButNoDegree,40,White,2884.61
Midwest,Metropolitan,51,HighSchoolDiploma,39,White,666
West,Metropolitan,40,HighSchoolDiploma,39,White,855
Midwest,Not Metropolitan,22,HighSchoolDiploma,39,White,600
Midwest,Metropolitan,31,BachelorsDegree,43,White,1250
Midwest,Not Metropolitan,38,SomeCollegeButNoDegree,40,White,1000
Northeast,Metropolitan,63,BachelorsDegree,43,White,550
South,Metropolitan,26,BachelorsDegree,43,White,550
West,Metropolitan,61,HighSchoolDiploma,39,White,600
South,Not Metropolitan,50,SomeCollegeButNoDegree,40,White,2807.69
South,Metropolitan,31,HighSchoolDiploma,39,White,480
West,Metropolitan,47,BachelorsDegree,43,White,2800
Northeast,Metropolitan,33,AssocDegOccupVocat,41,White,840
West,Not Metropolitan,37,SomeCollegeButNoDegree,40,White,489.6
Midwest,Not Metropolitan,55,HighSchoolDiploma,39,White,800
Northeast,Metropolitan,23,HighSchoolDiploma,39,Black,600
South,Metropolitan,31,AssocDegAcadem,42,White,1153
West,Metropolitan,47,BachelorsDegree,43,White,1288.46
South,Metropolitan,52,NinthGrade,35,White,550
Midwest,Metropolitan,37,AssocDegOccupVocat,41,White,368
South,Metropolitan,65,HighSchoolDiploma,39,Black,336
South,Not Metropolitan,56,SomeCollegeButNoDegree,40,White,473.6
South,Metropolitan,56,BachelorsDegree,43,White,750
Midwest,Metropolitan,38,BachelorsDegree,43,White,961.53
West,Metropolitan,30,AssocDegAcadem,42,White,2884.61
Northeast,Metropolitan,28,SomeCollegeButNoDegree,40,Black,550
South,Metropolitan,43,HighSchoolDiploma,39,White,480
Northeast,Metropolitan,42,HighSchoolDiploma,39,White,1335
South,Metropolitan,51,AssocDegAcadem,42,White,440
West,Metropolitan,61,BachelorsDegree,43,White,1057
South,Metropolitan,56,BachelorsDegree,43,White,1000
West,Metropolitan,33,SomeCollegeButNoDegree,40,White,365.38
Northeast,Metropolitan,38,AssocDegAcadem,42,White,1153.84
West,Metropolitan,22,SomeCollegeButNoDegree,40,White,320
Midwest,Metropolitan,64,BachelorsDegree,43,White,397.38
Midwest,Not Metropolitan,47,HighSchoolDiploma,39,White,888.8
West,Metropolitan,62,SeventhOrEighthGrade,34,White,1222
South,Metropolitan,37,SomeCollegeButNoDegree,40,Black,610
South,Metropolitan,47,AssocDegAcadem,42,White,1711.53
Northeast,Metropolitan,29,BachelorsDegree,43,White,2211.53
West,Not Identified,54,BachelorsDegree,43,White,2884.61
West,Not Metropolitan,31,TenthGrade,36,White,281.75
Midwest,Metropolitan,54,EleventhGrade,37,White,700
Northeast,Metropolitan,52,BachelorsDegree,43,White,1500
West,Metropolitan,28,SomeCollegeButNoDegree,40,White,526.89
Midwest,Metropolitan,25,BachelorsDegree,43,White,1153.84
South,Not Metropolitan,58,HighSchoolDiploma,39,White,1304
West,Metropolitan,34,AssocDegOccupVocat,41,White,692.3
West,Metropolitan,42,HighSchoolDiploma,39,White,170
Midwest,Metropolitan,51,BachelorsDegree,43,White,900
Northeast,Metropolitan,46,AssocDegAcadem,42,White,875
Midwest,Metropolitan,24,HighSchoolDiploma,39,White,315.02
Midwest,Metropolitan,40,SomeCollegeButNoDegree,40,White,736
South,Metropolitan,41,BachelorsDegree,43,White,1000
South,Metropolitan,59,BachelorsDegree,43,Black,590
South,Metropolitan,46,MastersDegree,44,White,2307
West,Metropolitan,71,DoctorateDegree,46,White,769.23
South,Metropolitan,40,AssocDegOccupVocat,41,White,1692
South,Metropolitan,36,SomeCollegeButNoDegree,40,White,900
South,Metropolitan,62,DoctorateDegree,46,White,1153.84
Northeast,Not Metropolitan,47,BachelorsDegree,43,White,2307.69
South,Metropolitan,45,AssocDegOccupVocat,41,White,1538.46
West,Metropolitan,31,ProfSchoolDegree,45,White,961.53
Northeast,Metropolitan,62,HighSchoolDiploma,39,White,1368
Northeast,Metropolitan,52,EleventhGrade,37,White,1000
South,Not Metropolitan,70,TwelthButNoDiploma,38,Black,252
South,Metropolitan,43,MastersDegree,44,Black,830.76
Midwest,Not Metropolitan,24,BachelorsDegree,43,White,673
West,Not Metropolitan,21,TenthGrade,36,White,570
Midwest,Metropolitan,50,AssocDegOccupVocat,41,White,900
South,Not Metropolitan,38,HighSchoolDiploma,39,White,1340
Northeast,Not Metropolitan,38,HighSchoolDiploma,39,White,1575.2
Northeast,Metropolitan,54,HighSchoolDiploma,39,White,1139
Midwest,Not Metropolitan,42,SeventhOrEighthGrade,34,White,400
West,Metropolitan,43,SeventhOrEighthGrade,34,White,800
South,Metropolitan,43,ProfSchoolDegree,45,White,769
South,Not Metropolitan,54,HighSchoolDiploma,39,White,1375.8
Midwest,Not Metropolitan,53,SomeCollegeButNoDegree,40,White,1038.46
Northeast,Metropolitan,33,HighSchoolDiploma,39,White,288
Midwest,Metropolitan,53,HighSchoolDiploma,39,White,1923.07
West,Metropolitan,39,BachelorsDegree,43,White,1153
South,Metropolitan,32,HighSchoolDiploma,39,White,1400
West,Metropolitan,26,HighSchoolDiploma,39,White,660
Northeast,Metropolitan,40,BachelorsDegree,43,White,2884.61
West,Metropolitan,29,HighSchoolDiploma,39,White,850
South,Metropolitan,36,HighSchoolDiploma,39,White,480
Northeast,Not Metropolitan,42,SomeCollegeButNoDegree,40,White,1150
Northeast,Metropolitan,53,HighSchoolDiploma,39,White,1346.15
South,Metropolitan,52,HighSchoolDiploma,39,Black,769.23
West,Metropolitan,33,BachelorsDegree,43,White,961.53
Northeast,Metropolitan,27,BachelorsDegree,43,White,750
Northeast,Metropolitan,50,AssocDegAcadem,42,White,450
Northeast,Not Metropolitan,35,AssocDegOccupVocat,41,White,992.7
South,Metropolitan,28,TwelthButNoDiploma,38,White,250
West,Metropolitan,55,HighSchoolDiploma,39,White,400
Northeast,Metropolitan,33,BachelorsDegree,43,White,1200
Midwest,Not Metropolitan,41,BachelorsDegree,43,White,1057
Midwest,Not Metropolitan,67,HighSchoolDiploma,39,White,2307
South,Metropolitan,31,HighSchoolDiploma,39,White,1480
West,Metropolitan,60,SomeCollegeButNoDegree,40,White,760
Midwest,Metropolitan,40,BachelorsDegree,43,White,2884.61
Midwest,Not Metropolitan,50,AssocDegAcadem,42,White,1057
South,Metropolitan,54,MastersDegree,44,White,1538.46
Northeast,Metropolitan,56,TwelthButNoDiploma,38,White,933
Midwest,Metropolitan,21,HighSchoolDiploma,39,White,400
West,Not Metropolitan,44,ProfSchoolDegree,45,White,2096.15
West,Metropolitan,56,HighSchoolDiploma,39,White,678
South,Metropolitan,35,BachelorsDegree,43,White,961.53
Midwest,Metropolitan,41,HighSchoolDiploma,39,White,400
Northeast,Metropolitan,59,BachelorsDegree,43,White,1700
South,Metropolitan,35,SomeCollegeButNoDegree,40,White,800
West,Not Metropolitan,53,EleventhGrade,37,White,440
Midwest,Metropolitan,46,SomeCollegeButNoDegree,40,White,1068.75
Midwest,Metropolitan,44,HighSchoolDiploma,39,White,700
Midwest,Metropolitan,52,SomeCollegeButNoDegree,40,White,1000
Midwest,Metropolitan,53,AssocDegOccupVocat,41,White,1500
Northeast,Metropolitan,45,BachelorsDegree,43,White,2884.61
Midwest,Not Metropolitan,57,HighSchoolDiploma,39,White,420
Midwest,Metropolitan,28,HighSchoolDiploma,39,Black,310
West,Metropolitan,53,HighSchoolDiploma,39,White,1154
West,Metropolitan,40,SomeCollegeButNoDegree,40,White,640
West,Metropolitan,30,BachelorsDegree,43,White,1442
Midwest,Not Metropolitan,22,TwelthButNoDiploma,38,White,420
Midwest,Metropolitan,68,HighSchoolDiploma,39,White,324
Midwest,Metropolitan,53,MastersDegree,44,White,2884.61
South,Metropolitan,33,TenthGrade,36,Black,600
South,Metropolitan,27,SomeCollegeButNoDegree,40,White,500
South,Metropolitan,45,HighSchoolDiploma,39,White,1340
South,Metropolitan,54,AssocDegOccupVocat,41,Black,500
South,Metropolitan,57,SomeCollegeButNoDegree,40,White,884.61
West,Metropolitan,28,MastersDegree,44,White,2038.46
Midwest,Not Metropolitan,46,AssocDegAcadem,42,White,1360
South,Metropolitan,45,SomeCollegeButNoDegree,40,White,750
Midwest,Not Metropolitan,34,AssocDegAcadem,42,White,1338.46
West,Metropolitan,34,TenthGrade,36,White,360
Midwest,Not Metropolitan,43,HighSchoolDiploma,39,White,480
Northeast,Not Metropolitan,41,NinthGrade,35,White,807.69
South,Metropolitan,53,BachelorsDegree,43,Black,1615.38
Northeast,Metropolitan,31,HighSchoolDiploma,39,White,400
Northeast,Metropolitan,56,BachelorsDegree,43,White,1640
Northeast,Not Metropolitan,55,MastersDegree,44,White,826.92
West,Metropolitan,40,MastersDegree,44,White,1538
Midwest,Not Metropolitan,61,SomeCollegeButNoDegree,40,White,400
Northeast,Metropolitan,50,TenthGrade,36,Black,1346.15
South,Not Metropolitan,34,HighSchoolDiploma,39,White,576.92
Northeast,Metropolitan,48,MastersDegree,44,White,1846
Northeast,Metropolitan,69,HighSchoolDiploma,39,White,487.6
Northeast,Metropolitan,45,BachelorsDegree,43,White,820
Northeast,Metropolitan,55,BachelorsDegree,43,White,1538
Northeast,Metropolitan,29,BachelorsDegree,43,White,461
South,Metropolitan,33,HighSchoolDiploma,39,White,440
South,Metropolitan,57,SeventhOrEighthGrade,34,Black,940
Midwest,Metropolitan,39,HighSchoolDiploma,39,White,1153.84
Midwest,Not Metropolitan,48,HighSchoolDiploma,39,White,1153
South,Metropolitan,34,HighSchoolDiploma,39,White,555.2
South,Metropolitan,32,MastersDegree,44,White,1153.84
South,Metropolitan,24,BachelorsDegree,43,White,961.53
West,Metropolitan,30,BachelorsDegree,43,White,1250
South,Metropolitan,40,BachelorsDegree,43,White,1538
Northeast,Metropolitan,59,HighSchoolDiploma,39,White,504
South,Metropolitan,27,HighSchoolDiploma,39,Black,313.5
South,Metropolitan,37,AssocDegOccupVocat,41,Black,615.38
South,Metropolitan,60,AssocDegOccupVocat,41,White,1500
West,Metropolitan,36,SomeCollegeButNoDegree,40,White,940
South,Metropolitan,44,HighSchoolDiploma,39,White,538.46
West,Not Metropolitan,41,HighSchoolDiploma,39,White,780.44
West,Metropolitan,25,HighSchoolDiploma,39,White,437
South,Not Metropolitan,50,SomeCollegeButNoDegree,40,White,673.07
West,Metropolitan,35,BachelorsDegree,43,White,1153.84
Northeast,Metropolitan,45,SomeCollegeButNoDegree,40,White,841
Northeast,Metropolitan,56,ProfSchoolDegree,45,White,2884.61
Northeast,Metropolitan,51,BachelorsDegree,43,White,2884.61
Northeast,Metropolitan,46,HighSchoolDiploma,39,White,807.69
Northeast,Metropolitan,41,HighSchoolDiploma,39,White,395.2
South,Metropolitan,26,AssocDegAcadem,42,Black,560
Midwest,Metropolitan,41,FifthorSixthGrade,33,White,740
South,Metropolitan,63,BachelorsDegree,43,White,2884.61
West,Metropolitan,51,HighSchoolDiploma,39,White,980.76
Midwest,Metropolitan,48,HighSchoolDiploma,39,White,1115.38
Midwest,Metropolitan,45,BachelorsDegree,43,White,1500
West,Not Metropolitan,56,SomeCollegeButNoDegree,40,White,2884.61
Northeast,Metropolitan,27,HighSchoolDiploma,39,White,750
West,Metropolitan,45,HighSchoolDiploma,39,White,850
Northeast,Metropolitan,39,HighSchoolDiploma,39,White,1200
Northeast,Metropolitan,52,BachelorsDegree,43,White,1057
Northeast,Metropolitan,55,AssocDegOccupVocat,41,White,1000
South,Metropolitan,44,BachelorsDegree,43,White,1442.3
Midwest,Metropolitan,28,HighSchoolDiploma,39,White,385
Midwest,Metropolitan,46,ProfSchoolDegree,45,White,2576.92
West,Metropolitan,52,AssocDegOccupVocat,41,White,1173.07
Midwest,Metropolitan,55,MastersDegree,44,White,1384.61
Midwest,Metropolitan,46,BachelorsDegree,43,White,2500
South,Metropolitan,49,HighSchoolDiploma,39,Black,840
Northeast,Metropolitan,49,HighSchoolDiploma,39,White,680
Midwest,Metropolitan,64,MastersDegree,44,White,556
South,Metropolitan,39,HighSchoolDiploma,39,White,480
West,Not Metropolitan,55,BachelorsDegree,43,White,700
Midwest,Metropolitan,40,BachelorsDegree,43,White,1153.84
South,Metropolitan,30,HighSchoolDiploma,39,White,461.53
Midwest,Metropolitan,39,HighSchoolDiploma,39,White,340
Midwest,Metropolitan,33,SomeCollegeButNoDegree,40,White,828.5
South,Metropolitan,37,HighSchoolDiploma,39,White,429.25
West,Metropolitan,27,AssocDegAcadem,42,White,360
West,Metropolitan,40,FifthorSixthGrade,33,White,780
South,Not Metropolitan,49,HighSchoolDiploma,39,White,538.46
Northeast,Metropolitan,54,MastersDegree,44,White,1153.84
West,Metropolitan,26,HighSchoolDiploma,39,White,814.15
South,Metropolitan,58,AssocDegAcadem,42,White,1230
South,Not Metropolitan,33,HighSchoolDiploma,39,White,673.07
Midwest,Metropolitan,32,HighSchoolDiploma,39,White,735.52
Midwest,Metropolitan,43,BachelorsDegree,43,White,1153.84
West,Metropolitan,23,BachelorsDegree,43,Black,2884.61
Northeast,Not Metropolitan,50,DoctorateDegree,46,White,2884.61
Northeast,Metropolitan,55,DoctorateDegree,46,White,2884.61
West,Not Metropolitan,31,HighSchoolDiploma,39,White,855
West,Metropolitan,24,AssocDegAcadem,42,White,480
South,Metropolitan,32,HighSchoolDiploma,39,White,1100
South,Metropolitan,43,HighSchoolDiploma,39,White,2403.84
South,Not Metropolitan,34,HighSchoolDiploma,39,White,1300
South,Metropolitan,34,SomeCollegeButNoDegree,40,Black,865.38
Midwest,Not Metropolitan,55,BachelorsDegree,43,White,1442
West,Metropolitan,32,DoctorateDegree,46,White,2115.38
Midwest,Not Metropolitan,77,MastersDegree,44,White,716
South,Metropolitan,31,MastersDegree,44,White,865.38
Northeast,Metropolitan,24,HighSchoolDiploma,39,White,800
Midwest,Metropolitan,26,HighSchoolDiploma,39,White,420
Midwest,Metropolitan,28,SomeCollegeButNoDegree,40,White,1300
South,Metropolitan,49,BachelorsDegree,43,Black,865.38
Midwest,Metropolitan,22,AssocDegAcadem,42,White,673.07
South,Metropolitan,28,DoctorateDegree,46,White,1192.3
Northeast,Metropolitan,52,BachelorsDegree,43,Black,1307.69
Northeast,Metropolitan,55,NinthGrade,35,Black,576.92
Northeast,Not Metropolitan,29,AssocDegAcadem,42,White,990
Northeast,Not Metropolitan,34,SomeCollegeButNoDegree,40,White,250
South,Metropolitan,39,HighSchoolDiploma,39,Black,519.23
West,Metropolitan,55,SeventhOrEighthGrade,34,White,1200
West,Metropolitan,21,HighSchoolDiploma,39,White,730.76
Midwest,Metropolitan,38,BachelorsDegree,43,White,1500
Midwest,Metropolitan,32,SeventhOrEighthGrade,34,White,1007
West,Metropolitan,46,SomeCollegeButNoDegree,40,White,950
South,Metropolitan,48,SomeCollegeButNoDegree,40,White,2307.69
Midwest,Metropolitan,43,BachelorsDegree,43,White,961.53
South,Metropolitan,25,FifthorSixthGrade,33,White,360
South,Metropolitan,52,BachelorsDegree,43,White,961.53
Midwest,Metropolitan,55,BachelorsDegree,43,White,540
Midwest,Metropolitan,50,BachelorsDegree,43,White,807
South,Metropolitan,60,MastersDegree,44,White,942.3
West,Not Metropolitan,55,SomeCollegeButNoDegree,40,White,850
Midwest,Metropolitan,34,HighSchoolDiploma,39,White,810
Northeast,Not Metropolitan,57,MastersDegree,44,White,1250
West,Metropolitan,26,BachelorsDegree,43,White,646.15
West,Metropolitan,62,SomeCollegeButNoDegree,40,White,1057.69
Northeast,Metropolitan,41,HighSchoolDiploma,39,White,680
Midwest,Not Metropolitan,55,AssocDegAcadem,42,White,555
South,Not Metropolitan,35,AssocDegOccupVocat,41,White,1427.75
West,Not Metropolitan,23,TenthGrade,36,White,325
Northeast,Metropolitan,35,HighSchoolDiploma,39,White,340
South,Metropolitan,66,SomeCollegeButNoDegree,40,White,480
Midwest,Not Metropolitan,27,AssocDegAcadem,42,White,548
Midwest,Not Metropolitan,35,HighSchoolDiploma,39,White,1265.6
Midwest,Metropolitan,49,HighSchoolDiploma,39,White,575
South,Metropolitan,29,SeventhOrEighthGrade,34,White,250
South,Metropolitan,40,HighSchoolDiploma,39,White,500
South,Metropolitan,47,BachelorsDegree,43,White,675
West,Metropolitan,51,DoctorateDegree,46,White,1538
South,Metropolitan,25,AssocDegOccupVocat,41,White,800
South,Not Metropolitan,57,MastersDegree,44,White,615.38
West,Metropolitan,37,AssocDegAcadem,42,White,1538.46
Midwest,Metropolitan,27,HighSchoolDiploma,39,White,500
West,Metropolitan,26,FifthorSixthGrade,33,White,320
Midwest,Metropolitan,56,BachelorsDegree,43,White,1538
West,Not Metropolitan,27,AssocDegOccupVocat,41,White,400
Midwest,Metropolitan,26,HighSchoolDiploma,39,White,1000
South,Metropolitan,24,BachelorsDegree,43,White,1365.38
Midwest,Metropolitan,61,BachelorsDegree,43,Black,1224
Midwest,Metropolitan,25,BachelorsDegree,43,White,576
Midwest,Metropolitan,49,HighSchoolDiploma,39,White,461.53
Midwest,Metropolitan,47,HighSchoolDiploma,39,Black,1212.4
South,Metropolitan,24,BachelorsDegree,43,White,538.46
Midwest,Metropolitan,23,SomeCollegeButNoDegree,40,White,738
South,Metropolitan,46,HighSchoolDiploma,39,White,900
Midwest,Metropolitan,52,BachelorsDegree,43,White,2038
West,Metropolitan,30,BachelorsDegree,43,White,480
South,Metropolitan,59,ProfSchoolDegree,45,White,1980
West,Metropolitan,39,SomeCollegeButNoDegree,40,White,324
Northeast,Metropolitan,36,ProfSchoolDegree,45,White,2884.61
South,Not Metropolitan,55,SeventhOrEighthGrade,34,White,450
West,Metropolitan,32,HighSchoolDiploma,39,White,350
Midwest,Not Metropolitan,78,HighSchoolDiploma,39,White,480
Midwest,Metropolitan,20,SomeCollegeButNoDegree,40,White,320
West,Metropolitan,48,ProfSchoolDegree,45,White,1538
West,Metropolitan,48,BachelorsDegree,43,White,2500
Midwest,Not Metropolitan,43,EleventhGrade,37,White,440
South,Metropolitan,50,AssocDegAcadem,42,White,1634.61
Midwest,Not Metropolitan,60,HighSchoolDiploma,39,White,1725
South,Metropolitan,51,BachelorsDegree,43,White,800
West,Metropolitan,50,DoctorateDegree,46,White,1964
Midwest,Metropolitan,58,SomeCollegeButNoDegree,40,Black,480
South,Metropolitan,44,SomeCollegeButNoDegree,40,White,880
Northeast,Metropolitan,56,SomeCollegeButNoDegree,40,White,2692.3
South,Metropolitan,46,MastersDegree,44,White,2692.3
South,Metropolitan,57,HighSchoolDiploma,39,White,692.3
Midwest,Metropolitan,28,BachelorsDegree,43,White,987.75
South,Metropolitan,22,BachelorsDegree,43,White,400
Northeast,Metropolitan,25,SomeCollegeButNoDegree,40,White,1480.76
Midwest,Metropolitan,34,HighSchoolDiploma,39,White,880
West,Metropolitan,45,BachelorsDegree,43,Black,1350
Midwest,Metropolitan,66,DoctorateDegree,46,White,1153
West,Not Identified,42,SomeCollegeButNoDegree,40,White,1923
Midwest,Not Metropolitan,46,BachelorsDegree,43,White,615.38
West,Metropolitan,49,HighSchoolDiploma,39,Black,320
Midwest,Metropolitan,44,HighSchoolDiploma,39,White,480
West,Metropolitan,28,HighSchoolDiploma,39,White,504.8
Midwest,Metropolitan,38,BachelorsDegree,43,White,769.23
Midwest,Not Metropolitan,55,SomeCollegeButNoDegree,40,White,732
Midwest,Not Metropolitan,52,EleventhGrade,37,White,640
South,Metropolitan,36,HighSchoolDiploma,39,White,600
South,Metropolitan,21,SomeCollegeButNoDegree,40,Black,384.61
South,Metropolitan,20,HighSchoolDiploma,39,White,320
South,Metropolitan,25,BachelorsDegree,43,White,1538
West,Metropolitan,38,HighSchoolDiploma,39,White,770.8
Midwest,Metropolitan,32,HighSchoolDiploma,39,White,686.8
South,Metropolitan,21,SomeCollegeButNoDegree,40,White,320
West,Metropolitan,54,HighSchoolDiploma,39,White,812.5
Northeast,Not Metropolitan,54,HighSchoolDiploma,39,White,1807.69
Midwest,Not Metropolitan,54,HighSchoolDiploma,39,White,576.92
West,Metropolitan,43,AssocDegAcadem,42,White,2215.38
West,Metropolitan,29,HighSchoolDiploma,39,White,650
Midwest,Metropolitan,56,SomeCollegeButNoDegree,40,White,1403
Northeast,Metropolitan,42,BachelorsDegree,43,White,1442.3
South,Metropolitan,28,HighSchoolDiploma,39,White,736
Midwest,Metropolitan,45,HighSchoolDiploma,39,White,1647
South,Metropolitan,28,NinthGrade,35,White,350
Northeast,Metropolitan,28,HighSchoolDiploma,39,White,700
South,Metropolitan,45,MastersDegree,44,White,2403.84
South,Not Metropolitan,45,HighSchoolDiploma,39,Black,350
Midwest,Metropolitan,25,BachelorsDegree,43,White,980.76
West,Metropolitan,25,SomeCollegeButNoDegree,40,White,400
Midwest,Not Metropolitan,44,AssocDegOccupVocat,41,White,1615.38
Northeast,Not Metropolitan,47,HighSchoolDiploma,39,White,400
South,Metropolitan,25,BachelorsDegree,43,White,692.3
Northeast,Metropolitan,48,HighSchoolDiploma,39,White,1057
