Gender,Arith,Word,Parag,Math,AFQT
female,19,27,14,17,72.4
female,11,27,9,7,18.9
male,30,29,13,24,72.3
female,24,30,14,23,88.3
male,25,33,14,18,80.9
male,10,18,6,2,12.8
female,14,27,11,11,36.7
female,21,23,12,13,46.1
male,11,27,1,4,13.7
female,15,27,12,9,29.3
female,6,14,6,9,13.0
female,26,34,12,20,77.6
male,10,10,4,5,4.0
female,8,11,6,7,8.0
female,15,25,13,13,49.7
male,13,26,9,11,41.5
female,0,0,0,0,0.0
female,21,31,9,18,65.4
male,7,26,5,8,21.0
female,12,31,9,12,49.7
female,12,29,11,16,56.3
female,16,31,14,12,67.3
female,12,21,7,8,20.1
female,5,7,2,6,0.8
female,14,16,12,10,32.9
female,21,24,15,15,59.0
male,10,6,3,3,3.7
female,8,15,9,5,8.6
female,24,35,14,19,85.9
female,21,19,10,13,45.1
male,7,30,12,5,31.0
female,12,20,6,7,19.9
female,11,29,10,10,41.2
female,16,25,5,13,39.7
female,11,32,14,8,54.5
female,6,14,4,12,13.3
female,9,21,10,5,11.8
female,13,31,11,15,49.4
female,30,33,15,23,93.3
female,11,25,10,7,31.0
female,25,28,14,18,60.3
female,17,30,11,8,36.6
female,18,30,12,12,55.9
female,17,26,15,14,69.5
female,11,24,13,7,38.5
male,16,25,12,10,38.3
female,28,32,10,21,76.7
female,8,7,3,6,2.3
female,9,25,13,5,24.7
female,28,33,14,19,86.6
female,13,14,10,10,31.4
male,12,26,13,8,43.4
male,11,12,5,9,12.4
female,23,34,12,15,66.0
male,9,12,9,5,8.5
female,8,18,8,3,9.1
male,7,15,9,6,10.3
male,21,29,11,11,59.5
male,4,21,8,4,10.6
female,14,25,13,11,34.6
male,10,17,8,8,13.8
male,16,31,12,13,62.6
female,20,27,14,18,62.7
male,15,32,6,7,32.9
female,30,29,12,25,85.9
male,30,35,14,24,99.2
male,24,29,13,21,79.3
female,9,10,5,8,8.7
female,14,17,9,7,27.2
male,30,32,15,25,95.9
female,10,10,7,5,9.6
female,14,23,6,7,19.7
female,14,25,9,8,30.4
female,14,20,9,10,28.0
female,29,35,13,22,87.7
female,19,26,9,20,59.7
male,17,25,9,11,32.2
female,13,26,13,9,39.2
female,28,33,13,22,93.7
female,10,24,13,7,26.4
female,16,26,14,6,53.7
female,18,34,13,9,60.7
female,18,33,14,19,74.5
male,12,29,6,9,22.0
female,14,18,5,5,17.5
female,16,29,13,5,34.4
female,8,22,8,8,20.1
male,15,23,10,15,46.9
male,17,25,9,7,24.6
female,20,35,15,18,79.2
female,8,15,4,6,4.0
female,4,19,6,9,9.8
female,8,13,9,8,14.7
female,27,34,14,24,96.2
female,28,34,14,22,91.9
female,6,16,8,9,18.3
female,29,25,15,24,87.0
female,30,33,13,21,84.3
female,11,28,11,12,47.1
female,14,31,13,16,60.4
male,19,29,9,11,38.3
female,21,34,14,18,81.3
female,11,17,6,8,14.3
male,7,12,4,9,9.1
female,11,23,12,8,34.9
female,9,21,10,7,13.7
female,23,33,13,18,65.8
female,28,33,13,23,86.3
female,10,22,10,8,27.6
female,21,32,13,13,57.3
female,17,29,13,15,57.5
female,7,18,5,4,4.2
female,6,16,3,7,6.1
female,24,26,13,20,73.0
female,16,33,13,11,58.1
female,12,21,11,7,24.8
female,19,25,14,9,45.7
female,25,34,14,10,75.3
female,12,15,7,7,14.2
male,8,22,6,11,23.0
female,15,28,11,8,30.8
male,7,31,13,7,27.7
female,10,23,10,9,22.5
female,12,33,14,12,62.2
female,29,33,14,24,91.0
female,29,30,12,25,85.8
female,9,18,7,7,8.2
male,15,22,14,12,48.8
male,15,30,10,8,33.0
male,7,7,2,6,1.0
female,12,19,10,6,15.0
female,10,13,11,8,20.7
female,29,32,14,24,98.2
female,27,21,12,10,60.2
female,25,34,13,22,78.7
female,29,34,14,20,91.4
female,15,25,12,6,35.1
male,21,34,14,19,75.4
female,17,24,10,13,37.2
female,9,27,12,7,26.6
male,10,14,0,2,5.5
female,28,35,15,18,92.5
female,29,35,15,24,99.5
female,24,32,12,14,50.9
female,20,28,11,17,65.4
female,5,11,5,5,3.0
female,9,11,8,10,17.0
female,16,20,8,9,23.5
male,7,19,6,5,11.0
female,15,24,12,14,53.9
female,6,17,9,7,13.3
female,29,35,13,18,87.1
female,23,32,14,13,83.9
female,9,7,6,7,5.3
female,10,29,12,14,45.4
female,5,11,2,6,1.8
male,11,28,12,6,42.4
female,25,33,13,18,79.7
female,10,20,9,4,9.1
male,11,20,8,10,29.2
female,9,8,10,5,8.8
female,18,31,13,10,62.9
female,4,17,5,5,3.2
male,12,25,6,15,54.6
female,6,16,5,5,5.7
male,15,21,13,12,42.7
female,8,17,12,6,18.6
female,14,21,13,9,41.4
male,30,34,13,25,93.4
female,14,22,11,17,48.5
female,14,19,9,8,21.1
female,14,19,9,4,44.3
female,24,32,13,19,80.0
female,11,19,4,3,12.6
male,19,25,6,15,36.0
female,20,24,12,15,60.8
female,16,34,13,10,63.8
male,6,10,4,5,1.7
female,11,12,3,7,6.2
female,4,7,5,9,7.2
male,11,13,2,5,5.0
male,26,30,12,16,56.3
female,25,27,14,24,85.4
female,19,30,13,9,47.6
male,15,25,6,4,26.0
female,17,33,13,9,55.7
female,7,8,5,3,1.9
female,0,0,0,0,0.0
female,8,15,11,5,18.7
male,10,32,12,5,50.2
female,12,28,13,6,34.2
male,18,31,14,14,71.7
female,14,28,13,14,62.5
female,8,17,10,4,13.2
female,19,24,11,16,55.3
female,14,21,11,10,37.7
female,22,30,13,13,56.0
female,12,34,13,11,60.5
female,16,31,13,14,48.7
female,15,24,8,9,41.5
female,7,11,3,6,2.1
female,25,35,14,21,85.3
female,18,24,12,9,39.4
male,24,32,15,13,85.9
female,7,22,11,4,12.0
female,13,32,14,15,64.2
female,22,31,12,15,72.1
female,14,23,14,9,42.4
female,30,34,14,25,98.8
female,15,26,14,18,58.4
male,14,25,13,10,55.5
male,13,33,12,15,59.1
female,8,8,2,5,1.6
female,11,24,11,6,19.3
female,29,33,12,19,80.8
male,24,25,12,13,60.9
male,26,32,13,20,87.5
female,10,22,7,8,20.5
male,7,16,1,7,5.0
female,11,15,9,9,21.9
female,14,14,10,12,35.1
male,20,29,13,14,57.5
female,27,31,13,24,86.0
male,9,22,12,12,36.4
female,11,31,10,6,29.4
female,19,25,11,16,45.5
female,8,14,8,9,11.3
female,20,35,14,17,86.5
female,20,23,14,12,53.1
female,7,13,10,8,20.1
female,17,31,11,22,60.4
male,14,23,9,12,35.3
female,17,29,11,9,46.7
female,15,30,11,18,63.0
male,30,32,13,22,83.8
female,24,34,15,19,83.3
male,11,15,8,8,13.2
male,25,29,7,17,45.7
female,25,33,14,23,86.5
male,8,28,11,2,17.8
female,22,33,12,14,62.9
male,29,34,15,23,97.9
male,9,15,4,9,14.1
female,22,33,15,17,77.7
female,4,11,7,7,9.3
male,12,31,12,6,44.0
female,27,35,14,24,92.3
male,10,25,9,9,27.1
female,27,32,11,18,75.9
female,15,28,12,8,37.6
female,15,29,13,18,69.2
female,22,26,13,16,64.7
male,29,35,13,23,86.6
male,10,20,7,7,18.2
female,14,21,11,9,41.0
female,22,30,14,16,63.6
female,9,28,11,6,19.5
male,7,9,5,5,3.7
female,20,26,14,18,54.3
male,9,20,4,2,8.1
male,26,35,13,21,85.7
female,15,32,10,12,45.8
female,16,27,15,13,47.4
male,10,21,10,7,22.8
female,12,25,14,6,31.9
female,15,26,11,10,41.9
female,18,28,9,12,30.6
female,23,33,11,11,56.9
female,20,34,13,19,81.9
female,11,23,10,5,18.2
male,10,31,10,12,32.8
male,17,28,10,12,45.7
female,19,29,14,16,68.6
female,14,26,12,7,33.4
male,18,18,4,5,18.7
female,14,24,14,15,63.7
female,17,21,10,9,35.7
female,11,33,10,5,28.0
female,14,34,13,9,52.2
female,14,18,9,5,16.9
male,10,28,13,13,42.9
female,16,29,12,8,51.1
female,3,4,4,4,0.9
female,15,20,9,11,34.1
female,10,30,10,6,28.8
female,27,33,13,24,93.7
female,12,35,13,11,63.8
male,9,5,5,8,12.5
female,11,16,6,9,17.1
female,12,14,9,9,26.4
female,15,27,12,14,31.4
female,10,24,9,7,14.2
female,6,15,11,7,13.0
male,26,30,12,17,60.0
female,17,33,12,19,76.1
female,12,9,8,7,16.6
female,17,22,12,9,42.0
female,16,23,13,17,47.1
female,11,34,13,6,43.4
female,7,8,6,7,4.9
female,10,32,13,13,63.2
female,6,31,13,11,45.1
male,25,28,12,23,59.1
female,15,14,15,18,57.5
male,13,10,7,7,11.4
female,14,31,12,10,49.7
male,12,20,10,11,22.4
female,14,31,13,6,41.1
female,10,25,10,13,29.1
female,12,11,3,4,6.1
male,7,13,9,4,13.3
female,10,24,12,5,23.0
male,12,7,8,1,9.3
female,15,24,4,6,25.7
female,20,30,13,11,56.2
female,7,26,13,4,19.5
female,14,27,14,8,42.7
female,30,32,15,25,94.3
female,22,34,14,18,79.1
female,7,24,6,10,21.7
female,15,17,6,10,29.7
female,14,18,10,14,34.9
male,9,15,6,8,13.3
male,7,16,1,4,1.6
male,30,34,15,24,98.7
male,6,20,7,5,9.6
male,7,6,3,9,4.9
female,22,23,8,23,63.7
female,7,25,13,7,26.9
female,29,35,14,21,93.2
male,4,7,6,7,4.1
male,11,8,5,12,34.3
female,17,26,11,6,25.8
male,18,23,10,19,53.0
female,10,24,12,11,32.8
female,13,23,13,13,43.1
female,14,35,12,13,63.2
male,24,29,15,19,85.7
male,8,22,1,4,7.4
female,16,28,11,6,41.8
male,14,27,8,11,47.4
female,9,11,7,6,11.1
male,7,11,6,5,1.7
female,9,29,11,9,25.8
male,18,19,9,4,21.1
female,12,31,14,12,49.9
female,8,10,5,7,6.0
female,24,29,13,18,70.6
male,22,30,14,9,72.2
female,10,10,2,5,4.6
female,27,31,12,21,82.6
female,8,7,5,7,6.8
female,22,27,13,18,61.7
female,23,31,11,10,48.8
female,8,22,10,12,25.2
female,28,34,15,24,97.1
female,13,29,8,6,25.3
female,23,32,13,16,77.0
female,28,33,12,22,78.6
female,14,23,6,2,22.4
female,11,21,9,4,24.5
male,15,23,3,10,34.7
female,28,35,13,22,89.9
female,28,33,15,24,95.5
female,14,13,4,7,13.8
male,11,23,10,6,33.2
male,13,12,5,5,8.6
male,14,19,5,9,26.7
female,16,34,15,21,78.5
female,10,12,7,7,11.9
male,12,22,10,11,39.0
female,15,24,9,13,36.9
male,27,33,13,23,82.2
female,8,22,9,14,34.9
male,13,29,11,12,51.0
male,18,28,14,10,45.2
female,13,27,9,5,22.0
male,15,22,10,7,36.5
female,20,31,15,10,61.4
male,19,31,13,13,72.8
male,9,16,4,3,6.9
female,7,11,3,9,9.4
female,23,33,13,10,62.3
female,5,14,9,14,38.3
male,7,10,5,6,4.1
female,7,23,5,9,17.9
female,15,33,12,19,52.5
male,10,16,6,13,21.3
female,9,14,7,11,20.3
female,21,21,10,11,44.8
female,11,17,4,11,16.4
male,27,34,14,24,93.6
male,28,35,13,18,91.2
female,18,22,13,11,43.4
female,10,24,11,9,30.6
male,14,29,14,19,67.0
male,21,28,10,16,45.2
male,17,30,9,9,39.2
female,17,32,14,13,51.4
female,15,29,9,8,44.9
female,6,19,6,10,15.9
male,26,30,11,22,73.8
female,26,32,15,10,75.3
female,28,30,13,23,72.4
female,14,25,7,13,28.6
male,27,34,10,21,75.7
female,11,17,10,8,21.0
female,7,18,8,7,11.3
male,10,7,5,7,8.3
male,22,34,13,17,86.8
female,6,18,0,0,1.4
male,15,22,4,4,16.5
male,7,21,10,10,23.2
female,21,31,14,22,70.0
female,18,26,12,12,37.1
female,8,18,8,8,11.8
female,8,23,9,8,22.7
female,19,29,12,6,45.6
female,10,29,12,15,42.8
female,18,32,11,19,73.4
female,12,18,11,8,31.8
male,10,11,9,7,10.4
male,9,17,6,7,16.6
female,11,7,3,5,12.6
male,7,12,2,5,1.1
female,25,35,12,12,64.8
male,27,28,9,20,70.6
male,28,33,13,18,82.0
female,9,14,6,6,10.7
female,10,22,13,12,40.3
female,19,31,12,19,78.1
female,9,28,10,12,31.3
male,12,24,7,4,19.2
female,17,22,14,12,53.6
male,4,11,7,3,1.6
female,19,16,13,12,52.9
male,24,30,13,14,75.0
female,11,25,14,9,52.6
male,16,24,12,12,58.2
female,19,29,15,17,71.5
female,25,35,13,19,81.0
female,20,28,12,20,70.5
female,13,21,5,9,24.7
female,12,32,11,11,51.0
female,9,7,5,6,4.1
female,8,15,7,7,10.3
female,13,31,14,11,60.8
male,19,30,13,21,69.7
male,10,20,5,5,16.8
male,15,34,11,19,63.2
female,26,33,14,21,85.9
male,27,29,14,13,73.9
male,13,14,7,8,19.5
male,8,21,7,3,7.2
female,11,28,10,7,30.4
female,16,25,12,8,32.8
female,17,25,11,17,65.3
male,12,15,9,7,16.1
male,7,20,4,6,9.2
female,24,35,14,19,87.2
female,5,14,6,3,1.8
female,11,23,10,14,38.2
male,9,14,6,6,11.9
male,15,32,12,11,58.6
male,27,33,10,19,68.3
female,27,35,15,20,93.7
female,12,26,9,9,34.1
female,18,26,13,7,38.6
male,11,17,5,8,22.1
male,6,7,5,8,7.1
female,22,29,13,19,74.7
male,13,19,6,5,21.7
female,18,14,7,11,31.7
male,23,32,13,17,72.0
female,8,24,11,10,39.4
male,22,28,14,15,65.5
female,11,29,13,8,42.2
female,7,10,9,8,10.8
female,14,22,12,14,39.1
female,11,15,10,7,14.7
female,17,24,6,9,26.9
male,11,23,8,10,25.3
female,12,29,11,10,43.5
male,11,11,4,7,10.4
female,14,23,15,15,56.8
female,13,27,12,7,41.6
male,19,21,13,7,34.2
female,12,10,6,7,12.7
male,16,20,7,10,34.1
female,12,27,12,7,35.9
female,20,28,13,15,69.9
male,24,32,13,20,78.9
female,22,21,11,19,40.0
male,7,4,3,6,2.4
female,19,32,13,16,68.1
male,25,34,11,23,73.7
female,15,28,10,18,53.7
male,14,23,9,8,32.6
female,19,35,13,11,73.8
male,27,27,12,17,57.5
female,7,21,7,6,8.7
male,27,25,13,20,66.5
male,5,9,4,8,6.3
female,10,21,12,10,30.1
female,24,19,12,20,63.7
female,29,32,13,21,71.1
female,21,29,12,16,57.8
female,18,29,13,12,45.1
female,19,25,11,21,64.1
female,6,17,11,8,15.6
male,13,33,13,9,51.1
male,14,24,9,9,29.1
male,26,30,11,14,68.4
female,24,35,13,22,81.4
female,20,31,12,14,43.4
female,20,17,11,8,30.5
female,26,32,13,20,87.4
female,10,16,5,6,27.2
female,10,29,14,9,41.5
male,10,31,13,8,37.9
female,28,32,14,22,88.4
male,10,23,9,7,21.4
male,6,12,6,9,12.3
female,10,28,13,9,28.1
female,19,29,14,21,82.2
female,8,11,5,10,10.5
female,7,19,6,6,6.9
female,19,33,13,15,74.2
male,15,32,13,10,54.6
male,14,21,10,7,31.8
male,24,29,13,16,66.4
male,17,22,11,11,36.4
female,21,28,8,14,45.1
male,22,27,13,16,46.7
female,6,15,7,8,10.2
female,20,34,12,11,59.9
male,27,34,14,23,97.1
female,13,30,12,8,37.3
male,8,20,7,6,16.9
female,12,16,7,1,10.6
female,10,15,7,5,14.2
female,11,21,12,6,28.0
female,23,33,14,19,83.2
male,23,34,11,13,61.3
male,27,30,12,25,84.4
female,13,18,11,8,17.5
female,13,17,4,11,24.3
female,12,28,13,13,48.8
male,29,34,12,24,81.9
female,20,31,14,13,63.8
female,29,34,14,23,92.5
female,29,30,13,23,81.9
male,8,18,7,4,12.4
female,28,34,14,19,92.9
female,20,35,15,10,79.0
female,10,21,9,11,25.7
male,9,8,5,8,9.1
female,12,24,11,6,26.8
female,15,34,13,8,55.6
female,10,19,10,8,25.3
female,26,32,13,19,83.7
female,22,30,11,9,41.4
male,25,29,15,24,91.2
male,7,9,4,7,4.9
male,20,27,13,12,39.2
female,11,20,10,11,20.3
male,14,27,9,8,27.9
female,8,15,10,9,14.5
female,7,17,7,9,19.6
male,28,35,15,15,90.5
female,7,16,8,5,7.2
female,21,22,12,11,42.8
female,29,34,14,25,97.1
female,12,30,10,16,49.4
female,8,16,9,7,10.3
female,16,26,13,15,52.2
female,10,29,14,14,60.0
female,19,30,14,14,70.2
female,16,32,14,16,78.1
male,15,20,10,4,23.7
female,15,32,12,10,49.8
male,18,29,13,18,69.5
male,12,23,9,10,30.2
male,29,32,13,24,76.8
male,30,32,13,18,82.0
male,20,31,13,13,57.7
male,12,17,5,7,13.4
female,8,14,3,9,8.1
male,10,23,6,8,24.3
female,7,17,7,7,10.2
male,15,25,10,11,58.9
female,24,33,13,23,87.5
female,15,33,11,18,56.1
male,15,14,7,9,18.0
female,7,26,7,9,27.6
male,28,25,12,16,62.6
female,24,33,12,13,64.9
male,30,30,13,25,91.4
male,23,28,9,18,68.1
female,15,32,12,13,57.9
male,22,34,15,13,79.9
female,11,23,9,11,28.6
female,17,22,12,13,42.4
female,13,22,9,4,21.4
female,4,18,10,8,22.2
female,18,23,10,10,35.8
female,4,9,3,6,1.3
female,15,22,13,7,49.2
female,13,22,12,10,34.1
female,18,34,13,19,79.0
female,19,26,12,16,69.4
female,12,19,8,8,23.9
female,21,19,15,20,77.2
male,20,27,14,20,70.5
female,18,31,14,16,75.7
female,24,31,15,20,83.4
male,11,12,4,8,15.3
male,30,35,15,25,99.5
male,26,25,11,19,82.9
female,12,26,13,11,39.6
male,7,29,12,9,26.8
male,12,11,4,8,13.7
female,30,33,13,23,87.6
male,9,10,4,6,6.2
female,20,31,12,22,80.5
female,9,23,10,6,16.2
female,11,17,9,6,20.1
female,14,26,11,17,60.4
male,15,25,8,11,29.0
male,9,17,8,7,13.4
female,23,24,13,15,67.0
female,21,18,11,17,44.4
male,22,26,10,16,62.0
female,27,30,15,23,86.1
female,26,32,12,22,63.3
male,8,20,9,8,23.8
female,29,35,15,19,94.9
male,13,13,5,3,9.5
female,26,31,14,22,96.7
male,11,33,13,16,65.8
female,7,14,5,6,6.7
male,27,35,13,22,92.1
male,17,24,11,10,51.8
male,26,29,14,15,74.9
female,12,18,6,6,14.1
female,8,17,8,9,18.3
female,12,31,13,12,38.7
female,24,33,14,22,92.2
male,25,20,13,8,51.0
female,3,17,3,5,1.2
female,17,26,13,16,65.8
male,30,34,13,24,90.9
female,7,18,8,13,29.2
female,13,21,9,5,23.7
male,18,27,11,12,41.1
female,18,24,12,19,55.1
female,7,8,4,4,0.8
female,6,19,8,7,18.2
female,11,17,7,8,20.9
female,24,30,12,13,61.7
female,22,35,14,12,80.9
male,26,35,15,23,98.3
female,12,28,12,11,35.1
male,20,33,14,16,66.0
female,16,25,12,17,48.0
male,25,35,12,15,71.9
male,23,25,12,10,46.4
female,19,22,14,15,67.6
female,23,33,15,24,88.7
female,20,25,13,17,67.6
female,14,25,13,6,29.0
female,9,9,5,5,4.2
male,25,29,11,21,54.2
male,18,24,12,14,39.8
female,7,17,11,4,18.7
male,7,11,4,5,2.6
female,24,21,12,18,63.0
male,27,30,10,10,45.0
female,27,34,13,23,89.8
male,10,26,8,7,18.3
female,23,32,11,12,57.5
male,12,10,2,10,16.4
female,19,31,9,17,53.1
female,15,32,12,6,48.6
female,21,31,14,22,85.9
female,27,34,15,21,92.9
female,9,22,11,12,52.8
male,9,11,5,4,4.7
female,24,30,12,12,48.1
female,15,27,15,9,46.6
female,15,29,11,7,42.3
female,11,27,10,10,38.5
male,22,27,14,16,72.2
female,12,27,13,12,43.1
male,26,28,11,20,77.6
female,28,35,13,22,88.3
female,20,26,12,10,60.8
male,14,25,7,9,26.5
male,7,9,4,5,2.1
female,13,21,7,9,30.9
female,7,31,13,5,27.6
female,25,34,13,22,85.1
female,24,31,15,21,75.5
female,11,30,13,7,38.2
female,20,25,13,11,46.7
female,13,20,11,10,34.2
male,28,28,11,13,52.0
female,10,22,11,9,36.0
male,8,33,12,6,31.8
female,18,35,15,23,85.0
female,11,20,11,6,25.8
male,9,25,10,8,22.4
female,17,32,13,17,60.8
female,6,21,9,5,18.0
female,18,22,11,12,47.3
male,16,19,9,15,36.8
male,20,31,12,24,69.2
female,21,28,13,10,56.5
male,7,15,4,9,9.6
female,22,32,15,16,80.0
male,17,32,11,11,33.2
female,18,27,11,13,34.7
female,15,18,10,3,27.5
female,24,35,13,21,81.7
female,16,28,10,11,30.5
male,26,30,14,17,79.2
female,9,30,15,7,39.3
female,15,31,11,9,49.2
female,29,33,15,25,100.0
male,15,28,13,7,36.6
female,12,11,5,7,9.9
male,26,29,14,18,79.0
female,17,22,9,11,40.4
female,10,19,11,7,27.6
female,5,15,5,8,7.3
female,8,28,7,10,21.6
female,13,17,11,9,28.5
female,14,25,8,13,29.3
female,10,23,11,11,35.3
female,21,33,14,17,77.5
female,18,31,15,16,82.6
female,26,33,14,23,97.6
male,14,21,7,10,25.6
female,13,12,7,5,11.4
female,17,32,13,8,56.9
male,15,32,11,14,42.8
female,14,32,13,12,54.1
female,12,21,13,9,38.4
female,12,12,8,8,21.6
female,9,27,12,12,36.9
female,7,14,5,7,12.0
female,19,35,15,17,86.3
female,14,17,6,7,16.7
female,20,24,11,13,56.7
female,12,21,11,4,27.4
female,14,31,10,14,36.3
male,14,31,12,10,50.2
female,21,33,14,11,69.1
female,10,22,11,11,36.2
female,12,25,10,10,36.4
female,18,30,14,17,71.7
male,12,18,7,6,13.3
female,15,28,11,19,60.0
male,6,19,7,4,20.1
male,22,33,14,18,89.8
male,20,24,7,12,49.5
female,13,20,10,11,28.5
male,23,34,11,19,61.3
male,11,23,9,6,17.4
female,4,15,7,4,4.2
female,21,28,12,14,75.5
female,6,23,13,7,26.8
female,24,33,14,22,91.6
female,12,23,10,11,31.9
female,6,27,11,4,17.6
female,16,19,12,15,45.7
male,21,34,14,21,82.2
female,15,34,15,17,77.5
female,29,33,13,24,88.3
male,14,27,12,9,29.8
male,13,21,10,15,56.0
male,29,31,14,11,68.8
female,23,27,11,21,56.8
male,12,15,7,2,13.4
male,24,31,12,11,70.6
female,24,32,12,19,68.3
female,5,16,3,6,5.2
male,7,19,7,11,24.7
female,11,30,12,9,41.1
male,25,27,11,23,57.9
female,6,13,4,5,1.9
female,15,21,12,10,38.2
female,16,21,10,11,31.2
female,14,27,13,16,62.0
female,15,26,10,10,35.8
female,20,29,12,22,71.3
female,11,11,10,7,13.1
male,11,20,4,8,19.0
female,24,32,11,16,55.7
male,9,23,13,15,49.4
female,22,33,13,13,64.3
male,13,32,13,18,63.4
female,13,18,5,5,14.5
male,14,23,10,8,33.1
female,14,29,14,12,57.7
female,19,31,14,20,84.0
female,11,34,12,15,66.3
female,26,35,15,24,96.6
female,14,29,12,12,50.2
male,20,23,11,14,40.6
male,8,29,8,5,20.1
male,9,13,7,7,32.9
female,24,34,13,22,82.1
male,16,14,8,7,23.0
female,8,18,7,4,11.2
female,8,22,10,4,17.6
male,12,27,7,6,17.4
female,30,35,15,25,100.0
female,26,32,15,21,88.4
female,14,25,9,9,32.2
female,19,30,13,15,67.5
female,22,30,12,18,73.4
male,10,24,5,10,24.1
male,12,19,2,8,19.6
female,25,24,14,11,64.8
male,13,21,10,7,28.2
male,4,10,2,5,0.0
female,4,12,1,4,0.6
male,21,24,9,15,54.0
female,18,26,15,8,53.8
male,14,20,8,10,20.5
female,19,26,14,18,64.3
female,24,28,12,14,55.7
female,9,7,5,4,3.2
female,15,28,13,18,67.9
male,20,25,8,8,31.1
