Subject,AFQT,Educ,Income2005
631,22.379,11,18000
632,1.31,12,4000
636,34.526,12,40000
639,60.396,12,35000
640,77.715,12,42000
645,86.137,16,163172
646,1.79,12,12500
647,43.472,12,61000
649,85.54,17,110000
650,77.736,16,58000
653,90.095,18,96000
659,39.786,14,75000
662,70.5,12,22000
663,76.234,16,85000
664,47.912,17,43000
665,59.991,16,30000
667,70.912,14,58000
669,79.232,12,29000
671,79.303,16,10000
674,2.926,12,50000
675,3.663,11,8400
679,8.563,12,20000
681,6.381,12,5000
683,45.808,18,52000
684,29.001,12,72000
686,79.313,18,57000
688,41.58,14,23000
692,36.055,13,45000
697,14.729,12,50000
701,10.566,9,9800
703,40.97,12,3000
704,46.092,13,56000
707,31.469,14,48000
709,26.594,12,41167
711,38.582,12,40000
712,80.637,13,41000
713,14.274,12,11000
714,26.688,11,20000
717,30.429,12,40000
719,6.818,12,48000
720,36.158,12,35000
721,24.725,13,22000
722,38.013,11,57500
723,26.792,12,25000
724,78.513,15,20000
725,97.319,20,74000
728,20.133,12,30000
730,70.604,15,100000
731,46.018,12,40000
732,51.017,12,35000
733,27.489,13,28820
745,31.508,12,41000
746,65.278,13,35500
747,70.368,12,50300
748,23.929,13,34000
751,28.746,16,55000
752,80.463,19,120000
755,54.906,12,37000
756,20.084,12,26000
757,31.118,14,35000
758,11.905,12,20000
761,55.614,15,25000
762,48.786,12,12000
763,34.18,12,23000
764,31.809,14,21000
769,34.236,12,3000
772,52.482,12,74000
774,53.534,14,35000
776,97.088,17,115000
777,79.85,16,85000
778,89.794,17,30000
779,60.353,14,26000
784,49.537,13,30000
789,42.361,12,15000
792,28.537,16,30000
793,61.347,16,30000
796,94.119,16,58000
797,68.375,12,72000
799,34.051,12,53000
800,32.078,14,54000
801,25.324,14,19327
802,17.362,12,30000
804,40.982,19,16000
806,13.465,12,35000
807,76.332,16,70000
810,91.719,16,115000
811,63.642,15,16000
812,86.99,16,10500
813,85.915,20,33000
814,19.541,12,16000
815,66.54,12,23400
816,39.343,16,29000
817,81.325,16,117000
818,35.569,13,85000
820,49.039,16,85000
821,99.18,18,34000
825,89.264,17,73000
827,92.042,20,169541
829,38.888,19,66000
832,38.997,12,20000
835,25.338,13,25000
839,4.208,15,30000
843,34.453,12,3000
847,22.976,16,67500
849,36.881,12,20000
850,82.62,13,85000
851,55.782,12,48000
854,50.954,12,22000
856,83.737,13,25000
859,23.25,12,46000
860,69.283,12,37500
861,49.173,12,29000
862,41.383,11,25000
863,38.088,12,125000
866,27.315,12,36000
872,71.872,16,176354
874,94.976,19,90000
875,25.657,12,40000
878,68.575,12,50000
879,79.765,20,52900
881,80.898,16,8000
882,64.498,16,42000
883,75.516,15,30000
884,98.089,18,52000
885,81.33,16,37000
888,21.826,12,50000
889,45.056,15,24000
890,82.756,19,183306
891,42.935,12,36000
896,98.804,16,15000
898,79.576,16,40000
899,83.208,15,31000
902,82.49,17,64320
906,93.511,19,90000
907,93.432,19,7000
908,82.465,16,37000
909,61.363,15,31330
912,91.404,16,34000
914,75.363,12,71500
915,92.122,14,57000
916,82.189,16,20000
920,86.877,16,120000
921,7.983,14,65000
922,55.885,12,90000
929,75.258,12,42000
932,26.769,12,30000
935,34.62,12,9800
936,58.404,15,15000
937,84.974,14,75000
938,21.712,12,38500
941,44.224,13,80000
942,55.978,12,43000
944,97.299,18,54000
945,51.523,16,37300
947,77.263,13,64000
949,64.067,12,70000
950,91.63,12,30000
951,52.109,12,72000
952,63.71,12,23600
955,45.546,12,40000
956,55.543,13,15000
958,41.439,12,35000
959,96.442,14,170247
960,88.979,15,150000
961,88.914,16,140000
962,67.25,14,45500
963,51.978,12,65000
964,28.308,12,48000
966,18.824,12,44000
967,17.834,12,56000
968,43.365,12,65000
969,44.379,12,31000
970,57.553,12,110000
971,53.275,12,3000
972,57.315,12,38000
973,65.073,12,42000
974,66.668,20,55000
976,62.466,18,51000
990,60.136,12,39000
996,30.891,12,60000
997,78.723,12,46000
999,67.602,16,27000
1003,61.145,16,70000
1004,27.973,14,56000
1007,47.45,12,125000
1011,34.339,12,45000
1013,91.199,14,25000
1019,100,17,29000
1020,98.236,17,84000
1029,26.365,12,17000
1034,12.727,7,23000
1038,64.065,14,24000
1039,71.23,15,44000
1042,28.954,12,26000
1043,3.732,12,16000
1044,4.871,12,25000
1046,70.337,19,63
1048,3.156,12,13000
1049,84.635,18,51000
1051,87.785,18,67000
1052,89.341,18,183467
1053,73.413,16,394058
1056,15.555,12,24000
1058,34.012,14,47000
1060,33.045,12,12000
1062,58.977,12,115000
1063,45.58,12,20518
1065,70.03,12,20160
1068,0.958,9,12000
1071,8.758,12,12649
1072,35.78,18,65000
1076,43.456,14,40000
1078,88.023,16,61000
1080,68.497,12,7500
1081,76.163,14,38262
1082,71.597,16,70000
1085,65.317,12,36000
1086,77.119,18,67500
1089,1.672,9,35000
1090,12.621,9,1300
1091,51.083,10,24000
1092,59.139,12,15000
1093,50.614,16,35000
1096,15.428,12,48000
1097,97.926,14,59000
1098,98.356,20,108000
1101,89.998,19,50000
1102,44.711,15,429
1104,55.829,15,90000
1105,65.903,18,61000
1106,87.203,16,35000
1111,44.401,12,44000
1114,31.751,12,50000
1116,31.89,14,30000
1118,22.955,12,80000
1122,99.147,16,37000
1130,50.405,12,5000
1134,65.998,11,53000
1138,58.192,16,58000
1139,72.569,16,60000
1141,17.614,12,30000
1143,83.528,16,180124
1144,79.836,16,248713
1147,58.247,12,6500
1148,2.509,11,31000
1153,4.843,10,2300
1155,25.334,14,52000
1156,39.245,12,25000
1157,70.82,16,63000
1158,27.018,14,31000
1159,45.679,15,30000
1160,34.867,14,20000
1163,20.274,14,25000
1166,42.776,13,20609
1169,53.364,12,130000
1176,62.064,16,77000
1179,74.366,12,35000
1181,64.846,13,150000
1182,91.545,18,48000
1184,90.731,16,95000
1185,100,20,268384
1186,58.93,16,140000
1187,86.394,19,39000
1188,79.064,15,130000
1200,49.449,16,9000
1208,82.941,20,120000
1221,0.899,12,16200
1222,7.51,12,38000
1223,1.552,13,15000
1224,15.04,13,12000
1233,36.925,14,42000
1237,29.091,12,24000
1238,54.782,13,62000
1240,70.563,18,52000
1247,12.838,12,8000
1249,64.562,12,80000
1250,31.365,12,17000
1251,36.464,12,31000
1252,54.28,17,16000
1253,52.948,12,21600
1255,93.903,18,87000
1256,17.735,13,50000
1257,34.121,12,23000
1258,62.762,14,3000
1260,10.889,9,35000
1261,66.079,14,50000
1268,98.102,16,90000
1272,37.465,12,39000
1273,68.375,13,24000
1276,92.033,16,46000
1279,81.419,15,24000
1286,6.841,16,32000
1287,7.088,14,50000
1288,10.393,14,21000
1290,38.983,14,36000
1291,8.107,13,16000
1293,35.191,16,36000
1294,51.781,15,209138
1301,27.851,14,25000
1311,46.54,16,130000
1312,41.138,12,18000
1315,70.51,15,257286
1318,22.661,8,37000
1319,6.629,12,43000
1320,100,13,78000
1321,51.798,13,56000
1323,85.328,17,42000
1325,82.181,16,80000
1327,59.279,12,53000
1338,66.383,13,42000
1344,67.442,18,72000
1347,50.056,16,157280
1351,54.619,12,13000
1353,50.963,12,20000
1357,5.401,12,38000
1359,61.346,18,40000
1360,28.956,12,27000
1362,96.033,17,70000
1366,36.305,12,29800
1367,85.66,16,16000
1368,96.899,16,39000
1374,69.216,16,15700
1383,2.991,12,80000
1384,13.4,12,26000
1385,44.576,13,34000
1386,24.991,12,52000
1393,66.493,15,79000
1394,67.269,16,62000
1395,45.317,20,63000
1397,26.78,12,45000
1399,74.636,14,45000
1411,45.789,14,16000
1413,1.65,11,19000
1416,20.731,12,12000
1417,24.893,12,31000
1418,61.57,12,41000
1419,4.111,12,22000
1425,77.186,12,38000
1426,54.506,12,38685
1429,82.219,16,30000
1432,18.811,16,42000
1433,36.667,17,50000
1434,1.985,11,31980
1436,8.681,11,10000
1438,4.199,12,27000
1440,10.283,13,22000
1455,14.511,7,25000
1459,85.258,14,40000
1462,33.171,12,28600
1468,36.634,12,29000
1470,64.514,18,35000
1471,15.586,8,50000
1477,48.936,16,70000
1479,97.372,18,100000
1481,49.641,16,71000
1484,2.513,13,40000
1487,42.852,13,45000
1490,19.642,12,25000
1491,14.083,13,39000
1492,82.535,14,45000
1493,65.038,12,245549
1495,19.342,12,15000
1499,47.406,12,16000
1500,24.715,12,50000
1501,97.458,17,60000
1502,98.242,16,12000
1503,84.661,20,58000
1506,88.937,12,42000
1507,60.833,12,22000
1508,96.289,14,35000
1509,90.493,17,25000
1510,66.956,16,26000
1512,80.758,15,15000
1514,45.16,13,51000
1515,44.773,12,67000
1516,8.674,12,23300
1521,21.457,12,41000
1522,67.176,16,51300
1527,2.099,12,28000
1529,35.947,13,23000
1530,30.909,15,28000
1531,44.428,12,26000
1532,57.544,12,17407
1534,27.174,12,52000
1538,30.59,18,45000
1539,77.51,12,30000
1541,22.337,12,41400
1547,43.214,11,85000
1548,40.716,10,4000
1551,25.797,12,19000
1552,24.669,16,9200
1553,79.584,12,40000
1554,52.176,12,59000
1555,69.185,14,28352
1556,69.556,12,32176
1558,60.233,14,12000
1560,21.06,12,19000
1564,84.972,16,3400
1566,65.249,15,39100
1568,79.707,14,6000
1569,72.895,16,63000
1571,77.537,15,45000
1574,90.317,16,47000
1575,33.184,14,171551
1577,60.11,12,59000
1580,21.756,12,56000
1585,54.802,12,60000
1586,69.894,15,54000
1587,92.892,16,27300
1590,22.782,12,16000
1591,33.418,12,7000
1592,27.228,12,10000
1593,14.232,12,17000
1595,44.794,12,120000
1597,67.922,12,52000
1598,70.988,14,35000
1599,43.417,12,24000
1601,53.921,16,368302
1602,54.571,12,90000
1603,45.157,17,20000
1605,40.773,12,40000
1607,48.83,12,19200
1608,58.11,12,11040
1610,29.107,12,18000
1617,21.965,12,20000
1619,58.937,18,65000
1621,87.899,17,35942
1622,55.357,16,60000
1626,96.046,16,73000
1627,36.485,12,20000
1629,65.439,12,100000
1631,96.226,16,85000
1632,98.63,18,100035
1633,86.213,20,100000
1635,53.399,12,40000
1636,49.697,12,56000
1637,60.861,12,15000
1640,51.871,12,48000
1641,62.029,12,110000
1642,1.532,14,75000
1644,43.409,15,9400
1651,71.136,12,153334
1656,51.885,12,33000
1659,61.986,14,26000
1670,96.168,16,105000
1719,48.05,18,60000
1720,25.265,14,45000
1721,7.672,12,80000
1725,7.182,11,25000
1729,30.508,12,24000
1730,66.596,17,52000
1733,84.465,16,115000
1735,63.611,17,3000
1739,95.901,15,10000
1740,49.857,16,19000
1744,67.544,13,60000
1746,96.851,19,116000
1750,47.189,12,44000
1751,4.888,13,35000
1758,5.654,15,13000
1763,69.733,16,22000
1766,78.662,16,12000
1768,36.71,12,8000
1769,27.375,12,29515
1775,35.079,13,34000
1778,46.099,14,8000
1779,28.861,11,74000
1780,73.734,14,40000
1781,39.081,15,100000
1784,81.518,15,45000
1785,9.875,15,29000
1786,37.054,12,46800
1787,47.805,17,52000
1788,77.653,12,56856
1790,71.533,12,34000
1792,87.518,14,15000
1795,40.415,20,108888
1797,56.703,9,3040
1798,85.903,15,27100
1802,77.562,12,27915
1803,70.548,19,36000
1804,91.449,17,12000
1808,89.408,16,125000
1810,53.687,13,155867
1819,79.036,15,29000
1820,13.65,8,8000
1824,6.023,9,19000
1826,62.879,12,45000
1831,24.374,15,64000
1835,30.175,12,40000
1836,51.237,14,50000
1837,17.492,13,32000
1838,13.046,12,17000
1839,6.12,12,18000
1841,92.678,20,85000
1844,87.281,18,188404
1846,73.252,18,192896
1847,74.288,14,68000
1848,29.189,13,46000
1858,75.798,18,68000
1860,40.414,12,29000
1862,31.547,12,900
1863,61.428,12,20000
1865,27.567,12,28000
1866,42.755,12,25000
1867,89.968,12,52000
1868,35.098,13,26500
1869,26.004,12,14000
1872,18.192,12,35000
1873,16.817,12,22000
1875,90.923,18,130000
1878,29.321,12,8000
1880,88.272,20,30000
1881,42.474,12,40000
1884,42.428,12,12500
1885,65.232,16,35000
1887,9.128,12,11000
1889,42.279,13,35675
1890,13.298,12,18000
1891,46.449,12,26800
1895,84.709,14,83000
1896,85.085,18,28000
1899,24.004,12,32000
1902,48.953,12,40574
1904,86.141,12,26000
1905,58.233,12,45000
1906,97.146,18,25000
1910,55.765,12,55000
1912,49.375,14,25000
1913,41.544,14,14103
1914,95.324,19,48000
1916,66.692,19,74481
1917,27.775,12,48000
1918,74.519,12,68000
1920,57.75,14,2000
1924,39.286,16,65000
1925,66.523,12,44000
1926,31.904,12,16000
1927,53.586,12,21455
1929,95.734,14,81000
1930,95.174,16,45000
1944,82.351,14,86000
1947,41.857,12,16000
1950,63.15,16,22000
1951,45.219,18,42000
1952,46.049,17,85000
1953,87.413,19,24000
1954,87.743,16,4000
1955,79.36,14,60000
1957,10.797,12,47000
1958,79.33,15,45000
1959,29.263,12,36000
1961,48.541,12,100000
1962,10.28,12,25000
1963,63.4,12,67000
1964,29.838,12,30000
1965,52.187,12,25000
1966,85.623,12,42000
1967,61.486,16,40000
1971,51.182,12,65000
1975,80.742,12,41000
1976,64.089,16,36000
1977,37.901,12,50000
1978,29.377,14,48000
1985,59.974,12,25000
1986,69.903,14,23000
1988,15.656,12,46000
1990,63.26,12,26000
1992,24.185,13,68000
1994,75.484,13,28000
1995,33.083,15,3000
1996,53.612,12,32000
1998,59.463,12,9724
1999,67.772,19,46000
2002,35.088,12,12000
2003,13.023,12,8000
2005,84.088,16,78000
2007,92.051,14,143000
2010,75.4,19,12000
2011,70.191,15,25000
2012,39.888,12,32000
2013,86.555,12,9200
2014,54.184,12,27000
2018,72.231,12,27640
2020,23.806,12,26000
2024,89.508,15,65000
2027,93.336,19,9000
2029,93.935,20,135000
2030,77.209,18,5500
2031,2.044,11,36000
2032,22.171,12,32000
2033,66.318,12,157117
2034,56.852,16,52000
2035,78.055,12,25000
2037,91.541,19,2700
2038,97.36,18,162919
2040,85.929,14,14969
2041,72.82,14,20000
2042,91.215,18,6000
2045,56.026,12,30000
2046,27.156,12,24000
2047,73.594,13,55000
2049,88.874,16,33000
2051,6.945,11,20000
2055,68.805,12,30000
2056,57.501,16,135000
2057,31.002,15,9000
2061,88.199,16,50000
2062,39.555,18,110000
2066,27.605,12,29000
2067,43.433,12,60000
2068,55.547,16,35000
2070,13.237,12,60000
2071,88.381,14,1000
2072,89.269,12,4000
2073,85.923,12,22000
2074,77.334,12,58000
2075,59.435,12,66000
2076,30.985,12,39144
2079,38.187,12,28000
2080,59.98,12,17000
2081,51.661,12,46000
2083,94.93,16,26000
2086,39.837,12,27000
2087,48.513,12,40000
2088,56.782,14,30000
2089,20.616,12,40000
2090,22.22,12,37000
2093,69.551,12,48000
2094,7.262,12,29000
2096,32.475,16,92000
2097,34.695,12,71000
2099,35.591,13,62000
2100,89.871,12,52000
2101,81.726,12,90000
2102,41.532,12,24000
2104,68.95,12,34500
2106,37.24,12,52000
2107,73.284,14,5100
2113,96.423,19,100000
2119,60.326,14,9000
2120,51.624,14,4000
2122,9.545,12,26000
2123,60.172,18,33600
2124,84.248,16,115000
2126,72.964,17,42000
2132,55.993,14,104000
2133,48.488,15,39400
2134,9.566,9,10000
2135,18.212,12,70000
2136,55.103,17,34500
2138,71.84,12,36000
2140,40.889,12,55000
2144,94.079,16,57000
2145,61.172,13,50000
2146,55.691,12,14000
2147,77.202,14,34000
2148,63.751,15,16557
2152,46.721,12,28000
2153,37.209,12,12000
2156,53.265,12,40500
2157,37.901,12,24000
2158,63.872,12,3600
2159,66.343,16,70000
2163,28.73,14,60000
2164,64.628,18,69000
2165,26.635,12,12000
2167,31.225,16,48000
2168,88.021,16,57600
2169,68.018,13,57000
2172,35.637,14,63000
2173,61.735,12,52000
2178,72.005,16,44000
2180,45.257,12,40000
2182,75.725,12,65000
2187,36.06,13,90000
2188,17.457,14,36000
2190,22.95,13,18000
2194,13.425,9,30000
2196,42.225,12,5280
2200,96.691,17,65000
2201,36.411,12,32000
2202,81.08,16,35000
2203,26.932,12,22500
2204,61.699,15,26074
2205,53.188,14,52000
2207,70.593,14,30000
2208,23.7,12,25000
2209,18.385,13,36000
2214,34.895,15,11000
2216,49.406,12,43000
2218,63.184,16,70000
2220,97.867,16,82000
2222,92.442,16,46000
2223,39.914,12,55000
2224,17.081,10,5000
2225,16.597,12,56000
2227,36.775,12,28263
2229,64.933,12,33000
2230,88.797,16,40000
2237,92.195,18,64000
2243,68.307,16,30000
2247,68.218,12,58000
2250,9.393,12,20000
2251,6.124,12,7225
2254,5.171,10,30000
2255,16.2,8,45000
2261,7.878,12,32000
2264,42.749,12,13000
2265,20.49,14,15000
2266,5.007,12,15000
2270,21.855,12,15000
2271,18.606,12,13000
2278,77.514,15,49000
2284,95.913,13,50000
2285,72.013,20,55000
2286,96.655,16,26000
2291,95.949,16,60200
2299,97.706,16,47000
2301,86.817,16,71500
2302,80.788,17,112000
2304,38.541,12,50000
2313,49.802,12,25000
2314,61.328,12,50000
2316,24.702,12,30000
2318,61.993,9,43000
2322,63.353,12,46000
2323,39.111,16,100000
2324,65.301,16,102000
2326,28.79,12,44000
2327,65.774,12,26000
2328,86.148,16,31000
2329,69.687,16,40000
2332,71.851,15,26524
2333,53.448,13,85000
2334,29.171,12,37500
2337,74.637,14,35650
2339,98.849,19,235236
2341,78.245,14,68000
2344,9.97,14,44000
2348,2.093,10,14560
2360,43.07,17,18500
2361,3.283,12,99000
2372,93.923,16,65000
2375,55.494,13,80000
2376,71.019,13,60000
2380,73.886,12,22000
2382,44.078,15,40000
2383,45.054,12,8500
2385,65.8,14,62000
2386,57.65,15,68000
2394,75.648,12,60000
2396,6.227,12,13986
2398,24.581,10,32000
2400,83.187,12,24024
2401,26.892,12,48000
2403,9.333,11,18000
2404,34.726,12,28800
2410,41.414,14,13000
2412,35.114,12,15000
2413,14.248,12,40000
2415,87.508,14,55000
2417,23.088,13,42500
2418,34.796,12,35000
2419,24.569,10,55000
2420,32.849,12,7500
2425,7.627,12,35000
2426,32.946,13,8200
2427,47.464,12,75000
2434,62.347,12,20000
2435,89.248,12,35000
2436,44.875,12,78000
2437,79.569,14,125000
2438,88.511,17,90000
2439,68.273,12,32000
2442,45.63,18,79000
2443,56.491,14,36000
2444,55.573,16,50000
2447,48.144,13,37770
2450,39.399,12,14750
2451,57.518,12,23100
2452,41.091,12,30000
2459,26.828,12,4560
2460,38.338,12,10875
2461,62.172,17,61000
2462,32.803,11,18420
2464,84.734,13,185950
2466,19.489,10,22000
2470,67.455,12,46500
2471,38.305,12,20000
2473,97.301,12,42000
2474,84.254,14,10574
2475,74.784,12,56000
2477,75.661,15,33000
2478,37.129,12,20376
2479,69.48,12,25000
2483,21.622,12,29000
2485,25.739,11,18000
2489,57.85,13,30000
2494,79.94,16,72000
2523,90.558,14,48000
2526,58.333,17,80000
2527,9.203,12,60000
2528,13.091,12,6000
2529,28.439,12,5000
2530,18.716,12,27000
2535,24.83,12,41000
2537,35.987,12,13100
2539,29.224,12,38000
2540,30.17,12,25000
2541,98.399,12,70000
2542,62.877,13,12800
2544,38.63,16,98000
2545,75.455,16,103000
2547,42.818,12,52000
2549,92.726,18,38000
2550,65.344,16,36660
2551,99.523,16,39500
2552,86.171,16,33500
2553,72.096,12,39800
2556,70.61,12,19000
2557,93.207,16,96000
2558,74.219,19,61000
2559,71.891,14,49000
2564,30.568,12,16000
2565,97.161,16,44000
2566,74.666,14,32000
2568,76.751,14,25000
2569,88.401,18,24000
2570,75.897,16,15300
2572,66.774,16,70500
2574,37.594,12,32000
2578,7.222,12,22000
2579,98.327,12,26350
2582,20.223,12,34000
2584,10.007,12,44000
2585,51.366,13,56000
2587,6.212,7,25500
2588,97.318,18,70000
2589,94.663,20,125000
2590,87.121,16,60000
2591,66.724,12,34000
2592,43.541,12,22800
2594,34.866,12,62000
2602,73.986,13,37000
2603,86.396,19,41000
2606,78.782,16,51000
2607,90.608,16,35000
2610,81.963,12,25000
2613,75.03,13,40000
2614,23.741,12,50000
2615,76.118,12,17000
2616,56.648,14,95000
2620,67.777,14,59500
2622,93.856,20,33000
2626,63.94,20,38000
2628,77.623,18,8000
2629,58.878,12,39264
2630,74.682,17,70000
2633,99.581,16,92000
2636,58.714,18,40500
2637,91.219,16,48000
2642,94.6,18,68000
2646,74.779,18,90000
2647,47.616,14,220904
2649,98.587,18,37000
2650,57.532,12,15000
2651,44.873,12,3983
2652,53.648,12,31658
2653,4.107,6,20000
2654,17.893,12,20000
2655,7.355,10,5300
2658,4.014,12,8000
2659,13.369,12,2000
2661,7.37,9,18674
2665,21.392,12,24000
2666,1.722,9,13700
2669,8.169,12,5000
2670,30.126,12,23500
2672,13.722,12,11000
2675,16.569,7,17000
2676,2.64,10,27000
2677,30.421,13,22000
2679,50.68,12,3890
2682,5.464,12,12000
2683,1.949,11,30000
2684,78.514,20,40000
2685,87.232,17,58000
2688,74.478,14,32000
2689,38.206,12,30000
2690,34.223,12,28000
2694,57.714,15,25000
2695,63.262,20,80000
2696,47.892,14,46000
2698,2.09,6,6000
2699,7.961,12,8000
2701,25.652,16,88000
2702,73.187,16,91500
2703,56.056,16,125000
2705,1.93,9,14000
2706,22.776,12,36500
2707,12.32,12,24000
2708,13.404,12,25000
2709,34.134,12,16257
2710,6.748,12,26000
2711,31.136,12,30620
2714,90.519,16,45000
2716,10.747,9,35000
2723,34.081,16,62000
2724,79.723,18,167252
2725,92.116,14,26000
2727,67.905,14,30500
2728,59.815,10,50000
2729,52.886,12,7000
2730,19.73,16,10000
2732,55.89,12,33955
2736,62.998,14,27000
2744,37.729,14,4000
2745,52.01,12,28000
2746,31.161,13,30000
2747,13.768,9,9984
2748,8.081,12,25000
2760,51.839,12,26000
2765,46.116,14,72000
2767,8.889,14,33000
2770,62.129,16,57000
2771,30.365,16,10000
2772,16.598,12,21000
2773,31.63,14,34000
2774,68.644,14,60000
2775,76.999,12,19500
2780,10.37,12,32000
2781,56.208,12,18000
2797,4.598,12,50000
2800,98.512,18,35000
2803,18.985,13,58000
2804,32.049,16,52000
2809,86.026,17,15000
2810,49.671,12,8000
2811,24.308,12,25000
2813,86.52,16,75000
2815,53.908,13,35000
2816,13.683,12,82000
2823,62.369,17,50000
2829,4.517,12,32000
2830,72.247,12,19000
2832,47.307,12,48000
2838,95.237,16,69500
2839,73.761,13,71000
2840,95.131,18,88000
2841,96.898,14,50000
2842,87.04,14,94000
2845,100,20,70000
2847,99.445,19,48000
2848,97.137,16,19285
2851,96.763,18,357310
2852,33.73,12,33000
2856,56.854,14,16000
2858,84.767,12,56000
2861,97.983,17,124000
