Subject,Imagazine,Inewspaper,Ilibrary,MotherEd,FatherEd,FamilyIncome78,Race,Gender,Educ,Science,Arith,Word,Parag,Numer,Coding,Auto,Math,Mechanic,Elec,AFQT,Income2005,Esteem1,Esteem2,Esteem3,Esteem4,Esteem5,Esteem6,Esteem7,Esteem8,Esteem9,Esteem10
58,1,1,1,12,17,50000,3,female,17,20,26,35,15,49,83,12,18,12,16,91.625,55500,1,1,4,1,4,1,1,3,3,4
61,1,1,1,12,16,32000,3,female,14,23,28,35,15,49,70,14,25,21,18,99.15,63000,2,2,4,2,4,2,2,4,4,4
62,1,1,1,12,16,32000,3,female,13,12,12,25,10,32,25,15,10,12,8,36.384,30000,2,1,3,2,3,2,2,3,3,4
63,1,1,1,12,12,37000,3,male,16,19,28,35,13,47,61,18,21,22,15,87.934,108000,1,1,4,1,4,1,1,4,4,4
69,1,1,1,17,16,40000,3,male,18,16,27,29,13,35,54,16,21,16,11,86.703,120000,1,1,4,1,4,1,1,4,4,4
73,1,1,1,16,16,25000,3,male,18,21,18,34,13,36,51,14,18,20,16,81.527,186135,1,1,4,1,4,1,1,4,4,4
78,1,1,1,16,18,32000,3,female,16,19,25,35,14,31,55,9,21,21,10,85.347,14657,2,2,3,2,1,1,1,1,1,1
86,0,1,1,9,9,1688,2,female,9,3,4,7,5,5,15,2,9,3,5,7.198,14000,2,1,4,2,3,2,2,3,3,3
87,0,1,1,11,12,12475,2,male,12,10,9,5,5,9,32,5,8,8,5,12.463,17000,2,2,4,2,4,2,2,2,4,4
89,0,1,1,12,12,29000,2,female,16,19,24,34,15,40,55,5,17,12,8,84.98,62000,1,1,4,1,4,1,2,3,3,4
97,1,1,1,12,11,8000,3,female,14,16,17,33,14,34,49,15,15,15,17,59.411,49000,2,2,4,2,4,2,2,2,3,4
105,1,1,1,12,12,28000,3,female,12,16,28,32,14,48,60,10,20,10,7,81.787,40000,1,1,4,1,4,2,2,4,4,4
106,0,1,1,12,9,11000,3,male,16,20,30,35,12,50,62,14,23,20,17,87.651,105000,1,1,4,1,4,1,2,3,4,4
107,1,1,1,11,9,25000,3,male,16,16,19,31,11,48,70,14,16,16,10,65.347,43000,1,1,4,1,4,1,2,4,4,4
117,1,1,1,10,12,52300,3,male,15,25,29,35,15,35,32,24,22,24,18,98.349,83000,1,1,4,1,4,1,1,4,4,4
119,0,1,0,11,8,7400,3,male,16,15,7,31,13,20,34,7,7,11,7,27.671,12000,1,1,4,2,4,1,2,1,4,4
120,1,1,1,16,12,60000,3,male,16,25,30,34,13,49,55,23,25,18,18,97.847,150000,2,2,3,2,3,3,2,3,3,3
121,1,1,1,17,15,60000,3,female,17,20,21,34,14,45,49,14,23,13,12,92.618,41000,1,1,4,1,4,1,1,4,4,4
126,1,1,1,14,15,30000,3,male,14,22,25,30,14,35,40,23,16,21,15,67.259,85000,1,1,4,1,4,1,2,3,3,4
129,1,1,1,13,14,45000,3,male,16,20,28,33,14,25,36,17,23,20,16,92.817,80000,2,2,3,2,3,2,2,3,3,3
133,0,1,1,10,11,25000,3,female,12,14,14,26,13,47,52,10,13,11,4,57.983,52000,1,1,4,1,3,2,2,3,2,4
137,1,1,1,13,16,40000,3,female,16,17,28,31,13,48,74,17,24,22,13,87.283,175829,1,1,4,1,4,1,2,4,4,4
138,1,1,1,14,16,40000,3,female,16,14,24,30,14,45,84,11,23,15,10,88.326,8000,2,2,4,2,4,2,2,3,3,4
139,1,1,1,16,16,40000,3,male,15,19,24,31,14,32,46,23,11,20,15,79.832,120000,1,1,4,1,4,1,2,3,4,4
140,1,1,1,15,12,36000,3,female,17,20,19,34,14,32,50,17,18,16,15,72.878,65000,1,1,4,4,4,1,1,4,4,4
141,1,1,1,12,16,29000,3,female,18,19,21,34,14,34,46,14,21,16,16,85.861,44768,1,1,4,1,4,1,1,4,4,4
143,0,1,1,10,10,17000,3,female,14,17,20,33,11,40,42,12,15,8,13,59.838,52000,1,1,3,2,4,1,2,3,3,4
145,0,1,1,12,12,12000,3,male,12,18,16,31,12,35,39,12,13,8,12,62.607,10000,1,1,3,3,3,2,2,2,3,3
146,1,1,1,12,12,12000,3,male,12,22,29,32,12,29,40,16,21,18,17,86.932,50000,1,1,4,2,4,2,2,3,2,4
147,1,1,1,10,12,22000,3,female,14,13,10,23,10,44,66,13,9,10,7,22.466,12000,2,2,3,2,3,2,3,3,3,3
148,1,1,1,12,12,22000,3,male,12,22,24,30,13,31,47,20,14,22,14,74.997,21800,1,1,3,1,4,2,4,3,4,3
149,1,1,1,11,12,22000,3,female,12,17,14,22,10,33,50,7,10,11,8,39.973,95000,1,2,4,1,3,2,2,3,3,3
152,1,1,1,12,12,35000,3,female,12,18,30,33,14,42,60,13,22,15,13,93.332,85000,1,1,4,1,4,1,1,4,2,4
156,1,1,1,12,17,0,3,male,11,14,11,13,2,20,43,24,5,12,7,4.975,14000,2,2,3,3,3,2,2,3,2,4
158,1,1,1,12,16,35000,3,female,17,13,22,35,14,46,44,9,22,12,11,85.206,35100,1,1,4,2,4,2,2,4,4,4
160,1,1,1,8,8,17000,3,female,14,18,28,31,13,43,59,15,19,17,8,77.44,65000,2,2,3,2,3,2,2,3,3,3
162,1,1,1,16,17,24000,3,male,18,24,29,35,14,38,60,17,24,23,18,98.253,76000,1,1,3,2,3,2,2,3,3,3
165,1,1,1,10,12,20000,3,female,12,12,16,25,13,45,54,13,12,14,5,46.506,50000,1,1,4,1,4,2,1,3,3,4
166,1,1,1,10,12,20000,3,male,13,21,21,28,11,46,54,19,16,20,19,58.432,82000,2,2,3,2,3,2,2,3,2,3
174,1,1,1,13,12,30000,1,female,13,12,17,29,12,33,50,8,17,12,7,47.279,48000,1,1,4,2,4,1,2,3,3,3
179,1,1,1,11,12,10000,3,female,12,13,16,28,10,35,14,12,11,5,9,30.455,29000,1,1,4,3,3,1,1,1,1,1
184,1,1,1,12,12,23000,3,female,16,19,21,28,13,39,38,16,16,18,13,59.078,6000,2,2,3,2,3,2,2,3,3,3
185,1,1,1,12,12,23000,3,male,12,17,15,28,13,21,32,18,12,22,12,77.155,34000,1,1,4,1,4,1,1,4,3,4
186,1,1,1,12,12,30000,3,female,18,20,25,31,15,49,59,15,18,14,12,81.515,65000,1,1,3,1,2,2,2,4,3,3
188,0,1,1,10,12,22000,3,female,10,14,7,22,11,23,36,12,4,12,10,11.983,15000,2,2,3,2,3,2,2,3,3,3
190,1,1,1,16,17,26000,3,female,18,20,20,31,13,33,70,12,21,11,9,73.636,92000,1,1,4,2,4,2,1,4,4,4
191,1,1,1,16,17,26000,3,male,19,21,19,31,15,46,54,10,20,12,11,89.27,118000,1,1,4,1,4,1,2,4,4,4
192,1,1,1,12,12,20000,3,female,16,18,20,31,12,41,47,14,22,16,12,80.48,26000,1,1,4,1,4,1,1,4,3,3
193,1,1,1,12,12,28000,3,male,16,21,19,29,11,39,59,21,21,14,20,45.527,105000,2,2,3,2,3,2,2,3,3,3
195,1,1,1,10,16,31000,3,male,18,20,28,33,14,49,62,20,22,21,19,87.917,348204,1,1,4,1,4,1,1,4,4,4
197,1,1,1,11,12,25000,3,female,12,13,11,16,6,38,49,9,9,7,8,17.107,17000,2,2,3,2,3,2,2,3,3,3
198,1,1,1,16,17,30000,3,male,18,20,23,27,9,49,58,13,21,14,12,64.239,130000,1,1,4,1,4,1,1,4,4,4
199,1,1,1,12,12,65000,3,male,12,12,6,27,7,37,53,17,10,11,10,19.225,38000,1,1,4,1,4,1,1,4,4,3
200,0,1,1,16,12,25200,3,female,12,13,12,17,13,33,77,10,10,5,8,27.551,35000,1,1,4,2,4,1,2,4,4,4
201,1,1,1,13,20,49000,3,male,16,19,29,35,13,49,62,20,23,18,16,86.603,16000,1,1,3,1,4,1,1,4,4,4
202,1,1,1,16,16,4300,3,male,14,22,25,31,12,39,34,19,20,21,18,73.184,55000,1,1,4,1,4,2,2,3,4,4
207,1,1,0,9,10,13000,3,male,12,11,17,12,5,28,26,10,9,9,5,25.802,32000,2,2,3,2,3,2,2,3,3,3
210,1,1,1,12,12,20000,3,male,16,17,16,25,12,49,57,16,20,11,14,59.04,50000,1,1,4,1,4,1,1,3,3,4
218,1,1,1,12,12,15000,3,male,16,22,28,34,13,36,56,16,24,17,16,81.447,261763,1,1,4,1,4,1,2,4,4,4
219,1,1,1,12,11,55000,3,female,20,14,22,28,13,41,62,10,16,14,11,60.012,102000,1,1,4,1,4,1,1,3,4,4
220,1,1,1,12,12,55000,3,female,20,22,27,31,14,48,83,17,25,14,17,89.381,105000,2,2,3,2,3,2,2,3,3,3
228,1,1,1,12,15,8450,1,female,9,9,10,7,3,18,39,7,5,7,4,2.739,1600,2,2,3,2,3,2,2,3,3,3
230,1,1,1,12,8,19000,3,male,15,15,9,25,11,33,41,14,10,10,12,34.084,55000,1,1,4,1,4,1,1,4,3,4
232,1,1,1,10,14,29000,3,male,14,18,15,32,12,35,45,20,15,16,15,55.78,45000,2,2,4,2,3,2,2,3,3,3
233,0,1,0,10,15,29000,3,male,12,12,13,18,6,30,43,17,11,17,11,31.472,39000,1,1,4,2,3,2,2,3,3,3
234,0,1,0,9,9,5000,3,male,12,15,16,18,12,36,38,10,9,8,10,35.461,140000,1,1,4,1,4,1,1,4,3,4
235,1,1,1,12,12,16000,3,male,15,19,22,26,10,39,50,22,22,21,14,61.313,98000,1,1,4,2,3,2,2,3,3,3
236,0,1,1,9,12,30000,3,female,13,18,18,30,14,49,51,14,17,14,10,71.673,30000,2,2,4,2,4,2,2,3,3,4
239,1,0,1,10,11,75,3,female,10,11,6,14,4,23,38,6,12,8,6,13.294,9000,2,2,4,2,3,2,2,3,3,3
240,1,1,1,8,8,10000,3,female,12,15,18,29,9,34,38,15,12,11,10,50.483,38000,1,1,4,1,4,2,2,3,3,3
242,1,1,0,12,12,7236,3,female,12,12,10,27,10,35,59,13,12,14,12,30.481,75000,1,1,4,1,4,1,2,4,4,4
243,1,1,1,12,12,12600,3,male,12,18,26,32,11,34,50,19,18,21,14,62.957,94600,1,1,4,1,4,1,1,3,3,4
244,1,1,1,16,7,7910,3,female,12,22,24,34,14,38,57,22,17,16,17,73.828,5000,2,2,3,2,3,2,2,3,3,3
245,1,0,0,14,12,15000,3,female,14,21,29,30,13,50,66,15,23,19,13,81.929,25000,2,2,3,2,3,2,2,2,3,3
247,0,0,1,13,8,6000,3,male,20,24,24,30,11,34,29,19,18,15,19,52.544,79000,2,2,3,2,3,2,2,2,3,3
248,0,1,1,16,8,7000,3,male,14,13,8,19,7,20,21,12,5,14,8,8.261,2000,2,2,4,2,4,2,2,3,4,4
253,1,0,1,8,12,14000,3,male,11,12,15,23,3,18,32,8,10,16,8,34.745,20000,2,2,3,2,3,2,2,3,3,3
256,0,1,1,11,9,18000,3,female,13,16,17,27,14,33,63,9,12,12,10,56.308,3000,2,2,3,2,3,2,2,2,2,3
257,0,1,1,11,9,18000,3,male,12,14,16,24,12,50,46,10,12,10,9,58.214,22000,2,2,3,2,3,3,3,2,3,3
259,0,1,1,12,12,19700,3,male,12,18,26,30,12,31,44,22,16,22,15,56.348,14000,1,1,4,2,4,1,2,1,3,4
260,1,1,1,12,18,27000,3,male,14,24,26,34,12,50,56,25,24,23,19,83.227,65000,1,1,4,1,4,1,1,4,4,4
269,1,1,1,12,18,8000,3,male,16,22,26,32,14,31,46,22,23,16,15,83.698,154541,1,1,4,1,4,1,1,4,4,4
273,0,1,1,12,12,13870,3,male,15,15,23,33,10,47,58,16,18,21,16,64.372,61500,2,2,3,1,4,1,1,4,4,4
274,0,1,1,15,18,5800,3,male,13,17,29,32,14,39,48,20,19,22,14,88.343,45000,1,1,4,1,4,1,1,4,3,4
275,1,1,1,14,18,5800,3,female,14,19,21,30,13,28,58,15,15,11,11,72.963,52000,2,2,4,2,4,2,2,3,3,4
279,0,1,0,12,14,25000,3,male,12,18,14,34,11,29,39,22,11,16,15,59.272,64500,2,2,3,2,3,2,2,3,3,3
281,1,1,1,13,13,25000,3,male,18,21,29,29,11,50,48,15,23,16,15,72.769,99000,1,1,4,1,4,1,2,4,4,4
282,1,1,1,13,13,25000,3,female,16,18,25,27,14,49,52,13,24,13,9,85.4,14000,2,2,3,1,4,2,1,2,2,4
283,0,1,1,8,12,29000,1,male,12,15,11,24,8,32,34,17,6,11,16,15.136,53000,2,2,3,2,3,2,2,3,3,3
284,0,1,1,8,11,27000,1,male,12,17,16,30,12,26,40,16,9,14,17,44.708,90000,1,1,4,1,4,1,1,4,4,4
285,0,1,1,8,12,29000,1,female,10,13,7,13,9,45,47,4,10,7,8,15.448,35000,2,1,3,2,1,1,1,3,2,2
290,0,1,1,6,7,17900,1,female,10,10,9,11,7,20,45,6,6,7,5,11.136,19000,2,2,3,2,3,2,2,3,3,3
294,1,1,0,12,18,20000,3,female,12,18,12,33,14,27,45,14,12,16,11,62.191,12000,1,1,4,1,4,2,2,3,3,4
299,0,0,1,6,12,4872,1,male,11,8,8,18,7,22,27,5,4,9,7,12.439,25000,1,2,4,2,3,2,2,3,3,3
306,0,0,1,11,11,7226,2,male,14,12,11,20,13,44,56,11,7,7,10,27.277,40000,1,1,4,1,4,1,1,4,4,4
310,1,1,1,12,8,30000,3,male,12,15,18,19,5,26,32,18,5,13,8,18.491,70000,1,1,3,1,3,1,1,3,3,3
313,0,1,1,11,10,17000,3,male,11,22,12,26,8,32,44,17,8,11,12,30.794,37000,2,2,4,1,3,2,2,2,3,3
317,1,1,1,12,18,29000,3,male,16,25,25,35,12,41,52,23,21,22,17,78.739,31500,1,1,4,1,4,1,1,4,4,4
321,1,1,1,10,12,50000,3,female,16,23,24,32,14,25,33,12,21,15,14,76.525,69000,1,1,4,1,4,1,1,3,4,4
323,1,1,1,13,12,30000,3,male,12,19,24,25,13,32,43,15,21,13,17,65.825,80000,1,1,4,1,4,1,1,3,4,4
324,1,1,1,12,12,30000,3,male,9,6,11,11,4,26,30,11,7,11,9,10.373,23000,1,1,4,2,4,1,1,3,3,3
327,1,1,1,15,16,75000,3,female,16,23,28,35,13,32,64,12,22,16,16,88.257,28000,1,1,4,1,1,1,1,4,2,4
335,1,1,1,13,12,800,2,female,15,18,20,27,14,32,36,5,18,14,11,62.746,10000,1,1,4,1,4,1,1,4,4,4
341,1,1,1,12,16,17000,3,female,14,17,15,32,12,49,54,13,14,12,10,46.696,125000,2,2,4,2,4,2,2,2,3,4
342,1,1,1,12,16,17000,3,male,17,25,29,34,14,39,58,20,24,24,20,95.123,96000,2,1,3,1,4,2,2,3,4,4
346,1,1,1,12,8,15300,3,male,16,15,15,25,12,50,47,12,10,15,12,43.221,120000,1,1,4,1,4,1,1,4,4,4
348,1,1,1,12,12,49000,3,male,12,16,20,29,11,38,48,21,15,19,11,36.155,164307,1,1,4,1,4,1,1,4,4,4
350,1,1,1,12,12,49000,3,male,17,17,15,25,12,32,41,14,16,13,12,47.18,100000,1,2,4,1,4,1,1,3,4,4
351,1,1,1,12,16,35000,3,male,12,19,9,26,8,32,17,5,7,8,10,19.021,39000,1,2,3,2,3,2,2,3,3,3
354,1,1,1,12,12,21975,3,female,12,20,23,34,12,42,60,15,15,14,16,65.997,9600,2,2,4,2,4,2,2,4,4,4
355,1,1,1,12,12,21975,3,male,13,17,16,27,10,34,47,16,13,21,13,55.481,120000,1,1,4,1,4,1,2,4,4,4
356,1,1,1,12,12,25000,3,male,11,19,17,30,11,39,49,20,7,15,11,41.794,50000,1,1,4,1,4,1,1,4,4,4
357,1,1,1,12,13,25000,3,male,16,18,14,34,14,44,45,8,13,12,11,68.746,80000,2,2,3,2,3,2,2,3,3,3
358,1,1,1,12,14,40000,3,male,16,16,14,25,11,31,37,12,8,14,8,28.374,110000,1,2,3,1,4,1,1,4,2,3
359,1,1,1,14,13,30000,3,female,16,10,9,26,13,43,54,12,8,9,6,37.74,60000,2,2,4,1,3,2,2,3,3,3
360,1,1,1,16,16,45000,3,female,19,22,27,30,14,40,62,19,25,22,12,80.272,34000,1,1,4,2,4,2,2,3,3,4
362,1,1,1,12,13,12000,3,male,12,15,16,23,6,10,39,7,9,10,6,19.625,48000,1,1,3,2,3,3,3,3,2,2
367,1,1,1,16,16,30000,3,female,16,16,25,33,13,41,30,14,20,10,8,76.624,58000,1,1,4,1,4,2,2,3,2,3
369,1,1,1,12,19,46000,3,female,16,23,29,33,14,47,39,12,24,19,11,91.042,12000,2,2,3,2,3,2,2,3,3,3
370,1,1,1,12,18,46000,3,female,16,21,28,35,13,39,50,18,22,16,15,89.893,20000,1,1,4,1,4,2,2,4,4,4
373,0,1,1,4,4,30270,3,female,12,9,9,21,10,21,52,8,5,10,6,11.771,9000,2,2,3,2,3,2,2,3,3,3
375,0,1,1,4,4,30270,3,male,12,8,13,10,7,24,21,13,7,16,8,11.374,17500,1,1,4,1,4,2,1,4,4,4
376,1,1,1,12,12,8500,3,male,18,16,30,32,14,39,33,13,12,15,14,83.17,47000,1,1,4,1,4,1,1,4,4,4
377,0,1,1,9,12,5400,2,male,12,16,15,32,6,24,15,22,7,18,15,32.899,10000,1,1,4,1,4,2,2,3,4,4
381,0,1,1,10,12,12320,2,male,12,15,24,28,11,44,63,16,14,17,10,49.149,105000,1,1,4,1,4,1,1,3,3,3
385,1,1,1,10,8,21500,2,female,12,15,12,28,10,24,45,9,10,8,6,39.687,41500,1,1,4,1,4,1,1,4,4,4
386,1,1,1,10,7,21500,2,female,12,13,12,33,13,42,51,9,12,11,5,63.197,43000,1,1,4,2,4,1,2,2,3,3
388,0,1,1,12,14,11148,2,female,15,20,20,35,13,39,47,13,15,14,15,78.241,70000,2,2,3,3,3,2,2,3,3,3
391,0,1,1,12,12,14000,2,female,12,9,9,24,5,22,48,10,9,13,2,23.959,35000,1,1,3,2,4,2,2,3,3,3
392,1,1,1,11,12,29000,3,male,12,23,29,33,15,36,55,24,20,25,20,93.142,60000,2,2,3,2,3,2,2,3,2,3
393,1,1,1,11,12,29000,3,male,13,20,27,31,9,34,47,24,24,22,16,76.768,68000,1,2,4,2,4,4,3,1,1,1
399,1,1,1,12,10,25500,3,female,18,21,25,31,14,40,55,18,18,16,14,66.314,62500,1,1,4,1,4,1,1,4,4,4
400,1,1,1,12,10,25500,3,female,16,24,29,35,15,46,75,18,25,18,17,100,75000,1,1,4,1,4,1,1,4,1,4
401,1,1,0,11,11,20000,3,female,12,17,12,21,11,29,40,10,7,11,11,24.833,11500,1,1,4,1,4,1,3,3,3,1
405,0,1,1,12,15,20000,3,female,13,11,9,23,10,31,53,3,6,8,6,16.239,26000,1,1,4,1,2,2,2,2,2,2
408,1,1,1,12,12,35000,3,male,12,23,30,32,15,37,49,24,13,25,19,85.102,68000,2,2,3,2,3,2,2,3,3,3
409,1,1,1,16,16,3617,3,male,16,23,27,35,14,31,39,25,22,25,19,90.513,180733,1,1,4,1,4,2,2,3,3,3
410,1,1,0,12,12,16000,3,male,12,22,19,34,12,40,48,22,14,20,15,68.615,31085,2,2,4,2,4,3,2,3,3,4
411,1,0,0,11,12,20000,3,male,12,15,10,20,7,14,31,19,7,14,12,18.169,16000,2,2,2,2,2,3,3,2,2,2
414,1,1,0,17,16,9500,3,female,14,20,18,32,11,45,60,14,19,15,11,73.351,21000,1,1,4,1,4,2,2,4,3,3
418,1,1,1,13,12,6000,3,female,13,13,20,26,12,46,52,7,10,9,8,60.767,28000,1,1,4,1,4,1,1,4,4,4
422,1,1,1,16,20,63000,3,male,19,25,30,35,14,50,67,21,25,25,19,99.379,55000,1,1,4,1,3,2,2,3,3,4
426,1,1,1,12,12,23400,1,male,12,17,16,30,8,37,70,17,7,13,14,27.838,82000,2,2,4,2,4,2,2,4,4,4
433,0,1,1,12,11,19000,3,male,12,9,4,11,7,10,22,12,3,9,9,1.622,21528,2,2,3,2,3,2,2,2,2,2
434,0,1,1,8,8,15000,3,male,12,18,16,29,14,34,51,20,11,11,16,65.734,59000,1,1,4,2,4,2,2,4,4,4
437,1,1,1,8,10,19260,3,female,12,14,19,29,15,39,53,12,17,13,9,71.472,22000,1,1,4,1,4,2,2,3,3,4
438,1,1,1,10,12,12000,3,female,13,15,28,29,12,32,53,12,22,16,15,79.95,36000,1,2,3,2,3,2,2,2,3,4
439,1,1,0,12,8,18000,3,female,16,19,24,31,14,45,72,15,20,12,9,75.485,77000,1,1,4,2,4,1,4,4,4,4
442,1,1,1,12,8,14750,3,female,13,18,13,32,14,26,37,12,15,11,11,64.195,15000,1,1,4,2,4,2,2,4,4,4
443,1,1,0,16,14,10000,3,male,14,25,30,34,14,34,36,24,23,22,16,97.365,47000,1,1,4,1,4,1,1,4,4,4
444,1,1,0,13,16,40000,3,female,16,19,17,33,15,33,58,12,18,13,13,80.238,1500,1,1,3,2,4,2,2,4,4,3
445,1,1,1,14,16,40000,3,male,16,21,20,32,14,39,56,15,21,19,16,93.639,40000,1,1,4,1,4,1,1,4,4,4
446,0,1,1,12,11,7000,3,female,12,14,11,25,11,30,35,11,8,6,10,25.328,32000,2,2,3,2,3,2,2,3,2,3
449,1,1,1,12,12,30000,3,female,12,18,19,30,13,47,48,15,9,15,15,47.638,14000,1,1,4,1,4,1,1,4,4,4
453,1,1,1,12,12,30000,3,male,13,21,27,29,13,37,45,22,16,22,14,72.199,40300,2,2,3,2,3,2,2,2,3,3
456,1,1,1,12,14,37000,3,male,18,17,19,32,11,30,49,14,18,18,17,48.986,50000,1,1,4,1,4,1,1,4,4,4
457,1,1,1,15,14,35500,3,male,16,23,24,31,14,28,39,16,21,22,13,78.555,53000,1,1,4,1,4,1,1,4,4,4
458,1,1,1,12,12,40000,3,female,18,20,28,33,13,50,62,13,18,19,8,86.548,65000,2,2,3,2,3,3,3,3,2,2
459,1,1,1,12,12,20000,3,female,20,13,30,29,12,38,54,13,25,16,10,85.905,10000,1,1,4,1,4,2,2,3,2,3
460,1,1,1,12,10,10000,3,female,13,16,9,28,10,44,61,15,12,10,7,31.254,21400,2,2,4,2,4,2,2,4,4,4
461,1,1,1,12,18,40000,3,male,16,23,29,32,14,42,36,23,22,21,18,90.491,85000,1,1,4,1,4,2,2,3,3,3
464,1,1,1,12,12,26000,3,male,14,22,25,30,15,50,69,20,22,13,13,79.33,78000,1,1,4,1,4,2,2,3,3,2
465,1,1,0,12,12,17500,3,female,12,19,29,30,12,37,54,8,25,16,11,85.844,12000,1,1,3,2,3,2,1,3,4,4
467,1,1,1,12,18,70000,3,female,16,21,28,33,15,50,69,8,24,17,13,95.508,20000,1,1,4,2,4,2,2,4,4,4
470,1,1,0,8,6,5040,3,male,12,11,11,8,7,26,8,13,6,10,4,11.35,46000,2,2,3,2,2,2,2,2,3,3
479,1,1,1,12,12,24000,3,male,16,18,19,30,15,33,45,18,11,19,12,76.189,86000,2,2,3,2,3,2,2,3,3,3
480,1,1,1,12,12,30000,3,male,18,18,20,29,13,34,37,23,14,22,16,51.896,60000,2,2,3,2,3,2,2,3,3,3
481,1,1,1,16,16,30000,3,male,19,25,30,35,13,46,50,20,25,23,16,93.653,388725,2,2,3,2,3,2,2,2,3,3
482,1,1,1,16,16,50000,3,male,19,22,28,34,11,39,56,21,23,19,15,77.991,122000,2,2,3,2,3,2,2,3,3,3
484,1,1,1,12,10,52000,3,male,12,14,12,18,7,28,36,13,6,9,10,13.303,30000,1,1,4,1,4,1,1,1,4,4
485,1,1,1,12,12,24000,3,female,12,8,9,18,7,38,48,10,7,10,9,8.229,12000,1,1,4,1,4,2,2,4,4,4
486,1,1,1,12,14,24000,3,male,12,15,15,22,13,27,40,19,11,15,11,50.498,196424,1,1,4,1,4,1,2,3,4,4
489,1,1,0,12,18,30000,3,male,14,17,29,29,9,40,57,15,18,15,10,59.586,85000,1,1,4,1,4,1,2,3,3,4
491,0,1,1,12,11,46000,3,female,12,12,14,13,4,35,19,12,7,11,9,13.761,20000,1,1,4,1,4,1,1,4,4,4
495,1,1,1,12,12,30000,3,female,14,19,21,33,14,40,49,14,11,16,17,69.07,29821,2,2,3,2,3,2,3,2,2,3
496,1,1,1,12,12,30000,3,female,16,20,28,34,14,45,47,14,19,17,16,92.866,25000,1,1,4,1,4,1,2,4,4,4
499,1,1,1,10,11,40000,3,female,13,12,12,27,10,40,53,11,14,14,6,39.163,36000,2,1,4,2,4,2,2,3,4,4
