Age,Rate
23.5,29
23.6,34
23.6,28
23.8,30
23.9,26
24.0,40
24.0,25
24.1,20
24.1,35
24.2,22
24.4,19
24.4,43
24.5,31
24.5,40
24.6,20
24.7,34
24.9,27
25.0,26
25.0,18
25.1,25
25.1,27
25.2,31
25.2,37
25.3,48
25.3,38
25.6,39
25.6,25
25.7,31
25.7,39
25.8,30
25.9,19
26.0,25
26.2,31
26.3,24
26.8,21
26.9,39
26.9,22
27.0,29
27.1,25
27.1,28
27.1,31
27.1,32
27.2,27
27.3,30
27.3,38
27.3,36
27.3,28
27.4,30
27.5,31
27.8,35
27.9,37
28.0,28
28.0,31
28.1,29
28.1,30
28.1,24
28.2,30
28.3,23
28.3,20
28.4,25
28.4,31
28.5,34
28.6,26
28.7,31
28.9,32
28.9,39
29.1,25
29.2,20
29.2,22
29.3,24
29.3,31
29.5,28
29.6,32
29.8,29
29.8,24
29.9,33
30.0,31
30.0,32
30.1,23
30.2,28
30.4,33
30.8,28
30.9,27
30.9,25
30.9,20
31.0,18
31.0,28
31.0,30
31.1,38
31.1,28
31.1,29
31.3,23
31.3,26
31.5,19
31.5,22
31.8,26
31.9,23
31.9,26
31.9,27
32.0,27
32.1,34
32.2,29
32.2,20
32.2,21
32.2,31
32.3,27
32.3,25
32.4,28
32.6,24
32.6,29
32.7,24
32.7,28
32.8,19
32.8,31
32.9,35
33.0,24
33.5,28
33.5,25
33.8,21
33.9,31
34.0,27
34.0,28
34.1,28
34.1,29
34.3,29
34.4,23
34.5,24
34.6,27
34.7,23
34.8,22
35.0,19
35.0,22
35.0,23
35.3,26
35.3,21
35.4,28
35.6,31
35.9,21
35.9,22
36.0,24
36.0,27
36.0,31
