Region,MetropolitanStatus,Age,Sex,MaritalStatus,EdCode,Education,JobClass,WeeklyEarnings
Midwest,Not Metropolitan,47,Male,Not Married,41,AssocDegOccupVocat,FedGov,1153.84
Midwest,Metropolitan,32,Female,Not Married,41,AssocDegOccupVocat,FedGov,961.53
West,Metropolitan,32,Male,Not Married,42,AssocDegAcadem,FedGov,2884.61
South,Metropolitan,54,Male,Not Married,42,AssocDegAcadem,FedGov,1326.92
Northeast,Metropolitan,44,Female,Married,43,BachelorsDegree,FedGov,500
South,Metropolitan,50,Male,Married,40,SomeCollegeButNoDegree,FedGov,1088
South,Metropolitan,58,Male,Married,42,AssocDegAcadem,FedGov,1230
Midwest,Metropolitan,68,Male,Married,40,SomeCollegeButNoDegree,FedGov,2500
West,Metropolitan,45,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,960
Northeast,Metropolitan,42,Male,Married,42,AssocDegAcadem,FedGov,1000
Midwest,Metropolitan,62,Male,Married,44,MastersDegree,FedGov,1656
South,Metropolitan,42,Male,Married,40,SomeCollegeButNoDegree,FedGov,1153.84
South,Metropolitan,30,Male,Not Married,39,HighSchoolDiploma,FedGov,1679.8
South,Metropolitan,43,Male,Married,44,MastersDegree,FedGov,1730
Midwest,Metropolitan,57,Female,Married,40,SomeCollegeButNoDegree,FedGov,600
Northeast,Not Metropolitan,53,Male,Married,41,AssocDegOccupVocat,FedGov,1226
South,Not Metropolitan,41,Female,Married,39,HighSchoolDiploma,FedGov,807.69
South,Metropolitan,54,Male,Not Married,39,HighSchoolDiploma,FedGov,673.07
South,Metropolitan,55,Male,Married,44,MastersDegree,FedGov,2884.61
South,Metropolitan,49,Male,Married,44,MastersDegree,FedGov,2884.61
Midwest,Metropolitan,53,Male,Married,44,MastersDegree,FedGov,1326
Midwest,Metropolitan,61,Female,Not Married,39,HighSchoolDiploma,FedGov,1384
Midwest,Metropolitan,31,Female,Married,43,BachelorsDegree,FedGov,2000
West,Metropolitan,50,Male,Married,43,BachelorsDegree,FedGov,1500
South,Metropolitan,36,Male,Married,46,DoctorateDegree,FedGov,2884.61
South,Not Metropolitan,50,Male,Not Married,41,AssocDegOccupVocat,FedGov,673.07
Midwest,Not Metropolitan,55,Male,Married,41,AssocDegOccupVocat,FedGov,1000
South,Metropolitan,35,Male,Not Married,42,AssocDegAcadem,FedGov,1451.2
Midwest,Metropolitan,29,Male,Married,44,MastersDegree,FedGov,1153.84
West,Metropolitan,36,Male,Not Married,41,AssocDegOccupVocat,FedGov,480
South,Metropolitan,48,Male,Married,44,MastersDegree,FedGov,1500
Midwest,Metropolitan,55,Female,Married,43,BachelorsDegree,FedGov,869
South,Metropolitan,29,Male,Not Married,39,HighSchoolDiploma,FedGov,769.23
West,Not Metropolitan,53,Male,Married,43,BachelorsDegree,FedGov,923.07
Midwest,Metropolitan,60,Male,Married,42,AssocDegAcadem,FedGov,2884.61
West,Metropolitan,52,Male,Not Married,31,LessThanFirstGrade,FedGov,390
Northeast,Metropolitan,29,Male,Married,43,BachelorsDegree,FedGov,1730.76
South,Metropolitan,33,Male,Married,45,ProfSchoolDegree,FedGov,2115.38
West,Metropolitan,44,Female,Not Married,44,MastersDegree,FedGov,1923.07
Northeast,Metropolitan,50,Male,Not Married,39,HighSchoolDiploma,FedGov,880
West,Metropolitan,58,Male,Married,42,AssocDegAcadem,FedGov,1040.5
Northeast,Metropolitan,49,Male,Married,39,HighSchoolDiploma,FedGov,315
West,Metropolitan,23,Male,Not Married,39,HighSchoolDiploma,FedGov,500
Midwest,Metropolitan,52,Male,Married,43,BachelorsDegree,FedGov,1328
West,Metropolitan,63,Male,Married,46,DoctorateDegree,FedGov,2673.07
Northeast,Metropolitan,46,Female,Not Married,44,MastersDegree,FedGov,1538.46
South,Metropolitan,53,Male,Married,39,HighSchoolDiploma,FedGov,961
West,Metropolitan,58,Male,Married,43,BachelorsDegree,FedGov,1200
Northeast,Metropolitan,53,Male,Not Married,39,HighSchoolDiploma,FedGov,1064
West,Not Metropolitan,28,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,520
Midwest,Metropolitan,60,Female,Married,39,HighSchoolDiploma,FedGov,633
Midwest,Metropolitan,38,Male,Married,43,BachelorsDegree,FedGov,2403.84
South,Metropolitan,41,Male,Married,40,SomeCollegeButNoDegree,FedGov,639
South,Metropolitan,47,Male,Not Married,42,AssocDegAcadem,FedGov,1711.53
South,Metropolitan,62,Male,Not Married,39,HighSchoolDiploma,FedGov,1788.46
Midwest,Metropolitan,37,Male,Married,43,BachelorsDegree,FedGov,923.07
West,Metropolitan,53,Male,Not Married,43,BachelorsDegree,FedGov,1538.46
South,Metropolitan,51,Female,Not Married,39,HighSchoolDiploma,FedGov,1153.84
South,Metropolitan,46,Male,Not Married,45,ProfSchoolDegree,FedGov,1442
South,Metropolitan,56,Female,Married,43,BachelorsDegree,FedGov,2326.92
South,Metropolitan,42,Female,Not Married,39,HighSchoolDiploma,FedGov,560
South,Metropolitan,37,Male,Married,46,DoctorateDegree,FedGov,1596.15
West,Not Metropolitan,47,Female,Married,43,BachelorsDegree,FedGov,1057.69
South,Metropolitan,33,Male,Not Married,44,MastersDegree,FedGov,700
South,Metropolitan,57,Female,Married,44,MastersDegree,FedGov,1923
West,Not Identified,54,Male,Not Married,43,BachelorsDegree,FedGov,2884.61
Northeast,Not Metropolitan,57,Male,Not Married,44,MastersDegree,FedGov,710.88
Midwest,Metropolitan,50,Female,Married,43,BachelorsDegree,FedGov,800
West,Metropolitan,29,Male,Married,42,AssocDegAcadem,FedGov,884.61
Northeast,Metropolitan,57,Male,Married,39,HighSchoolDiploma,FedGov,2884.61
South,Metropolitan,54,Male,Married,40,SomeCollegeButNoDegree,FedGov,2150
Midwest,Metropolitan,43,Male,Not Married,39,HighSchoolDiploma,FedGov,450
South,Metropolitan,53,Male,Not Married,44,MastersDegree,FedGov,2057.69
West,Metropolitan,34,Female,Not Married,43,BachelorsDegree,FedGov,2307.69
Midwest,Not Metropolitan,68,Male,Not Married,43,BachelorsDegree,FedGov,675.2
South,Metropolitan,53,Male,Married,44,MastersDegree,FedGov,1057.69
Midwest,Metropolitan,53,Male,Not Married,39,HighSchoolDiploma,FedGov,961.53
South,Metropolitan,30,Female,Married,40,SomeCollegeButNoDegree,FedGov,961
Midwest,Not Metropolitan,43,Female,Not Married,39,HighSchoolDiploma,FedGov,987
West,Not Metropolitan,59,Male,Married,39,HighSchoolDiploma,FedGov,900
Midwest,Metropolitan,23,Female,Not Married,43,BachelorsDegree,FedGov,553.2
South,Metropolitan,47,Female,Married,44,MastersDegree,FedGov,1480.76
West,Metropolitan,30,Male,Not Married,44,MastersDegree,FedGov,1538.46
West,Metropolitan,50,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,480
South,Metropolitan,59,Female,Married,43,BachelorsDegree,FedGov,1840
Northeast,Metropolitan,56,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,1346.15
South,Metropolitan,56,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,1600
Midwest,Not Metropolitan,60,Female,Not Married,43,BachelorsDegree,FedGov,750
South,Metropolitan,50,Male,Not Married,43,BachelorsDegree,FedGov,1576.92
South,Metropolitan,45,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,750
Northeast,Metropolitan,57,Male,Married,39,HighSchoolDiploma,FedGov,1040
Northeast,Metropolitan,58,Male,Married,44,MastersDegree,FedGov,2019.23
West,Metropolitan,32,Male,Not Married,42,AssocDegAcadem,FedGov,2200
South,Not Metropolitan,26,Male,Not Married,39,HighSchoolDiploma,FedGov,769
West,Metropolitan,38,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,540
Midwest,Metropolitan,58,Female,Married,40,SomeCollegeButNoDegree,FedGov,630
Northeast,Metropolitan,33,Female,Married,40,SomeCollegeButNoDegree,FedGov,560
West,Metropolitan,48,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,500
South,Metropolitan,56,Female,Married,39,HighSchoolDiploma,FedGov,440
Midwest,Metropolitan,32,Female,Not Married,44,MastersDegree,FedGov,1038.46
Northeast,Metropolitan,56,Male,Married,39,HighSchoolDiploma,FedGov,2076.92
South,Metropolitan,64,Male,Married,43,BachelorsDegree,FedGov,1903.84
West,Metropolitan,62,Male,Married,37,EleventhGrade,FedGov,2884.61
South,Metropolitan,33,Male,Not Married,39,HighSchoolDiploma,FedGov,1461.53
Midwest,Metropolitan,49,Male,Married,40,SomeCollegeButNoDegree,FedGov,1440
Midwest,Metropolitan,38,Male,Not Married,43,BachelorsDegree,FedGov,961.53
Northeast,Not Metropolitan,57,Female,Married,41,AssocDegOccupVocat,FedGov,587.1
South,Metropolitan,31,Male,Not Married,44,MastersDegree,FedGov,1307.69
West,Metropolitan,51,Male,Married,39,HighSchoolDiploma,FedGov,980.76
Northeast,Metropolitan,76,Male,Married,39,HighSchoolDiploma,FedGov,1222.51
South,Metropolitan,38,Female,Married,43,BachelorsDegree,FedGov,615.38
South,Metropolitan,28,Male,Not Married,43,BachelorsDegree,FedGov,961.53
South,Metropolitan,52,Female,Not Married,44,MastersDegree,FedGov,2211.53
West,Metropolitan,51,Male,Not Married,31,LessThanFirstGrade,FedGov,390
Northeast,Metropolitan,41,Male,Not Married,39,HighSchoolDiploma,FedGov,787.6
West,Metropolitan,61,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,600
South,Metropolitan,39,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,769
Northeast,Metropolitan,44,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,650
West,Metropolitan,28,Male,Not Married,42,AssocDegAcadem,FedGov,1100
South,Metropolitan,55,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,961
South,Metropolitan,49,Male,Married,46,DoctorateDegree,FedGov,2884.61
Midwest,Metropolitan,34,Male,Married,43,BachelorsDegree,FedGov,1634.61
South,Metropolitan,56,Male,Married,43,BachelorsDegree,FedGov,1269
South,Metropolitan,59,Male,Married,43,BachelorsDegree,FedGov,884.61
Midwest,Metropolitan,49,Female,Married,39,HighSchoolDiploma,FedGov,711.53
South,Metropolitan,41,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,961
West,Metropolitan,65,Female,Married,44,MastersDegree,FedGov,1000
West,Not Metropolitan,52,Male,Not Married,45,ProfSchoolDegree,FedGov,2884.61
West,Metropolitan,53,Female,Married,43,BachelorsDegree,FedGov,1057.69
South,Metropolitan,52,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,788.46
West,Metropolitan,36,Female,Married,40,SomeCollegeButNoDegree,FedGov,850
Northeast,Metropolitan,57,Male,Married,44,MastersDegree,FedGov,2250
Northeast,Metropolitan,52,Male,Married,40,SomeCollegeButNoDegree,FedGov,2884.61
South,Metropolitan,46,Male,Married,44,MastersDegree,FedGov,1673.07
South,Metropolitan,49,Female,Married,43,BachelorsDegree,FedGov,1096.15
South,Metropolitan,30,Male,Married,43,BachelorsDegree,FedGov,1245
South,Metropolitan,24,Male,Not Married,42,AssocDegAcadem,FedGov,440
Northeast,Metropolitan,40,Male,Not Married,39,HighSchoolDiploma,FedGov,1526
Midwest,Metropolitan,56,Male,Married,43,BachelorsDegree,FedGov,1538
South,Metropolitan,28,Female,Not Married,43,BachelorsDegree,FedGov,1634.61
South,Metropolitan,25,Male,Not Married,43,BachelorsDegree,FedGov,538.46
South,Metropolitan,41,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,576
South,Metropolitan,35,Male,Not Married,44,MastersDegree,FedGov,882.69
South,Metropolitan,32,Male,Married,44,MastersDegree,FedGov,2076.92
South,Metropolitan,55,Female,Married,40,SomeCollegeButNoDegree,FedGov,1346.15
South,Metropolitan,60,Female,Married,43,BachelorsDegree,FedGov,2500
South,Metropolitan,56,Male,Married,43,BachelorsDegree,FedGov,1867.04
Midwest,Metropolitan,29,Male,Married,44,MastersDegree,FedGov,1384
South,Metropolitan,56,Female,Not Married,39,HighSchoolDiploma,FedGov,1050
Northeast,Metropolitan,56,Female,Married,39,HighSchoolDiploma,FedGov,634.61
South,Metropolitan,31,Male,Married,39,HighSchoolDiploma,FedGov,340
Northeast,Not Metropolitan,50,Female,Married,40,SomeCollegeButNoDegree,FedGov,878.8
West,Metropolitan,47,Male,Married,40,SomeCollegeButNoDegree,FedGov,1482
Midwest,Metropolitan,56,Female,Not Married,44,MastersDegree,FedGov,2076.92
South,Metropolitan,42,Male,Married,40,SomeCollegeButNoDegree,FedGov,923.07
South,Metropolitan,45,Male,Married,43,BachelorsDegree,FedGov,1192
West,Metropolitan,53,Female,Not Married,43,BachelorsDegree,FedGov,2153.84
South,Metropolitan,22,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,350
Northeast,Metropolitan,45,Male,Married,43,BachelorsDegree,FedGov,820
South,Metropolitan,57,Male,Married,41,AssocDegOccupVocat,FedGov,880
South,Metropolitan,40,Male,Married,44,MastersDegree,FedGov,2500
West,Metropolitan,51,Male,Married,39,HighSchoolDiploma,FedGov,1192.3
South,Metropolitan,25,Female,Not Married,43,BachelorsDegree,FedGov,480
West,Metropolitan,56,Female,Not Married,39,HighSchoolDiploma,FedGov,731.4
Midwest,Metropolitan,22,Male,Not Married,39,HighSchoolDiploma,FedGov,380
Northeast,Metropolitan,28,Male,Not Married,43,BachelorsDegree,FedGov,1100
West,Metropolitan,24,Male,Married,40,SomeCollegeButNoDegree,FedGov,672
West,Metropolitan,32,Female,Not Married,46,DoctorateDegree,FedGov,1961.53
South,Metropolitan,39,Female,Not Married,39,HighSchoolDiploma,FedGov,1384.61
Northeast,Metropolitan,40,Male,Not Married,46,DoctorateDegree,FedGov,2884.61
South,Metropolitan,69,Female,Married,39,HighSchoolDiploma,FedGov,826.92
Northeast,Metropolitan,46,Male,Married,40,SomeCollegeButNoDegree,FedGov,1307.69
Northeast,Metropolitan,54,Male,Married,44,MastersDegree,FedGov,2115.38
South,Metropolitan,52,Female,Married,43,BachelorsDegree,FedGov,2288
South,Metropolitan,56,Male,Married,44,MastersDegree,FedGov,1073.6
West,Metropolitan,53,Female,Married,40,SomeCollegeButNoDegree,FedGov,1015.38
South,Not Metropolitan,29,Male,Married,44,MastersDegree,FedGov,1201.92
South,Metropolitan,57,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,884.61
Northeast,Metropolitan,56,Male,Married,44,MastersDegree,FedGov,2884.61
Midwest,Metropolitan,22,Female,Not Married,42,AssocDegAcadem,FedGov,703.05
Midwest,Metropolitan,36,Female,Married,43,BachelorsDegree,FedGov,1894.23
Midwest,Metropolitan,44,Female,Married,40,SomeCollegeButNoDegree,FedGov,1028.84
South,Metropolitan,50,Male,Not Married,39,HighSchoolDiploma,FedGov,673.07
Midwest,Not Metropolitan,49,Female,Married,39,HighSchoolDiploma,FedGov,550
South,Metropolitan,30,Male,Married,42,AssocDegAcadem,FedGov,500
South,Metropolitan,54,Male,Married,41,AssocDegOccupVocat,FedGov,500
South,Metropolitan,24,Male,Not Married,43,BachelorsDegree,FedGov,1365.38
Midwest,Not Metropolitan,51,Female,Married,41,AssocDegOccupVocat,FedGov,751.6
West,Metropolitan,21,Male,Not Married,39,HighSchoolDiploma,FedGov,720
South,Metropolitan,56,Female,Married,39,HighSchoolDiploma,FedGov,640
South,Metropolitan,62,Male,Married,40,SomeCollegeButNoDegree,FedGov,892.5
Northeast,Not Metropolitan,49,Male,Married,39,HighSchoolDiploma,FedGov,878.8
South,Metropolitan,27,Male,Not Married,43,BachelorsDegree,FedGov,1607.14
West,Not Metropolitan,25,Female,Not Married,43,BachelorsDegree,FedGov,600
Northeast,Metropolitan,54,Male,Not Married,39,HighSchoolDiploma,FedGov,1312
Northeast,Metropolitan,49,Male,Married,42,AssocDegAcadem,FedGov,1688
South,Metropolitan,57,Male,Married,39,HighSchoolDiploma,FedGov,880
Midwest,Metropolitan,55,Female,Married,43,BachelorsDegree,FedGov,1115.38
South,Metropolitan,28,Male,Not Married,44,MastersDegree,FedGov,450
South,Not Metropolitan,31,Female,Not Married,43,BachelorsDegree,FedGov,769.23
South,Metropolitan,51,Male,Married,43,BachelorsDegree,FedGov,2500
South,Metropolitan,60,Male,Married,44,MastersDegree,FedGov,2884.61
West,Not Metropolitan,40,Female,Married,39,HighSchoolDiploma,FedGov,325
South,Metropolitan,64,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,1057.69
South,Metropolitan,30,Female,Not Married,43,BachelorsDegree,FedGov,1250
South,Metropolitan,54,Female,Not Married,43,BachelorsDegree,FedGov,2500
South,Metropolitan,39,Female,Not Married,46,DoctorateDegree,FedGov,1538.46
Northeast,Metropolitan,25,Female,Married,39,HighSchoolDiploma,FedGov,519
South,Metropolitan,56,Female,Married,39,HighSchoolDiploma,FedGov,550
South,Metropolitan,44,Male,Married,43,BachelorsDegree,FedGov,2019.23
South,Metropolitan,35,Female,Married,44,MastersDegree,FedGov,345
South,Metropolitan,46,Male,Married,43,BachelorsDegree,FedGov,2115.38
Northeast,Metropolitan,59,Male,Married,35,NinthGrade,FedGov,900
South,Metropolitan,39,Female,Married,39,HighSchoolDiploma,FedGov,408.4
Midwest,Not Metropolitan,60,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,1000
South,Metropolitan,32,Female,Not Married,43,BachelorsDegree,FedGov,1615.38
South,Metropolitan,27,Male,Not Married,39,HighSchoolDiploma,FedGov,769.23
Midwest,Metropolitan,29,Female,Not Married,44,MastersDegree,FedGov,1576.92
South,Metropolitan,55,Male,Married,40,SomeCollegeButNoDegree,FedGov,1250
Midwest,Metropolitan,57,Female,Not Married,39,HighSchoolDiploma,FedGov,1338.46
Midwest,Metropolitan,36,Female,Not Married,46,DoctorateDegree,FedGov,1826.92
South,Metropolitan,38,Female,Married,44,MastersDegree,FedGov,1538.46
Northeast,Metropolitan,53,Female,Married,39,HighSchoolDiploma,FedGov,1080
Midwest,Metropolitan,58,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,1277.5
Northeast,Metropolitan,40,Male,Married,37,EleventhGrade,FedGov,390
Midwest,Not Metropolitan,58,Male,Not Married,43,BachelorsDegree,FedGov,800
West,Not Metropolitan,55,Female,Not Married,44,MastersDegree,FedGov,923.07
South,Metropolitan,28,Male,Not Married,45,ProfSchoolDegree,FedGov,1442.3
Northeast,Metropolitan,52,Male,Married,43,BachelorsDegree,FedGov,1057
South,Metropolitan,29,Female,Married,43,BachelorsDegree,FedGov,365
West,Metropolitan,43,Male,Married,42,AssocDegAcadem,FedGov,560
West,Metropolitan,53,Female,Married,39,HighSchoolDiploma,FedGov,1269.23
Northeast,Metropolitan,44,Male,Not Married,43,BachelorsDegree,FedGov,2438
South,Metropolitan,52,Male,Married,44,MastersDegree,FedGov,2153.84
Midwest,Metropolitan,34,Female,Married,45,ProfSchoolDegree,FedGov,1538.46
West,Metropolitan,44,Female,Not Married,44,MastersDegree,FedGov,923.07
Midwest,Metropolitan,24,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,536
West,Metropolitan,50,Female,Married,40,SomeCollegeButNoDegree,FedGov,500
South,Metropolitan,37,Male,Married,41,AssocDegOccupVocat,FedGov,1346.15
South,Metropolitan,55,Female,Not Married,44,MastersDegree,FedGov,1923.07
South,Metropolitan,40,Male,Married,44,MastersDegree,FedGov,2596.15
West,Metropolitan,56,Female,Not Married,43,BachelorsDegree,FedGov,900
Northeast,Metropolitan,40,Male,Married,43,BachelorsDegree,FedGov,1096
South,Not Metropolitan,56,Male,Married,43,BachelorsDegree,FedGov,1884.61
South,Metropolitan,67,Female,Not Married,42,AssocDegAcadem,FedGov,900
West,Not Metropolitan,43,Male,Married,39,HighSchoolDiploma,FedGov,2000
West,Metropolitan,57,Female,Not Married,43,BachelorsDegree,FedGov,1022.03
Midwest,Metropolitan,58,Female,Not Married,36,TenthGrade,FedGov,468
Northeast,Metropolitan,53,Male,Married,43,BachelorsDegree,FedGov,1057
South,Metropolitan,56,Male,Not Married,43,BachelorsDegree,FedGov,1057
South,Metropolitan,31,Male,Not Married,44,MastersDegree,FedGov,1250
West,Metropolitan,65,Male,Not Married,43,BachelorsDegree,FedGov,884.61
Midwest,Metropolitan,56,Female,Married,39,HighSchoolDiploma,FedGov,952
South,Metropolitan,47,Female,Not Married,44,MastersDegree,FedGov,1500
South,Metropolitan,57,Female,Married,46,DoctorateDegree,FedGov,2692.3
South,Metropolitan,54,Female,Not Married,39,HighSchoolDiploma,FedGov,529.92
Northeast,Metropolitan,53,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,1673.07
South,Metropolitan,54,Female,Married,43,BachelorsDegree,FedGov,1523
South,Metropolitan,48,Female,Married,40,SomeCollegeButNoDegree,FedGov,807.69
Midwest,Metropolitan,24,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,600
South,Metropolitan,27,Male,Married,43,BachelorsDegree,FedGov,1057
South,Metropolitan,39,Male,Married,43,BachelorsDegree,FedGov,1500
West,Metropolitan,64,Female,Married,40,SomeCollegeButNoDegree,FedGov,615
South,Metropolitan,31,Female,Not Married,43,BachelorsDegree,FedGov,903.84
Midwest,Metropolitan,55,Male,Married,43,BachelorsDegree,FedGov,1846.15
Midwest,Metropolitan,42,Male,Married,43,BachelorsDegree,FedGov,1067.3
South,Metropolitan,50,Male,Married,43,BachelorsDegree,FedGov,1200
West,Metropolitan,22,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,420
West,Metropolitan,61,Male,Married,40,SomeCollegeButNoDegree,FedGov,768
South,Metropolitan,51,Male,Married,40,SomeCollegeButNoDegree,FedGov,644.23
South,Metropolitan,38,Female,Married,45,ProfSchoolDegree,FedGov,468
Midwest,Not Metropolitan,41,Female,Married,39,HighSchoolDiploma,FedGov,750
South,Not Metropolitan,60,Female,Married,39,HighSchoolDiploma,FedGov,1153.84
South,Metropolitan,44,Female,Married,43,BachelorsDegree,FedGov,1480.76
South,Metropolitan,44,Female,Married,45,ProfSchoolDegree,FedGov,2115.38
West,Metropolitan,39,Male,Married,40,SomeCollegeButNoDegree,FedGov,1000
South,Metropolitan,27,Male,Not Married,43,BachelorsDegree,FedGov,1000
South,Metropolitan,61,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,730
South,Metropolitan,54,Male,Not Married,43,BachelorsDegree,FedGov,1288.46
Midwest,Metropolitan,51,Female,Married,40,SomeCollegeButNoDegree,FedGov,1000
West,Metropolitan,36,Female,Not Married,39,HighSchoolDiploma,FedGov,620
South,Metropolitan,64,Female,Not Married,43,BachelorsDegree,FedGov,2500
South,Metropolitan,30,Female,Married,44,MastersDegree,FedGov,2019.23
West,Metropolitan,56,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,576.92
Midwest,Metropolitan,36,Female,Married,43,BachelorsDegree,FedGov,790
South,Metropolitan,55,Male,Married,40,SomeCollegeButNoDegree,FedGov,960
South,Metropolitan,41,Male,Married,44,MastersDegree,FedGov,971
South,Metropolitan,38,Female,Not Married,39,HighSchoolDiploma,FedGov,1000
South,Metropolitan,49,Female,Married,40,SomeCollegeButNoDegree,FedGov,1153
West,Metropolitan,29,Male,Married,39,HighSchoolDiploma,FedGov,1442.3
South,Not Metropolitan,59,Male,Not Married,43,BachelorsDegree,FedGov,1750
South,Metropolitan,67,Female,Married,40,SomeCollegeButNoDegree,FedGov,1480
