Subject,Arith,Word,Parag,Math,AFQT,Income2005
453,27,29,13,16,72.199,40300
456,19,32,11,18,48.986,50000
457,24,31,14,21,78.555,53000
458,28,33,13,18,86.548,65000
459,30,29,12,25,85.905,10000
460,9,28,10,12,31.254,21400
461,29,32,14,22,90.491,85000
464,25,30,15,22,79.33,78000
465,29,30,12,25,85.844,12000
467,28,33,15,24,95.508,20000
470,11,8,7,6,11.35,46000
479,19,30,15,11,76.189,86000
480,20,29,13,14,51.896,60000
481,30,35,13,25,93.653,388725
482,28,34,11,23,77.991,122000
484,12,18,7,6,13.303,30000
485,9,18,7,7,8.229,12000
486,15,22,13,11,50.498,196424
489,29,29,9,18,59.586,85000
491,14,13,4,7,13.761,20000
495,21,33,14,11,69.07,29821
496,28,34,14,19,92.866,25000
499,12,27,10,14,39.163,36000
500,18,29,12,16,64.295,53000
501,20,35,15,10,78.966,25000
502,26,29,13,17,71.792,90000
503,14,23,15,15,56.773,23000
505,14,25,7,9,26.498,28000
506,14,28,12,10,43.741,43000
520,11,23,8,15,26.381,73000
521,14,23,12,18,37.473,80000
527,21,34,14,10,61.184,50000
533,16,30,15,7,55.185,5000
535,11,23,10,6,33.208,20000
540,12,15,8,5,16.138,60000
543,9,28,7,7,21.108,98000
547,18,25,13,12,45.744,69000
548,22,31,12,15,72.071,15000
550,25,35,13,19,81.039,22000
553,30,35,14,24,99.154,10000
554,25,29,14,23,91.427,1100
556,27,34,13,25,86.423,147000
557,30,35,14,25,99.324,1200
558,23,31,13,23,83.317,36000
560,17,31,13,14,62.344,78500
561,19,35,13,19,76.633,42000
562,21,29,12,16,64.432,55000
564,14,32,10,11,33.668,5000
565,11,27,14,8,35.041,55000
583,27,32,13,21,73.326,36000
585,10,21,9,11,25.699,25000
594,17,24,13,9,53.342,80000
597,3,11,5,6,2.826,500
604,16,29,13,13,62.762,40000
606,15,31,13,13,72.782,35000
608,23,33,15,24,88.693,27000
609,10,31,13,8,45.803,32000
612,15,32,13,15,48.877,46136
613,18,21,8,10,35.747,95000
616,9,8,5,8,9.141,25000
622,16,21,13,14,52.674,36500
631,12,20,10,11,22.379,18000
632,7,13,5,2,1.31,4000
636,8,27,13,8,34.526,40000
639,13,28,13,15,60.396,35000
640,19,29,14,20,77.715,42000
645,28,31,13,25,86.137,163172
646,5,11,2,6,1.79,12500
647,17,32,9,15,43.472,61000
649,28,35,12,21,85.54,110000
650,22,34,13,21,77.736,58000
653,30,33,14,22,90.095,96000
659,25,19,10,15,39.786,75000
662,20,28,12,20,70.5,22000
663,18,33,12,19,76.234,85000
664,17,29,12,12,47.912,43000
665,15,28,11,19,59.991,30000
667,21,29,10,23,70.912,58000
669,26,30,14,17,79.232,29000
671,24,29,13,21,79.303,10000
674,6,11,5,5,2.926,50000
675,10,6,3,3,3.663,8400
679,13,12,5,5,8.563,20000
681,8,9,6,7,6.381,5000
683,6,26,14,14,45.808,52000
684,16,18,9,11,29.001,72000
686,20,34,12,19,79.313,57000
688,13,27,12,7,41.58,23000
692,14,23,8,9,36.055,45000
697,12,26,7,7,14.729,50000
701,4,21,8,4,10.566,9800
703,18,26,10,9,40.97,3000
704,19,27,12,14,46.092,56000
707,11,30,8,7,31.469,48000
709,10,25,10,8,26.594,41167
711,22,16,7,18,38.582,40000
712,30,30,14,19,80.637,41000
713,11,17,6,8,14.274,11000
714,14,19,5,9,26.688,20000
717,10,26,8,9,30.429,40000
719,8,15,5,7,6.818,48000
720,18,20,12,9,36.158,35000
721,13,21,5,9,24.725,22000
722,20,27,13,9,38.013,57500
723,12,24,11,6,26.792,25000
724,16,34,15,21,78.513,20000
725,29,33,14,25,97.319,74000
728,6,19,7,4,20.133,30000
730,22,28,15,12,70.604,100000
731,24,28,11,12,46.018,40000
732,19,29,13,9,51.017,35000
733,15,18,10,3,27.489,28820
745,16,22,11,12,31.508,41000
746,24,27,13,19,65.278,35500
747,24,25,12,21,70.368,50300
748,12,24,12,8,23.929,34000
751,7,21,10,11,28.746,55000
752,28,31,14,20,80.463,120000
755,20,26,14,8,54.906,37000
756,11,17,9,6,20.084,26000
757,15,21,9,10,31.118,35000
758,10,12,7,7,11.905,20000
761,15,34,13,8,55.614,25000
762,15,22,14,12,48.786,12000
763,19,21,13,7,34.18,23000
764,12,18,11,8,31.809,21000
769,12,33,8,12,34.236,3000
772,20,29,12,12,52.482,74000
774,11,33,14,10,53.534,35000
776,28,34,14,25,97.088,115000
777,24,28,13,22,79.85,85000
778,22,33,14,18,89.794,30000
779,14,26,11,17,60.353,26000
784,20,24,7,12,49.537,30000
789,14,23,14,9,42.361,15000
792,13,20,10,11,28.537,30000
793,23,34,11,19,61.347,30000
796,28,35,15,19,94.119,58000
797,19,32,13,12,68.375,72000
799,12,26,11,6,34.051,53000
800,11,28,11,7,32.078,54000
801,13,29,8,6,25.324,19327
802,11,23,9,6,17.362,30000
804,14,21,11,9,40.982,16000
806,11,16,7,6,13.465,35000
807,24,25,13,23,76.332,70000
810,25,34,15,22,91.719,115000
811,22,30,14,16,63.642,16000
812,29,25,15,24,86.99,10500
813,29,33,13,24,85.915,33000
814,9,28,11,6,19.541,16000
815,27,25,13,20,66.54,23400
816,9,30,15,7,39.343,29000
817,20,31,13,17,81.325,117000
818,22,16,11,10,35.569,85000
820,18,23,13,14,49.039,85000
821,30,35,14,24,99.18,34000
825,25,35,14,22,89.264,73000
827,28,34,14,20,92.042,169541
829,16,29,12,13,38.888,66000
832,12,22,10,11,38.997,20000
835,10,19,10,8,25.338,25000
839,4,15,7,4,4.208,30000
843,14,25,11,7,34.453,3000
847,15,24,11,7,22.976,67500
849,15,24,9,13,36.881,20000
850,27,31,13,23,82.62,85000
851,21,28,12,17,55.782,48000
854,12,32,11,11,50.954,22000
856,26,32,13,19,83.737,25000
859,6,29,10,6,23.25,46000
860,23,29,13,18,69.283,37500
861,15,31,11,9,49.173,29000
862,22,30,11,9,41.383,25000
863,23,19,10,11,38.088,125000
866,11,22,9,7,27.315,36000
872,24,35,10,21,71.872,176354
874,27,33,15,22,94.976,90000
875,12,30,11,4,25.657,40000
878,20,30,10,16,68.575,50000
879,18,28,14,18,79.765,52900
881,25,33,14,18,80.898,8000
882,18,28,12,17,64.498,42000
883,21,28,12,14,75.516,30000
884,29,35,15,22,98.089,52000
885,27,35,11,21,81.33,37000
888,9,26,10,10,21.826,50000
889,18,29,13,12,45.056,24000
890,29,31,13,25,82.756,183306
891,26,25,9,15,42.935,36000
896,30,34,14,25,98.804,15000
898,24,27,12,24,79.576,40000
899,29,35,12,19,83.208,31000
902,25,29,14,19,82.49,64320
906,26,34,14,22,93.511,90000
907,27,35,13,25,93.432,7000
908,22,31,14,19,82.465,37000
909,13,27,12,17,61.363,31330
912,29,34,13,24,91.404,34000
914,21,35,12,17,75.363,71500
915,28,33,13,22,92.122,57000
916,27,33,13,23,82.189,20000
920,27,33,12,24,86.877,120000
921,9,15,2,6,7.983,65000
922,17,28,14,15,55.885,90000
929,21,28,14,13,75.258,42000
932,6,23,13,7,26.769,30000
935,14,25,13,11,34.62,9800
936,15,26,14,18,58.404,15000
937,22,29,14,21,84.974,75000
938,11,23,9,7,21.712,38500
941,16,28,11,18,44.224,80000
942,20,24,13,15,55.978,43000
944,30,35,14,24,97.299,54000
945,17,28,14,13,51.523,37300
947,27,33,13,22,77.263,64000
949,16,26,12,19,64.067,70000
950,24,33,14,22,91.63,30000
951,11,24,12,16,52.109,72000
952,24,19,12,20,63.71,23600
955,18,31,10,14,45.546,40000
956,14,25,13,10,55.543,15000
958,24,29,7,9,41.439,35000
959,30,32,15,24,96.442,170247
960,28,32,15,20,88.979,150000
961,25,32,15,21,88.914,140000
962,18,34,13,12,67.25,45500
963,14,30,11,13,51.978,65000
964,14,19,8,7,28.308,48000
966,10,18,7,9,18.824,44000
967,12,13,4,11,17.834,56000
968,23,23,11,11,43.365,65000
969,19,31,13,9,44.379,31000
970,21,32,12,10,57.553,110000
971,14,31,10,14,53.275,3000
972,15,30,12,11,57.315,38000
973,23,26,11,19,65.073,42000
974,19,32,11,21,66.668,55000
976,27,33,11,21,62.466,51000
990,25,30,10,17,60.136,39000
996,12,24,8,11,30.891,60000
997,18,31,14,13,78.723,46000
999,20,25,13,17,67.602,27000
1003,16,30,11,15,61.145,70000
1004,11,19,8,12,27.973,56000
1007,23,32,12,11,47.45,125000
1011,23,19,5,11,34.339,45000
1013,25,29,15,24,91.199,25000
1019,29,33,15,25,100,29000
1020,30,34,14,25,98.236,84000
1029,12,14,9,9,26.365,17000
1034,12,10,6,7,12.727,23000
1038,19,25,11,21,64.065,24000
1039,21,29,13,22,71.23,44000
1042,15,25,8,11,28.954,26000
1043,7,9,5,5,3.732,16000
1044,7,9,4,7,4.871,25000
1046,19,27,14,14,70.337,63
1048,4,17,5,5,3.156,13000
1049,28,30,15,17,84.635,51000
1051,29,34,11,25,87.785,67000
1052,27,31,14,24,89.341,183467
1053,22,26,13,17,73.413,394058
1056,6,17,11,8,15.555,24000
1058,11,25,10,7,34.012,47000
1060,15,30,10,8,33.045,12000
1062,29,26,14,15,58.977,115000
1063,19,29,12,6,45.58,20518
1065,21,31,14,22,70.03,20160
1068,7,7,2,6,0.958,12000
1071,9,8,10,5,8.758,12649
1072,14,19,9,15,35.78,65000
1076,8,21,7,11,43.456,40000
1078,20,35,15,22,88.023,61000
1080,19,23,13,19,68.497,7500
1081,19,30,14,21,76.163,38262
1082,25,31,9,22,71.597,70000
1085,16,34,13,10,65.317,36000
1086,15,35,14,16,77.119,67500
1089,4,12,5,4,1.672,35000
1090,3,20,7,7,12.621,1300
1091,13,33,13,9,51.083,24000
1092,13,33,12,15,59.139,15000
1093,16,32,12,10,50.614,35000
1096,19,14,1,9,15.428,48000
1097,28,34,14,24,97.926,59000
1098,30,34,15,24,98.356,108000
1101,28,32,15,20,89.998,50000
1102,12,33,13,11,44.711,429
1104,23,30,13,16,55.829,90000
1105,21,31,12,16,65.903,61000
1106,20,35,13,19,87.203,35000
1111,20,26,13,12,44.401,44000
1114,16,24,9,8,31.751,50000
1116,12,23,10,11,31.89,30000
1118,10,22,10,7,22.955,80000
1122,29,35,15,25,99.147,37000
1130,13,34,13,6,50.405,5000
1134,19,33,10,16,65.998,53000
1138,26,31,12,13,58.192,58000
1139,17,34,13,17,72.569,60000
1141,6,27,11,4,17.614,30000
1143,25,28,15,23,83.528,180124
1144,26,27,14,22,79.836,248713
1147,21,27,13,15,58.247,6500
1148,3,16,5,5,2.509,31000
1153,7,17,3,4,4.843,2300
1155,10,17,9,11,25.334,52000
1156,20,27,13,12,39.245,25000
1157,22,30,13,16,70.82,63000
1158,12,20,6,13,27.018,31000
1159,16,19,12,15,45.679,30000
1160,8,22,9,14,34.867,20000
1163,11,20,10,11,20.274,25000
1166,10,29,12,15,42.776,20609
1169,23,32,11,14,53.364,130000
1176,14,24,13,14,62.064,77000
1179,22,29,13,16,74.366,35000
1181,21,32,13,13,64.846,150000
1182,27,33,15,21,91.545,48000
1184,29,35,13,20,90.731,95000
1185,30,34,15,25,100,268384
1186,25,27,6,21,58.93,140000
1187,25,33,14,23,86.394,39000
1188,27,28,13,19,79.064,130000
1200,13,31,11,15,49.449,9000
1208,26,34,14,22,82.941,120000
1221,3,4,4,4,0.899,16200
1222,7,11,3,8,7.51,38000
1223,8,8,2,5,1.552,15000
1224,12,19,10,6,15.04,12000
1233,12,29,12,9,36.925,42000
1237,14,24,9,9,29.091,24000
1238,20,34,11,13,54.782,62000
1240,26,32,11,16,70.563,52000
1247,10,18,6,2,12.838,8000
1249,23,35,14,7,64.562,80000
1250,15,27,12,14,31.365,17000
1251,11,23,12,9,36.464,31000
1252,20,26,14,18,54.28,16000
1253,19,16,13,12,52.948,21600
1255,28,32,15,19,93.903,87000
1256,11,19,7,7,17.735,50000
1257,16,20,7,10,34.121,23000
1258,26,30,11,19,62.762,3000
1260,9,15,5,8,10.889,35000
1261,21,30,14,21,66.079,50000
1268,28,35,15,24,98.102,90000
1272,22,18,9,11,37.465,39000
1273,26,30,11,14,68.375,24000
1276,21,32,15,18,92.033,46000
1279,24,35,13,22,81.419,24000
1286,7,22,5,1,6.841,32000
1287,9,16,4,8,7.088,50000
1288,10,11,9,7,10.393,21000
1290,13,26,13,13,38.983,36000
1291,9,20,4,2,8.107,16000
1293,13,21,11,17,35.191,36000
1294,22,25,9,11,51.781,209138
1301,14,27,9,8,27.851,25000
1311,22,27,11,12,46.54,130000
1312,14,31,13,6,41.138,18000
1315,16,29,13,12,70.51,257286
1318,21,12,8,6,22.661,37000
1319,5,11,5,8,6.629,43000
1320,30,35,15,24,100,78000
1321,23,21,14,9,51.798,56000
1323,26,30,13,22,85.328,42000
1325,24,33,14,19,82.181,80000
1327,16,32,12,13,59.279,53000
1338,19,30,14,12,66.383,42000
1344,19,28,14,18,67.442,72000
1347,17,27,12,12,50.056,157280
1351,12,25,6,15,54.619,13000
1353,13,29,11,12,50.963,20000
1357,9,10,5,6,5.401,38000
1359,20,25,15,13,61.346,40000
1360,14,25,13,6,28.956,27000
1362,29,34,14,25,96.033,70000
1366,14,31,10,14,36.305,29800
1367,26,35,13,21,85.66,16000
1368,30,34,14,25,96.899,39000
1374,15,29,13,18,69.216,15700
1383,4,9,4,7,2.991,80000
1384,9,17,8,7,13.4,26000
1385,16,22,10,10,44.576,34000
1386,10,21,9,9,24.991,52000
1393,20,33,13,19,66.493,79000
1394,21,29,15,10,67.269,62000
1395,12,31,8,10,45.317,63000
1397,15,29,10,11,26.78,45000
1399,20,30,14,15,74.636,45000
1411,15,32,10,12,45.789,16000
1413,7,11,6,5,1.65,19000
1416,10,13,11,8,20.731,12000
1417,11,18,9,6,24.893,31000
1418,17,23,10,13,61.57,41000
1419,9,7,5,6,4.111,22000
1425,25,27,13,18,77.186,38000
1426,15,29,12,12,54.506,38685
1429,21,34,14,21,82.219,30000
1432,8,20,10,7,18.811,42000
1433,15,21,8,16,36.667,50000
1434,10,6,2,4,1.985,31980
1436,9,10,5,8,8.681,10000
1438,9,9,5,5,4.199,27000
1440,8,15,7,7,10.283,22000
1455,8,15,10,9,14.511,25000
1459,23,28,14,20,85.258,40000
1462,17,32,11,11,33.171,28600
1468,15,28,13,7,36.634,29000
1470,16,32,13,13,64.514,35000
1471,16,20,6,6,15.586,50000
1477,23,27,12,16,48.936,70000
1479,29,33,15,22,97.372,100000
1481,25,27,9,19,49.641,71000
1484,8,9,4,5,2.513,40000
1487,16,23,12,9,42.852,45000
1490,7,17,7,9,19.642,25000
1491,9,18,8,8,14.083,39000
1492,27,29,15,19,82.535,45000
1493,14,26,15,13,65.038,245549
1495,11,24,11,6,19.342,15000
1499,16,27,15,13,47.406,16000
1500,12,28,7,7,24.715,50000
1501,30,33,15,22,97.458,60000
1502,29,32,14,24,98.242,12000
1503,28,32,11,23,84.661,58000
1506,27,34,15,15,88.937,42000
1507,13,31,14,11,60.833,22000
1508,30,34,13,22,96.289,35000
1509,28,35,15,15,90.493,25000
1510,23,24,13,15,66.956,26000
1512,29,33,12,19,80.758,15000
1514,11,26,12,20,45.16,51000
1515,16,27,9,14,44.773,67000
1516,7,21,7,6,8.674,23300
1521,14,18,7,8,21.457,41000
1522,29,25,13,23,67.176,51300
1527,7,9,4,5,2.099,28000
1529,12,27,12,7,35.947,23000
1530,13,21,7,9,30.909,28000
1531,21,18,11,17,44.428,26000
1532,15,14,15,18,57.544,17407
1534,11,20,12,8,27.174,52000
1538,13,18,12,9,30.59,45000
1539,15,34,15,17,77.51,30000
1541,7,24,11,7,22.337,41400
1547,24,23,11,11,43.214,85000
1548,15,26,11,11,40.716,4000
1551,9,29,11,9,25.797,19000
1552,9,25,13,5,24.669,9200
1553,28,31,14,19,79.584,40000
1554,21,26,12,18,52.176,59000
1555,20,31,12,24,69.185,28352
1556,26,23,13,20,69.556,32176
1558,27,21,12,10,60.233,12000
1560,18,19,9,4,21.06,19000
1564,24,34,15,13,84.972,3400
1566,19,33,13,16,65.249,39100
1568,17,35,15,16,79.707,6000
1569,22,34,13,13,72.895,63000
1571,15,35,14,14,77.537,45000
1574,25,33,14,24,90.317,47000
1575,16,26,11,13,33.184,171551
1577,19,32,11,15,60.11,59000
1580,8,22,6,9,21.756,56000
1585,18,25,13,11,54.802,60000
1586,17,26,14,20,69.894,54000
1587,27,34,15,21,92.892,27300
1590,10,21,10,7,22.782,16000
1591,16,24,9,7,33.418,7000
1592,14,17,9,7,27.228,10000
1593,10,24,9,7,14.232,17000
1595,12,30,13,6,44.794,120000
1597,19,27,13,20,67.922,52000
1598,21,27,10,21,70.988,35000
1599,20,31,12,14,43.417,24000
1601,14,26,13,12,53.921,368302
1602,15,25,11,17,54.571,90000
1603,18,28,14,10,45.157,20000
1605,14,30,13,8,40.773,40000
1607,23,31,11,10,48.83,19200
1608,16,33,13,11,58.11,11040
1610,10,25,10,13,29.107,18000
1617,13,27,9,5,21.965,20000
1619,27,21,11,20,58.937,65000
1621,30,32,12,24,87.899,35942
1622,23,30,13,18,55.357,60000
1626,29,34,14,24,96.046,73000
1627,15,22,10,7,36.485,20000
1629,17,30,13,17,65.439,100000
1631,29,35,14,24,96.226,85000
1632,30,33,15,25,98.63,100035
1633,25,28,14,19,86.213,100000
1635,15,22,13,15,53.399,40000
1636,14,21,12,17,49.697,56000
1637,24,25,12,13,60.861,15000
1640,18,30,12,18,51.871,48000
1641,26,31,13,19,62.029,110000
1642,8,13,2,3,1.532,75000
1644,12,26,13,8,43.409,9400
1651,24,28,11,22,71.136,153334
1656,21,26,14,10,51.885,33000
1659,22,26,10,16,61.986,26000
1670,29,34,13,24,96.168,105000
1719,13,30,13,16,48.05,60000
1720,12,26,7,7,25.265,45000
1721,10,12,5,4,7.672,80000
1725,7,16,8,5,7.182,25000
1729,20,17,11,8,30.508,24000
1730,24,35,12,15,66.596,52000
1733,25,26,15,24,84.465,115000
1735,21,32,13,11,63.611,3000
1739,30,32,15,25,95.901,10000
1740,12,31,14,12,49.857,19000
1744,24,32,11,16,67.544,60000
1746,29,33,14,25,96.851,116000
1750,15,25,11,14,47.189,44000
1751,7,15,5,5,4.888,35000
1758,6,16,5,5,5.654,13000
1763,19,30,13,21,69.733,22000
1766,25,34,13,22,78.662,12000
1768,14,27,11,11,36.71,8000
1769,12,21,11,4,27.375,29515
1775,14,21,9,11,35.079,34000
1778,21,23,12,13,46.099,8000
1779,13,21,6,13,28.861,74000
1780,30,26,12,22,73.734,40000
1781,23,29,12,9,39.081,100000
1784,23,34,12,19,81.518,45000
1785,12,11,5,7,9.875,29000
1786,14,17,10,13,37.054,46800
1787,15,22,11,15,47.805,52000
1788,24,27,12,15,77.653,56856
1790,20,34,14,11,71.533,34000
1792,26,32,13,20,87.518,15000
1795,17,30,12,11,40.415,108888
1797,16,31,11,12,56.703,3040
1798,21,31,14,22,85.903,27100
1802,26,28,11,20,77.562,27915
1803,20,32,12,21,70.548,36000
1804,29,34,14,20,91.449,12000
1808,28,33,14,22,89.408,125000
1810,17,25,12,9,53.687,155867
1819,26,29,14,18,79.036,29000
1820,11,27,1,4,13.65,8000
1824,8,10,5,7,6.023,19000
1826,17,32,13,11,62.879,45000
1831,7,23,10,7,24.374,64000
1835,18,20,11,6,30.175,40000
1836,18,24,9,16,51.237,50000
1837,14,17,9,6,17.492,32000
1838,6,15,11,7,13.046,17000
1839,12,11,3,4,6.12,18000
1841,29,34,15,20,92.678,85000
1844,26,35,15,17,87.281,188404
1846,26,32,14,23,73.252,192896
1847,20,32,14,19,74.288,68000
1848,14,26,9,6,29.189,46000
1858,19,32,14,20,75.798,68000
1860,17,22,9,11,40.414,29000
1862,16,21,10,12,31.547,900
1863,20,31,15,10,61.428,20000
1865,7,31,13,5,27.567,28000
1866,21,22,12,11,42.755,25000
1867,26,33,14,21,89.968,52000
1868,12,28,12,11,35.098,26500
1869,15,25,6,4,26.004,14000
1872,10,21,11,6,18.192,35000
1873,10,20,5,5,16.817,22000
1875,30,33,13,25,90.923,130000
1878,15,27,12,9,29.321,8000
1880,29,33,13,24,88.272,30000
1881,16,26,7,16,42.474,40000
1884,11,28,12,6,42.428,12500
1885,17,32,13,17,65.232,35000
1887,7,12,4,9,9.128,11000
1889,16,28,11,10,42.279,35675
1890,7,13,9,4,13.298,18000
1891,23,25,12,10,46.449,26800
1895,24,34,14,20,84.709,83000
1896,25,34,13,22,85.085,28000
1899,14,21,10,9,24.004,32000
1902,18,26,11,7,48.953,40574
1904,27,30,15,23,86.141,26000
1905,18,23,11,19,58.233,45000
1906,29,34,14,25,97.146,25000
1910,23,31,9,16,55.765,55000
1912,12,30,10,16,49.375,25000
1913,15,24,8,9,41.544,14103
1914,26,35,15,20,95.324,48000
1916,21,32,9,18,66.692,74481
1917,20,9,9,10,27.775,48000
1918,24,28,13,19,74.519,68000
1920,23,25,7,17,57.75,2000
1924,14,23,10,14,39.286,65000
1925,25,29,13,16,66.523,44000
1926,12,25,14,6,31.904,16000
1927,17,22,14,12,53.586,21455
1929,30,35,14,23,95.734,81000
1930,30,31,14,23,95.174,45000
1944,28,27,15,18,82.351,86000
1947,15,26,11,10,41.857,16000
1950,15,34,11,19,63.15,22000
1951,16,27,11,12,45.219,42000
1952,16,25,9,10,46.049,85000
1953,26,32,13,20,87.413,24000
1954,24,35,14,19,87.743,4000
1955,26,35,11,21,79.36,60000
1957,13,14,4,6,10.797,47000
1958,21,34,14,16,79.33,45000
1959,10,24,11,9,29.263,36000
1961,22,29,11,13,48.541,100000
1962,8,16,9,7,10.28,25000
1963,22,30,12,19,63.4,67000
1964,14,27,12,9,29.838,30000
1965,16,26,13,15,52.187,25000
1966,24,33,14,22,85.623,42000
1967,18,25,14,10,61.486,40000
